Settings, precison
tfidf_true_x_4,0.934444444
tfidf_true_p_4,0.934444444
tfidf_true_j_4,0.934444444
tfidf_true_jp_4,0.934444444
tfidf_true_d_4,0.934444444
tfidf_true_dp_4,0.934444444
tfidf_true_dj_4,0.934444444
tfidf_true_djp_4,0.934444444
tfidf_false_x_4,0.934444444
tfidf_false_p_4,0.934444444
tfidf_false_j_4,0.934444444
tfidf_false_jp_4,0.934444444
tfidf_false_d_4,0.934444444
tfidf_false_dp_4,0.934444444
tfidf_false_dj_4,0.934444444
tfidf_false_djp_4,0.934444444
tfidf_true_kw_4,0.933333333
tfidf_true_dkw_4,0.933333333
tfidf_false_kw_4,0.933333333
tfidf_false_dkw_4,0.933333333
tfidf_true_w_4,0.93
tfidf_false_w_4,0.93
tfidf_true_k_4,0.93
tfidf_true_kp_4,0.93
tfidf_true_jkp_4,0.93
tfidf_true_dk_4,0.93
tfidf_true_dkp_4,0.93
tfidf_true_djkp_4,0.93
tfidf_false_k_4,0.93
tfidf_false_kp_4,0.93
tfidf_false_jkp_4,0.93
tfidf_false_dk_4,0.93
tfidf_false_dkp_4,0.93
tfidf_false_djkp_4,0.93
tfidf_true_kw_3,0.927777778
tfidf_true_dw_4,0.927777778
tfidf_false_kw_3,0.927777778
tfidf_false_dw_4,0.927777778
tfidf_true_jw_3,0.926666667
tfidf_false_jw_3,0.926666667
tfidf_true_kw_2,0.926666667
tfidf_false_kw_2,0.926666667
tfidf_true_pw_4,0.925555556
tfidf_true_jw_4,0.925555556
tfidf_true_jpw_4,0.925555556
tfidf_true_dpw_4,0.925555556
tfidf_true_djw_4,0.925555556
tfidf_true_djpw_4,0.925555556
tfidf_true_djkw_4,0.925555556
tfidf_false_pw_4,0.925555556
tfidf_false_jw_4,0.925555556
tfidf_false_jpw_4,0.925555556
tfidf_false_dpw_4,0.925555556
tfidf_false_djw_4,0.925555556
tfidf_false_djpw_4,0.925555556
tfidf_false_djkw_4,0.925555556
tfidf_true_k_3,0.925555556
tfidf_true_kp_3,0.925555556
tfidf_false_k_3,0.925555556
tfidf_false_kp_3,0.925555556
tfidf_true_djw_3,0.924444444
tfidf_false_djw_3,0.924444444
tfidf_true_p_3,0.924444444
tfidf_true_dp_3,0.924444444
tfidf_false_p_3,0.924444444
tfidf_false_dp_3,0.924444444
tfidf_true_w_3,0.923333333
tfidf_false_w_3,0.923333333
tfidf_true_w_2,0.923333333
tfidf_true_kpw_4,0.923333333
tfidf_true_jkw_4,0.923333333
tfidf_true_jkpw_4,0.923333333
tfidf_true_dkpw_4,0.923333333
tfidf_true_djkpw_4,0.923333333
tfidf_false_w_2,0.923333333
tfidf_false_kpw_4,0.923333333
tfidf_false_jkw_4,0.923333333
tfidf_false_jkpw_4,0.923333333
tfidf_false_dkpw_4,0.923333333
tfidf_false_djkpw_4,0.923333333
tfidf_no_jw_3,0.922222222
tfidf_true_x_3,0.922222222
tfidf_true_j_3,0.922222222
tfidf_true_jp_3,0.922222222
tfidf_true_d_3,0.922222222
tfidf_true_dj_3,0.922222222
tfidf_true_djp_3,0.922222222
tfidf_false_x_3,0.922222222
tfidf_false_j_3,0.922222222
tfidf_false_jp_3,0.922222222
tfidf_false_d_3,0.922222222
tfidf_false_dj_3,0.922222222
tfidf_false_djp_3,0.922222222
tfidf_true_dkw_2,0.921111111
tfidf_false_dkw_2,0.921111111
tfidf_true_jk_3,0.921111111
tfidf_true_jk_4,0.921111111
tfidf_true_dk_3,0.921111111
tfidf_true_dkp_3,0.921111111
tfidf_true_djk_3,0.921111111
tfidf_true_djk_4,0.921111111
tfidf_false_jk_3,0.921111111
tfidf_false_jk_4,0.921111111
tfidf_false_dk_3,0.921111111
tfidf_false_dkp_3,0.921111111
tfidf_false_djk_3,0.921111111
tfidf_false_djk_4,0.921111111
tfidf_true_jkp_3,0.918888889
tfidf_true_djkp_3,0.918888889
tfidf_false_jkp_3,0.918888889
tfidf_false_djkp_3,0.918888889
tfidf_true_dw_2,0.916666667
tfidf_true_dw_3,0.916666667
tfidf_true_dkw_3,0.916666667
tfidf_false_dw_2,0.916666667
tfidf_false_dw_3,0.916666667
tfidf_false_dkw_3,0.916666667
tfidf_true_pw_2,0.914444444
tfidf_true_jw_2,0.914444444
tfidf_false_pw_2,0.914444444
tfidf_false_jw_2,0.914444444
tfidf_true_pw_3,0.913333333
tfidf_false_pw_3,0.913333333
tfidf_no_jpw_3,0.908888889
tfidf_true_jpw_3,0.908888889
tfidf_true_jkw_3,0.908888889
tfidf_true_dpw_3,0.908888889
tfidf_false_jpw_3,0.908888889
tfidf_false_jkw_3,0.908888889
tfidf_false_dpw_3,0.908888889
tfidf_true_jpw_2,0.907777778
tfidf_true_jkw_2,0.907777778
tfidf_true_dpw_2,0.907777778
tfidf_false_jpw_2,0.907777778
tfidf_false_jkw_2,0.907777778
tfidf_false_dpw_2,0.907777778
tfidf_true_kpw_3,0.906666667
tfidf_true_djkw_2,0.906666667
tfidf_true_djkw_3,0.906666667
tfidf_false_kpw_3,0.906666667
tfidf_false_djkw_2,0.906666667
tfidf_false_djkw_3,0.906666667
tfidf_true_djw_2,0.905555556
tfidf_false_djw_2,0.905555556
tfidf_true_kpw_2,0.903333333
tfidf_false_kpw_2,0.903333333
tfidf_true_jkpw_3,0.902222222
tfidf_true_djpw_3,0.902222222
tfidf_false_jkpw_3,0.902222222
tfidf_false_djpw_3,0.902222222
tfidf_true_djpw_2,0.901111111
tfidf_false_djpw_2,0.901111111
tfidf_true_dkpw_3,0.9
tfidf_true_djkpw_3,0.9
tfidf_false_dkpw_3,0.9
tfidf_false_djkpw_3,0.9
tfidf_no_djw_3,0.898888889
tfidf_true_dkpw_2,0.896666667
tfidf_false_dkpw_2,0.896666667
tfidf_true_k_2,0.895555556
tfidf_false_k_2,0.895555556
tfidf_true_x_2,0.894444444
tfidf_true_j_2,0.894444444
tfidf_true_dk_2,0.894444444
tfidf_false_x_2,0.894444444
tfidf_false_j_2,0.894444444
tfidf_false_dk_2,0.894444444
tfidf_no_pw_3,0.893333333
tfidf_true_p_2,0.893333333
tfidf_true_d_2,0.893333333
tfidf_false_p_2,0.893333333
tfidf_false_d_2,0.893333333
tfidf_no_w_3,0.892222222
tfidf_true_dp_2,0.892222222
tfidf_false_dp_2,0.892222222
tfidf_true_dj_2,0.892222222
tfidf_false_dj_2,0.892222222
tfidf_no_jw_2,0.891111111
tfidf_true_jkpw_2,0.891111111
