fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
true_k_3,0.915555556,true_k_3,0.914444444,true_kp_3,0.896666667,true_x_4,0.934444444,true_p_3,0.9,true_dkp_3,0.916666667,true_j_4,0.908888889,true_kp_3,0.901111111,true_w_2,0.942222222,true_x_4,0.931111111
false_k_3,0.915555556,true_kp_3,0.914444444,true_dkp_3,0.896666667,true_p_4,0.934444444,false_p_3,0.9,false_dkp_3,0.916666667,true_jp_4,0.908888889,false_kp_3,0.901111111,false_w_2,0.942222222,true_p_4,0.931111111
true_dk_3,0.912222222,true_dk_3,0.914444444,false_kp_3,0.896666667,true_j_4,0.934444444,true_w_3,0.898888889,true_kp_3,0.914444444,true_dj_4,0.908888889,true_dkp_3,0.896666667,true_kw_2,0.94,true_kp_3,0.931111111
true_dkp_3,0.912222222,false_k_3,0.914444444,false_dkp_3,0.896666667,true_jp_4,0.934444444,true_jw_3,0.898888889,false_kp_3,0.914444444,true_djp_4,0.908888889,false_dkp_3,0.896666667,false_kw_2,0.94,true_j_4,0.931111111
false_dk_3,0.912222222,false_kp_3,0.914444444,true_dp_3,0.895555556,true_d_4,0.934444444,true_djw_4,0.898888889,true_p_3,0.912222222,false_j_4,0.908888889,true_x_3,0.895555556,true_dw_2,0.936666667,true_jp_4,0.931111111
false_dkp_3,0.912222222,false_dk_3,0.914444444,false_dp_3,0.895555556,true_dp_4,0.934444444,true_djpw_4,0.898888889,false_p_3,0.912222222,false_jp_4,0.908888889,false_x_3,0.895555556,false_dw_2,0.936666667,true_d_4,0.931111111
true_kp_3,0.911111111,true_x_3,0.911111111,true_j_4,0.893333333,true_dj_4,0.934444444,false_w_3,0.898888889,true_dp_3,0.911111111,false_dj_4,0.908888889,true_p_3,0.893333333,true_dkw_2,0.935555556,true_dp_4,0.931111111
false_kp_3,0.911111111,true_p_3,0.911111111,true_jp_4,0.893333333,true_djp_4,0.934444444,false_jw_3,0.898888889,false_dp_3,0.911111111,false_djp_4,0.908888889,true_dp_3,0.893333333,false_dkw_2,0.935555556,true_dj_4,0.931111111
true_x_3,0.91,true_d_3,0.911111111,false_j_4,0.893333333,false_x_4,0.934444444,false_djw_4,0.898888889,true_x_3,0.91,true_x_4,0.907777778,false_p_3,0.893333333,true_kw_3,0.933333333,true_djp_4,0.931111111
true_p_3,0.91,true_dp_3,0.911111111,false_jp_4,0.893333333,false_p_4,0.934444444,false_djpw_4,0.898888889,true_k_3,0.91,true_p_4,0.907777778,false_dp_3,0.893333333,false_kw_3,0.933333333,false_x_4,0.931111111
true_d_3,0.91,false_x_3,0.911111111,true_p_3,0.893333333,false_j_4,0.934444444,true_k_3,0.898888889,false_x_3,0.91,true_d_4,0.907777778,true_k_3,0.892222222,true_kpw_2,0.932222222,false_p_4,0.931111111
true_dp_3,0.91,false_p_3,0.911111111,true_d_3,0.893333333,false_jp_4,0.934444444,true_dp_3,0.898888889,false_k_3,0.91,true_dp_4,0.907777778,false_k_3,0.892222222,false_kpw_2,0.932222222,false_kp_3,0.931111111
false_x_3,0.91,false_d_3,0.911111111,false_p_3,0.893333333,false_d_4,0.934444444,false_k_3,0.898888889,true_d_3,0.908888889,false_x_4,0.907777778,true_d_3,0.891111111,true_dkpw_2,0.931111111,false_j_4,0.931111111
false_p_3,0.91,false_dp_3,0.911111111,false_d_3,0.893333333,false_dp_4,0.934444444,false_dp_3,0.898888889,false_d_3,0.908888889,false_p_4,0.907777778,false_d_3,0.891111111,false_dkpw_2,0.931111111,false_jp_4,0.931111111
false_d_3,0.91,true_dkp_3,0.91,true_x_3,0.891111111,false_dj_4,0.934444444,true_dw_3,0.897777778,true_dk_3,0.907777778,false_d_4,0.907777778,true_w_3,0.888888889,true_dkw_3,0.93,false_d_4,0.931111111
false_dp_3,0.91,false_dkp_3,0.91,true_x_4,0.891111111,false_djp_4,0.934444444,true_dkw_4,0.897777778,false_dk_3,0.907777778,false_dp_4,0.907777778,true_dkw_4,0.888888889,false_dkw_3,0.93,false_dp_4,0.931111111
true_x_4,0.902222222,true_kpw_2,0.908888889,true_p_4,0.891111111,true_kw_4,0.933333333,false_dw_3,0.897777778,true_w_4,0.9,true_kw_3,0.906666667,false_w_3,0.888888889,true_w_3,0.928888889,false_dj_4,0.931111111
true_p_4,0.902222222,false_kpw_2,0.908888889,false_x_3,0.891111111,true_dkw_4,0.933333333,false_dkw_4,0.897777778,false_w_4,0.9,false_kw_3,0.906666667,false_dkw_4,0.888888889,false_w_3,0.928888889,false_djp_4,0.931111111
true_d_4,0.902222222,true_dw_4,0.903333333,false_x_4,0.891111111,false_kw_4,0.933333333,true_x_3,0.897777778,true_j_4,0.9,true_k_4,0.906666667,true_x_4,0.888888889,true_dw_3,0.926666667,true_dkp_3,0.926666667
true_dp_4,0.902222222,true_dpw_4,0.903333333,false_p_4,0.891111111,false_dkw_4,0.933333333,false_x_3,0.897777778,true_jp_4,0.9,true_kp_4,0.906666667,true_p_4,0.888888889,false_dw_3,0.926666667,false_dkp_3,0.926666667
false_x_4,0.902222222,false_dw_4,0.903333333,true_w_3,0.89,true_w_4,0.93,true_kw_3,0.896666667,false_j_4,0.9,false_k_4,0.906666667,true_j_4,0.888888889,true_pw_2,0.924444444,true_jkp_4,0.925555556
false_p_4,0.902222222,false_dpw_4,0.903333333,false_w_3,0.89,false_w_4,0.93,true_dpw_4,0.896666667,false_jp_4,0.9,false_kp_4,0.906666667,true_jp_4,0.888888889,true_jw_2,0.924444444,true_djkp_4,0.925555556
false_d_4,0.902222222,true_kw_2,0.903333333,true_dkw_4,0.888888889,true_k_4,0.93,false_kw_3,0.896666667,true_dkw_4,0.898888889,true_jkp_4,0.905555556,true_d_4,0.888888889,false_pw_2,0.924444444,false_jkp_4,0.925555556
false_dp_4,0.902222222,false_kw_2,0.903333333,false_dkw_4,0.888888889,true_kp_4,0.93,false_dpw_4,0.896666667,false_dkw_4,0.898888889,false_jkp_4,0.905555556,true_dp_4,0.888888889,false_jw_2,0.924444444,false_djkp_4,0.925555556
true_j_4,0.901111111,true_jw_4,0.901111111,true_jkp_4,0.888888889,true_jkp_4,0.93,true_d_3,0.896666667,true_x_4,0.898888889,true_w_3,0.904444444,true_dj_4,0.888888889,true_jw_3,0.923333333,true_p_3,0.922222222
true_dj_4,0.901111111,true_jpw_3,0.901111111,true_d_4,0.888888889,true_dk_4,0.93,false_d_3,0.896666667,true_p_4,0.898888889,true_dk_4,0.904444444,true_djp_4,0.888888889,true_jkw_2,0.923333333,true_k_3,0.922222222
false_j_4,0.901111111,true_dkw_2,0.901111111,true_dp_4,0.888888889,true_dkp_4,0.93,true_kw_4,0.895555556,true_d_4,0.898888889,true_dkp_4,0.904444444,false_x_4,0.888888889,true_dpw_2,0.923333333,true_dk_3,0.922222222
false_dj_4,0.901111111,true_dkpw_2,0.901111111,true_dj_4,0.888888889,true_djkp_4,0.93,true_dw_4,0.895555556,true_dp_4,0.898888889,false_w_3,0.904444444,false_p_4,0.888888889,false_jw_3,0.923333333,false_p_3,0.922222222
true_dw_4,0.9,false_jw_4,0.901111111,true_djp_4,0.888888889,false_k_4,0.93,false_kw_4,0.895555556,true_dj_4,0.898888889,false_dk_4,0.904444444,false_j_4,0.888888889,false_jkw_2,0.923333333,false_k_3,0.922222222
false_dw_4,0.9,false_jpw_3,0.901111111,false_jkp_4,0.888888889,false_kp_4,0.93,false_dw_4,0.895555556,true_djp_4,0.898888889,false_dkp_4,0.904444444,false_jp_4,0.888888889,false_dpw_2,0.923333333,false_dk_3,0.922222222
