system,file1,start1,end1,file2,start2,end2,type
1,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,761,770,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,819,828,3
2,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/core/dom/BreakStatement.java,49,61,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/core/dom/TypeLiteral.java,49,61,2
3,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/ConstantPool.java,1132,1144,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/ConstantPool.java,1906,1918,2
4,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/ConstantPool.java,2142,2166,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/ConstantPool.java,2174,2198,2
5,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/core/dom/SingleVariableDeclaration.java,150,162,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/core/dom/SuperFieldAccess.java,98,115,2
6,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,3496,3510,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,4407,4421,2
7,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/ast/BinaryExpression.java,895,904,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/ast/EqualExpression.java,259,268,2
8,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/IDocumentElementRequestor.java,196,207,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/IDocumentElementRequestor.java,339,350,2
9,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/ConstantPool.java,1559,1578,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/eval/CodeSnippetConstantPool.java,1361,1381,3
10,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/core/BinaryMethod.java,174,183,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/core/BinaryMethod.java,194,203,1
11,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/ast/DoStatement.java,94,105,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/ast/WhileStatement.java,116,127,1
12,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/core/BufferCache.java,12,42,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/core/BufferManager.java,19,52,3
13,eclipse-jdtcore.rcf,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,409,418,/Users/Chaiyong/Documents/phd/2017/BellonClonesReader/bellon_benchmark/eclipse-jdtcore/src/internal/compiler/codegen/CodeStream.java,1989,1998,2
