file,cluster,method
InfixConverter/0_orig/InfixConverter.java,2,public static void main(String[] args)
InfixConverter/1_artifice/InfixConverter.java,2,public static void main(String[] v15)
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,2,public static void main(String[] a)
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,2,public static void main(final String[] array)
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,2,public static void main(String[] a)
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,2,public static void main(final String[] array)
InfixConverter/0_orig/InfixConverter.java,3,public static String ReadString()
InfixConverter/1_artifice/InfixConverter.java,3,public static String m00()
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,3,public static String ReadString()
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,3,public static String ReadString()
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,3,public static String m00()
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,3,public static String m00()
InfixConverter/0_orig/InfixConverter.java,4,public static int ReadInteger()
InfixConverter/1_artifice/InfixConverter.java,4,public static int m10()
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,4,public static int ReadInteger()
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,4,public static int ReadInteger()
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,4,public static int m10()
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,4,public static int m10()
InfixConverter/0_orig/InfixConverter.java,5,public static String InfixToPostfixConvert(String infixBuffer)
InfixConverter/1_artifice/InfixConverter.java,5,public static String m20(String v6)
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,5,public static String InfixToPostfixConvert(String s)
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,5,public static String InfixToPostfixConvert(final String s)
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,5,public static String m20(String s)
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,5,public static String m20(final String s)
bubblesort/0_orig/BubbleSort.java,7,public static void main(String[] args)
bubblesort/1_artifice/BubbleSort.java,7,public static void main(String[] v0)
bubblesort/test_0_orig_no_krakatau/BubbleSort.java,7,public static void main(String[] a)
bubblesort/test_0_orig_no_procyon/BubbleSort.java,7,public static void main(final String[] array)
bubblesort/test_1_artifice_no_krakatau/BubbleSort.java,7,public static void main(String[] a)
bubblesort/test_1_artifice_no_procyon/BubbleSort.java,7,public static void main(final String[] array)
hanoi/0_orig/Main.java,9,"public static void Solve2DiscsTOH(Stack source, Stack temp, Stack dest)"
hanoi/1_artifice/Main.java,9,"public static void m00(Stack v0, Stack v1, Stack v2)"
hanoi/test_0_orig_no_krakatau/Main.java,9,"public static void Solve2DiscsTOH(java.util.Stack a, java.util.Stack a0, java.util.Stack a1)"
hanoi/test_0_orig_no_procyon/Main.java,9,"public static void Solve2DiscsTOH(final Stack stack, final Stack stack2, final Stack stack3)"
hanoi/test_1_artifice_no_krakatau/Main.java,9,"public static void m00(java.util.Stack a, java.util.Stack a0, java.util.Stack a1)"
hanoi/test_1_artifice_no_procyon/Main.java,9,"public static void m00(final Stack stack, final Stack stack2, final Stack stack3)"
hanoi/0_orig/Main.java,10,"public static int SolveTOH(int nDiscs, Stack source, Stack temp, Stack dest)"
hanoi/1_artifice/Main.java,10,"public static int m10(int v3, Stack v4, Stack v5, Stack v6)"
hanoi/test_0_orig_no_krakatau/Main.java,10,"public static int SolveTOH(int i, java.util.Stack a, java.util.Stack a0, java.util.Stack a1)"
hanoi/test_0_orig_no_procyon/Main.java,10,"public static int SolveTOH(int n, final Stack stack, final Stack stack2, final Stack stack3)"
hanoi/test_1_artifice_no_krakatau/Main.java,10,"public static int m10(int i, java.util.Stack a, java.util.Stack a0, java.util.Stack a1)"
hanoi/test_1_artifice_no_procyon/Main.java,10,"public static int m10(int n, final Stack stack, final Stack stack2, final Stack stack3)"
hanoi/0_orig/Main.java,11,public static void PrintStacks()
hanoi/1_artifice/Main.java,11,public static void m20()
hanoi/test_0_orig_no_krakatau/Main.java,11,public static void PrintStacks()
hanoi/test_0_orig_no_procyon/Main.java,11,public static void PrintStacks()
hanoi/test_1_artifice_no_krakatau/Main.java,11,public static void m20()
hanoi/test_1_artifice_no_procyon/Main.java,11,public static void m20()
hanoi/0_orig/Main.java,13,public static void main(String[] args)
hanoi/1_artifice/Main.java,13,public static void main(String[] v11)
hanoi/test_0_orig_no_krakatau/Main.java,13,public static void main(String[] a)
hanoi/test_0_orig_no_procyon/Main.java,13,public static void main(final String[] array)
hanoi/test_1_artifice_no_krakatau/Main.java,13,public static void main(String[] a)
hanoi/test_1_artifice_no_procyon/Main.java,13,public static void main(final String[] array)
queens/0_orig/EightQueens.java,17,public void solveItRec(int location)
queens/1_artifice/EightQueens.java,17,public void m10(int v4)
queens/test_0_orig_no_krakatau/EightQueens.java,17,public void solveItRec(int i)
queens/test_0_orig_no_procyon/EightQueens.java,17,public void solveItRec(final int n)
queens/test_1_artifice_no_krakatau/EightQueens.java,17,public void m10(int i)
queens/test_1_artifice_no_procyon/EightQueens.java,17,public void m10(final int n)
queens/0_orig/EightQueens.java,18,"private boolean conflict(int location, int row)"
queens/1_artifice/EightQueens.java,18,"private boolean m20(int v6, int v7)"
queens/test_0_orig_no_krakatau/EightQueens.java,18,"private boolean conflict(int i, int i0)"
queens/test_0_orig_no_procyon/EightQueens.java,18,"private boolean conflict(final int n, final int n2)"
queens/test_1_artifice_no_krakatau/EightQueens.java,18,"private boolean m20(int i, int i0)"
queens/test_1_artifice_no_procyon/EightQueens.java,18,"private boolean m20(final int n, final int n2)"
queens/0_orig/EightQueens.java,19,public void printSol()
queens/1_artifice/EightQueens.java,19,public void m30()
queens/test_0_orig_no_krakatau/EightQueens.java,19,public void printSol()
queens/test_0_orig_no_procyon/EightQueens.java,19,public void printSol()
queens/test_1_artifice_no_krakatau/EightQueens.java,19,public void m30()
queens/test_1_artifice_no_procyon/EightQueens.java,19,public void m30()
slinkedlist/0_orig/SLinkedList.java,21,public SLinkedList InsertNext(int value)
slinkedlist/1_artifice/SLinkedList.java,21,public SLinkedList m02(int v1)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,21,public SLinkedList InsertNext(int i)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,21,public SLinkedList InsertNext(final int n)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,21,public SLinkedList m02(int i)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,21,public SLinkedList m02(final int n)
slinkedlist/0_orig/SLinkedList.java,22,public int DeleteNext()
slinkedlist/1_artifice/SLinkedList.java,22,public int m12()
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,22,public int DeleteNext()
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,22,public int DeleteNext()
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,22,public int m12()
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,22,public int m12()
slinkedlist/0_orig/SLinkedList.java,23,public void Traverse(SLinkedList node)
slinkedlist/1_artifice/SLinkedList.java,23,public void m22(SLinkedList v5)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,23,public void Traverse(SLinkedList a)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,23,public void Traverse(SLinkedList next)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,23,public void m22(SLinkedList a)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,23,public void m22(SLinkedList f12)
slinkedlist/0_orig/SLinkedList.java,24,public SLinkedList Reverse_With_Bubble(SLinkedList head)
slinkedlist/1_artifice/SLinkedList.java,24,public SLinkedList m32(SLinkedList v6)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,24,public SLinkedList Reverse_With_Bubble(SLinkedList a)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,24,public SLinkedList Reverse_With_Bubble(final SLinkedList list)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,24,public SLinkedList m32(SLinkedList a)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,24,public SLinkedList m32(final SLinkedList list)
slinkedlist/0_orig/SLinkedList.java,25,public SLinkedList Reverse(SLinkedList head)
slinkedlist/1_artifice/SLinkedList.java,25,public SLinkedList m42(SLinkedList v10)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,25,public SLinkedList Reverse(SLinkedList a)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,25,public SLinkedList Reverse(SLinkedList list)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,25,public SLinkedList m42(SLinkedList a)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,25,public SLinkedList m42(SLinkedList list)
slinkedlist/0_orig/SLinkedList.java,26,public SLinkedList Reverse_with_copy(SLinkedList head)
slinkedlist/1_artifice/SLinkedList.java,26,public SLinkedList m52(SLinkedList v14)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,26,public SLinkedList Reverse_with_copy(SLinkedList a)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,26,public SLinkedList Reverse_with_copy(final SLinkedList list)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,26,public SLinkedList m52(SLinkedList a)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,26,public SLinkedList m52(final SLinkedList list)
slinkedlist/0_orig/SLinkedList.java,27,public static void main(String[] args)
slinkedlist/1_artifice/SLinkedList.java,27,public static void main(String[] v18)
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,27,public static void main(String[] a)
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,27,public static void main(final String[] array)
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,27,public static void main(String[] a)
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,27,public static void main(final String[] array)
SqrtAlgorithm/0_orig/SqrtAlgorithm.java,31,public static double SqrtByAlogorithm(double x)
SqrtAlgorithm/1_artifice/SqrtAlgorithm.java,31,public static double m00(double v0)
SqrtAlgorithm/test_0_orig_no_krakatau/SqrtAlgorithm.java,31,public static double SqrtByAlogorithm(double d)
SqrtAlgorithm/test_0_orig_no_procyon/SqrtAlgorithm.java,31,public static double SqrtByAlogorithm(final double n)
SqrtAlgorithm/test_1_artifice_no_krakatau/SqrtAlgorithm.java,31,public static double m00(double d)
