file,cluster,method
bubblesort/0_orig/BubbleSort.java,0,method
bubblesort/1_artifice/BubbleSort.java,0,method
bubblesort/test_0_orig_no_krakatau/BubbleSort.java,0,method
bubblesort/test_0_orig_no_procyon/BubbleSort.java,0,method
bubblesort/test_0_orig_pg_krakatau/BubbleSort.java,0,method
bubblesort/test_0_orig_pg_procyon/BubbleSort.java,0,method
bubblesort/test_1_artifice_no_krakatau/BubbleSort.java,0,method
bubblesort/test_1_artifice_no_procyon/BubbleSort.java,0,method
bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java,0,method
bubblesort/test_1_artifice_pg_procyon/BubbleSort.java,0,method
guessword/0_orig/GuessWord.java,1,method
guessword/1_artifice/GuessWord.java,1,method
guessword/test_0_orig_no_krakatau/GuessWord.java,1,method
guessword/test_0_orig_no_procyon/GuessWord.java,1,method
guessword/test_0_orig_pg_krakatau/GuessWord.java,1,method
guessword/test_0_orig_pg_procyon/GuessWord.java,1,method
guessword/test_1_artifice_no_krakatau/GuessWord.java,1,method
guessword/test_1_artifice_no_procyon/GuessWord.java,1,method
guessword/test_1_artifice_pg_krakatau/GuessWord.java,1,method
guessword/test_1_artifice_pg_procyon/GuessWord.java,1,method
hanoi/0_orig/Main.java,2,method
hanoi/1_artifice/Main.java,2,method
hanoi/test_0_orig_no_krakatau/Main.java,2,method
hanoi/test_0_orig_no_procyon/Main.java,2,method
hanoi/test_0_orig_pg_krakatau/Main.java,2,method
hanoi/test_0_orig_pg_procyon/Main.java,2,method
hanoi/test_1_artifice_no_krakatau/Main.java,2,method
hanoi/test_1_artifice_no_procyon/Main.java,2,method
hanoi/test_1_artifice_pg_krakatau/Main.java,2,method
hanoi/test_1_artifice_pg_procyon/Main.java,2,method
InfixConverter/0_orig/InfixConverter.java,3,method
InfixConverter/1_artifice/InfixConverter.java,3,method
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,3,method
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,3,method
InfixConverter/test_0_orig_pg_krakatau/InfixConverter.java,3,method
InfixConverter/test_0_orig_pg_procyon/InfixConverter.java,3,method
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,3,method
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,3,method
InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java,3,method
InfixConverter/test_1_artifice_pg_procyon/InfixConverter.java,3,method
kaprekar/0_orig/Kaprekar_Transformation.java,4,method
kaprekar/1_artifice/Kaprekar_Transformation.java,4,method
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,4,method
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,4,method
kaprekar/test_0_orig_pg_krakatau/Kaprekar_Transformation.java,4,method
kaprekar/test_0_orig_pg_procyon/Kaprekar_Transformation.java,4,method
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,4,method
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,4,method
kaprekar/test_1_artifice_pg_krakatau/Kaprekar_Transformation.java,4,method
kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java,4,method
queens/0_orig/EightQueens.java,5,method
queens/1_artifice/EightQueens.java,5,method
queens/test_0_orig_no_krakatau/EightQueens.java,5,method
queens/test_0_orig_no_procyon/EightQueens.java,5,method
queens/test_0_orig_pg_krakatau/EightQueens.java,5,method
queens/test_0_orig_pg_procyon/EightQueens.java,5,method
queens/test_1_artifice_no_krakatau/EightQueens.java,5,method
queens/test_1_artifice_no_procyon/EightQueens.java,5,method
queens/test_1_artifice_pg_krakatau/EightQueens.java,5,method
queens/test_1_artifice_pg_procyon/EightQueens.java,5,method
railroadcar/0_orig/RailRoadCar.java,6,method
railroadcar/1_artifice/RailRoadCar.java,6,method
railroadcar/test_0_orig_no_krakatau/RailRoadCar.java,6,method
railroadcar/test_0_orig_no_procyon/RailRoadCar.java,6,method
railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java,6,method
railroadcar/test_0_orig_pg_procyon/RailRoadCar.java,6,method
railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java,6,method
railroadcar/test_1_artifice_no_procyon/RailRoadCar.java,6,method
railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java,6,method
railroadcar/test_1_artifice_pg_procyon/RailRoadCar.java,6,method
slinkedlist/0_orig/SLinkedList.java,7,method
slinkedlist/1_artifice/SLinkedList.java,7,method
slinkedlist/test_0_orig_no_krakatau/SLinkedList.java,7,method
slinkedlist/test_0_orig_no_procyon/SLinkedList.java,7,method
slinkedlist/test_0_orig_pg_krakatau/SLinkedList.java,7,method
slinkedlist/test_0_orig_pg_procyon/SLinkedList.java,7,method
slinkedlist/test_1_artifice_no_krakatau/SLinkedList.java,7,method
slinkedlist/test_1_artifice_no_procyon/SLinkedList.java,7,method
slinkedlist/test_1_artifice_pg_krakatau/SLinkedList.java,7,method
slinkedlist/test_1_artifice_pg_procyon/SLinkedList.java,7,method
