bubblesort/0_orig/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/1_artifice/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main,railroadcar/1_artifice/RailRoadCar.java_m03,guessword/1_artifice/GuessWord.java_m04,kaprekar/1_artifice/Kaprekar_Transformation.java_m11,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main
bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_0_orig_no_krakatau/BubbleSort.java_BubbleSort,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
