A,B,file,start,end,size,type1,type2,type3
0,Q,default/15247.java_elimina,57,80,38,10,0,28
0,Q,default/77532.java_main,167,247,10,10,0,0
0,Q,default/78884.java_copyFile,30,48,187,10,3,174
0,Q,default/21155.java_displayDiffResults,367,414,18,15,0,3
0,Q,default/121803.java_doVersionCheck,8,31,40,15,0,25
0,Q,default/94629.java_convert,90,172,15,15,0,0
0,Q,default/41035.java_readAndRewrite,27,46,20,15,0,5
0,Q,selected/2082.java_copy,64,76,170,5,6,159
0,Q,selected/759664.java_getRandomGUID,41,75,34,14,1,19
0,Q,selected/2365821.java_encodeFileToFile,838,864,16,7,7,2
