query,method,start,end,tp,total,t1,t1total,t2,t2total,t3,t3total,,r,10-prec,r-prec,tp,fp,t1,t2,t3
default/77532.java,main,167,247,10,10,10,10,0,0,0,0,done,10,1,1,10,0,10,0,0
default/70495.java,createOutputStream,31,61,10,10,8,8,0,0,2,2,done,10,1,1,10,0,8,0,2
default/121978.java,displayDiffResults,367,414,18,20,17,17,0,0,1,3,done,20,1,1,20,0,20,0,0
default/75592.java,displayDiffResults,367,414,17,19,16,16,0,0,1,3,done,19,1,1,19,0,19,0,0
default/21155.java,displayDiffResults,367,414,16,18,15,15,0,0,1,3,done,18,1,1,18,0,18,0,0
default/19968.java,displayDiffResults,367,414,15,17,14,14,0,0,1,3,done,17,1,1,17,0,17,0,0
default/128812.java,displayDiffResults,367,414,14,16,13,13,0,0,1,3,done,16,1,1,16,0,16,0,0
default/70932.java,displayDiffResults,367,414,13,15,12,12,0,0,1,3,done,15,1,1,15,0,15,0,0
default/1761.java,displayDiffResults,367,414,12,14,11,11,0,0,1,3,done,14,1,1,14,0,14,0,0
default/95983.java,displayDiffResults,367,414,11,13,10,10,0,0,1,3,done,13,1,1,13,0,13,0,0
default/6169.java,displayDiffResults,367,414,10,12,9,9,0,0,1,3,done,12,1,1,12,0,12,0,0
default/37153.java,getSequenceNumber,9,44,1,16,0,0,1,1,0,15,done,16,0.1,0.0625,1,15,0,1,0
default/36739.java,displayDiffResults,367,414,9,11,8,8,0,0,1,3,done,11,1,1,11,0,11,0,0
default/74307.java,displayDiffResults,367,414,8,10,7,7,0,0,1,3,done,10,1,1,10,0,10,0,0
default/64845.java,elimina,18,49,9,19,1,1,0,0,8,18,done,19,1,1,19,0,2,0,17
default/101485.java,uploadFile,52,69,1,16,1,1,0,0,0,15,done,16,0.1,0.0625,1,15,1,0,0
default/31118.java,elimina,18,44,6,20,1,1,0,0,5,19,done,20,1,1,20,0,10,0,10
default/55356.java,doVersionCheck,14,37,16,20,9,9,0,0,7,11,done,20,1,1,20,0,20,0,0
default/88062.java,doVersionCheck,14,37,15,19,8,8,0,0,7,11,done,19,1,1,19,0,19,0,0
default/51877.java,doVersionCheck,8,29,10,19,10,10,0,0,0,9,done,19,1,1,19,0,19,0,0
default/69777.java,doVersionCheck,13,36,13,17,7,7,0,0,6,10,done,17,1,1,17,0,17,0,0
default/38807.java,convert,91,173,13,20,13,20,0,0,0,0,done,20,1,1,20,0,20,0,0
default/1271.java,convert,90,172,13,19,13,19,0,0,0,0,done,19,1,1,19,0,19,0,0
default/100508.java,convert,90,172,13,18,13,18,0,0,0,0,done,18,1,1,18,0,18,0,0
default/103760.java,elimina,57,80,3,19,2,2,0,0,1,17,done,19,1,1,19,0,7,0,12
default/42899.java,elimina,57,80,2,18,1,1,0,0,1,17,done,18,1,1,18,0,6,0,12
default/32245.java,convert,90,172,13,17,13,17,0,0,0,0,done,17,1,1,17,0,17,0,0
default/50984.java,doVersionCheck,14,37,12,16,6,6,0,0,6,10,done,16,1,1,16,0,16,0,0
default/134632.java,convert,90,172,13,16,13,16,0,0,0,0,done,16,1,1,16,0,16,0,0
default/74894.java,doVersionCheck,8,29,9,16,9,9,0,0,0,7,done,16,1,1,16,0,16,0,0
default/94629.java,convert,90,172,12,15,12,15,0,0,0,0,done,15,1,1,15,0,15,0,0
default/41035.java,readAndRewrite,27,46,7,20,7,15,0,0,0,5,done,20,1,1,20,0,20,0,0
default/89548.java,convert,90,172,11,14,11,14,0,0,0,0,done,14,1,1,14,0,14,0,0
default/58574.java,doVersionCheck,14,37,10,14,5,5,0,0,5,9,done,14,1,1,14,0,14,0,0
default/25927.java,readAndRewrite,27,46,7,19,7,14,0,0,0,5,done,19,1,1,19,0,19,0,0
default/20415.java,doVersionCheck,14,37,9,13,4,4,0,0,5,9,done,13,1,1,13,0,13,0,0
default/7503.java,convert,90,172,10,13,10,13,0,0,0,0,done,13,1,1,13,0,13,0,0
default/47322.java,readAndRewrite,27,46,6,18,6,13,0,0,0,5,done,18,1,1,18,0,18,0,0
default/6039.java,readAndRewrite,27,46,5,17,5,12,0,0,0,5,done,17,1,1,17,0,17,0,0
default/32324.java,readAndRewrite,27,46,5,16,5,11,0,0,0,5,done,16,1,1,16,0,16,0,0
default/20880.java,doVersionCheck,8,29,8,13,8,8,0,0,0,5,done,13,1,1,13,0,13,0,0
default/112821.java,doVersionCheck,14,37,8,11,3,3,0,0,5,8,done,11,1,1,11,0,11,0,0
default/51768.java,doVersionCheck,14,37,7,10,2,2,0,0,5,8,done,10,1,1,10,0,10,0,0
default/85558.java,convert,90,172,9,12,9,12,0,0,0,0,done,12,1,1,12,0,12,0,0
default/82481.java,readAndRewrite,27,46,4,15,4,10,0,0,0,5,done,15,1,1,15,0,15,0,0
default/59031.java,doVersionCheck,8,29,7,10,7,7,0,0,0,3,done,10,1,1,10,0,10,0,0
default/31361.java,readAndRewrite,27,46,4,14,4,9,0,0,0,5,done,14,1,1,14,0,14,0,0
default/46926.java,convert,90,172,8,11,8,11,0,0,0,0,done,11,1,1,11,0,11,0,0
default/7384.java,convert,90,172,7,10,7,10,0,0,0,0,done,10,1,1,10,0,10,0,0
default/14070.java,readAndRewrite,27,46,4,13,4,8,0,0,0,5,done,13,1,1,13,0,13,0,0
default/89905.java,readAndRewrite,27,46,3,12,3,7,0,0,0,5,done,12,1,1,12,0,12,0,0
default/109550.java,readAndRewrite,27,46,3,11,3,6,0,0,0,5,done,11,1,1,11,0,11,0,0
default/111788.java,readAndRewrite,27,46,3,10,3,5,0,0,0,5,done,10,1,1,10,0,10,0,0
selected/527236.java,writeTo,153,167,2,16,0,0,2,2,0,14,done,16,0.2,0.125,2,14,0,2,0
selected/184584.java,removerDisciplina,93,113,4,20,0,0,1,1,3,19,done,20,1,0.6,12,8,0,1,11
selected/2375833.java,deleteOrder,10,47,5,12,0,0,3,3,2,9,done,12,0.5,0.416666667,5,7,0,3,2
selected/2375833.java,deleteExecution,49,86,4,11,0,0,2,2,2,9,done,11,0.5,0.454545455,5,6,1,2,2
selected/2375833.java,deleteContract,88,125,3,10,0,0,1,1,2,9,done,10,0.5,0.5,5,5,2,1,2
selected/1360561.java,delete,93,116,15,19,0,0,6,6,9,13,done,19,1,0.894736842,17,2,0,6,11
selected/180318.java,delete,98,121,13,17,0,0,5,5,8,12,done,17,1,1,17,0,0,6,11
selected/2245750.java,unzipEntry,360,377,5,17,4,4,0,0,1,13,done,17,0.8,0.470588235,8,9,4,2,2
selected/66085.java,store,17,43,4,14,4,4,0,0,0,10,done,14,0.5,0.357142857,5,9,5,0,0
selected/66085.java,reset,61,72,11,16,5,5,0,0,6,11,done,16,1,0.6875,11,5,11,0,0
selected/66085.java,reset,74,84,10,13,5,5,0,0,5,8,done,13,1,0.846153846,11,2,6,0,5
selected/2078997.java,testCopy_inputStreamToWriter_nullIn,110,120,7,16,0,0,1,1,6,15,done,16,0.5,0.4375,7,9,0,1,6
selected/2078997.java,testCopy_readerToOutputStream_nullOut,208,218,4,18,0,0,1,1,3,17,done,18,0.6,0.388888889,7,8,0,3,4
selected/56985.java,copyFile,554,575,2,18,1,1,0,0,1,17,done,18,0.6,0.555555556,10,8,1,0,9
selected/1699062.java,unTar,201,215,1,13,0,0,1,1,0,12,done,13,0.2,0.153846154,2,11,0,2,0
selected/490890.java,encrypt,19,39,1,13,1,1,0,0,0,12,done,13,0.2,0.153846154,2,11,1,0,1
selected/792871.java,copyPhoto,76,91,1,13,1,1,0,0,0,12,done,13,0.1,0.076923077,1,12,1,0,0
selected/999978.java,md5,13,29,5,17,1,1,0,0,4,16,done,17,0.4,0.470588235,8,9,1,0,7
selected/184530.java,getInputStream,38,50,2,10,2,2,0,0,0,8,done,10,0.2,0.2,2,8,2,0,0
selected/2210379.java,readObject,493,506,2,18,2,2,0,0,0,16,done,18,0.2,0.111111111,2,16,2,0,0
selected/1208869.java,checksum,1416,1428,2,15,1,1,0,0,1,14,done,15,0.3,0.2,3,12,1,0,2
selected/1874150.java,delete,95,118,10,14,0,0,4,4,6,10,done,14,1,1,14,0,0,5,9
selected/1909072.java,writeFileByBinary,136,149,2,14,0,0,2,2,0,12,done,14,0.4,0.5,7,7,0,2,5
selected/1909072.java,writeFileByChars,177,190,1,13,0,0,1,1,0,12,done,13,0.4,0.461538462,6,7,0,1,5
selected/1161571.java,registerSchema,1151,1183,2,10,1,1,0,0,1,9,done,10,0.7,0.7,7,3,1,0,6
selected/1471359.java,readFileUsingHttp,224,250,2,10,1,1,0,0,1,9,done,10,0.8,0.8,8,2,3,0,5
selected/2236240.java,upload,17,41,1,11,1,2,0,0,0,9,done,11,0.1,0.090909091,1,10,1,0,0
selected/2306186.java,nioBuild,97,115,1,17,1,1,0,0,0,16,done,17,0.3,0.176470588,3,14,1,0,2
selected/1608219.java,writeTo,146,160,1,12,1,1,0,0,0,11,done,12,0.2,0.166666667,2,10,1,1,0
selected/1218421.java,getMD5Str,12,30,9,17,1,1,1,1,7,15,done,17,1,0.882352941,15,2,5,1,9
selected/2333963.java,store,17,43,3,10,3,3,0,0,0,7,done,10,0.5,0.5,5,5,5,0,0
selected/2333963.java,reset,61,72,9,14,4,4,0,0,5,10,done,14,0.5,0.357142857,5,9,5,0,0
selected/2333963.java,reset,74,84,8,11,4,4,0,0,4,7,done,11,0.9,0.909090909,10,1,6,0,4
selected/78050.java,criarQuestaoDiscursiva,60,73,11,19,0,0,1,1,10,18,done,19,1,0.789473684,15,4,0,1,14
selected/78050.java,criarTopicoQuestao,75,89,9,18,1,1,0,0,8,17,done,18,0.9,0.611111111,11,7,1,0,10
selected/78050.java,excluir,126,139,6,17,0,0,1,1,5,16,done,17,1,0.882352941,15,2,0,1,14
selected/2654164.java,copyFile,106,153,7,12,2,2,0,0,5,10,done,12,0.9,0.75,9,3,2,0,7
selected/1419886.java,transfer,115,127,1,20,1,1,0,0,0,19,done,20,0.2,0.1,2,18,2,0,0
selected/277906.java,copyFile,114,127,3,19,1,1,0,0,2,18,done,19,0.7,0.473684211,9,10,2,0,7
selected/1939239.java,testAutoCommit,203,226,1,11,1,1,0,0,0,10,done,11,0.2,0.181818182,2,9,1,0,1
selected/2523541.java,getMD5Str,12,30,6,14,0,0,1,1,5,13,done,14,1,0.785714286,11,3,6,1,4
selected/1207917.java,copy,20,62,15,15,2,2,0,0,13,13,done,15,1,1,15,0,6,0,9
selected/2477731.java,send,20,44,5,20,1,1,0,0,4,19,done,20,0.8,0.65,13,7,1,0,12
selected/194044.java,importRoles,13,35,2,11,0,0,1,1,1,10,done,11,0.2,0.181818182,2,9,0,1,1
selected/1115032.java,generateMD5,92,109,3,20,0,0,1,1,2,19,done,20,0.7,0.6,12,8,0,1,11
selected/1085000.java,deleteProgram,157,200,8,10,0,0,1,1,7,9,done,10,1,1,10,0,0,4,6
selected/2042564.java,getGraphPath,400,411,3,18,1,1,0,0,2,17,done,18,0.3,0.166666667,3,15,1,0,2
selected/398592.java,registerPlayer,36,45,2,13,1,1,0,0,1,12,done,13,0.2,0.153846154,2,11,2,0,0
selected/1280377.java,readObject,556,569,1,11,1,1,0,0,0,10,done,11,0.2,0.181818182,2,9,2,0,0
selected/293333.java,copyFile,72,107,11,13,1,1,0,0,10,12,done,13,1,1,13,0,1,0,12
selected/1784649.java,getWebPage,25,45,1,10,1,1,0,0,0,9,done,10,0.2,0.2,2,8,1,0,1
selected/542382.java,SHA1,191,206,6,14,1,1,2,2,3,11,done,14,1,0.928571429,13,1,2,3,8
selected/1940496.java,getCoded,7,21,2,13,1,1,0,0,1,12,done,13,0.1,0.076923077,1,12,1,0,0
selected/1319165.java,encrypt,17,32,11,20,0,0,2,2,9,18,done,20,1,1,20,0,0,11,9
selected/705884.java,getRandomGUID,38,72,15,17,10,10,1,1,4,6,done,17,1,1,17,0,17,0,0
selected/350687.java,hashString,30,45,2,15,1,1,0,0,1,14,done,15,0.2,0.133333333,2,13,1,0,1
selected/269132.java,hash,375,386,2,14,1,1,0,0,1,13,done,14,1,1,14,0,3,1,10
selected/2261424.java,insert,48,74,1,18,1,1,0,0,0,17,done,18,0.1,0.111111111,2,16,1,0,1
selected/814095.java,getRandomGUID,38,72,14,15,9,9,1,1,4,5,done,15,1,1,15,0,15,0,0
selected/1132046.java,getRandomGUID,177,211,13,14,8,8,1,1,4,5,done,14,1,1,14,0,14,0,0
selected/338794.java,getMD5_Base64,17,33,6,14,0,0,1,1,5,13,done,14,0.8,0.857142857,12,2,0,2,10
