r,10-prec,r-prec,tp,fp,t1,t2,t3
10,1,1.0,1.0,10,0,10,0,0
10,1,1.0,1.0,10,0,8,0,2
20,1,1.0,1.0,20,0,20,0,0
19,1,1.0,1.0,19,0,19,0,0
18,1,1.0,1.0,18,0,18,0,0
17,1,1.0,1.0,17,0,17,0,0
16,1,1.0,1.0,16,0,16,0,0
15,1,1.0,1.0,15,0,15,0,0
14,1,1.0,1.0,14,0,14,0,0
13,1,1.0,1.0,13,0,13,0,0
12,1,1.0,1.0,12,0,12,0,0
16,1,0.1,0.0625,1,15,0,1,0
11,1,1.0,1.0,11,0,11,0,0
10,1,1.0,1.0,10,0,10,0,0
19,1,1.0,1.0,19,0,2,0,17
16,1,0.1,0.0625,1,15,1,0,0
20,1,1.0,1.0,20,0,10,0,10
20,1,1.0,1.0,20,0,20,0,0
19,1,1.0,1.0,19,0,19,0,0
19,1,1.0,1.0,19,0,19,0,0
17,1,1.0,1.0,17,0,17,0,0
20,1,1.0,1.0,20,0,20,0,0
19,1,1.0,1.0,19,0,19,0,0
18,1,1.0,1.0,18,0,18,0,0
19,1,1.0,1.0,19,0,7,0,12
18,1,1.0,1.0,18,0,6,0,12
17,1,1.0,1.0,17,0,17,0,0
16,1,1.0,1.0,16,0,16,0,0
16,1,1.0,1.0,16,0,16,0,0
16,1,1.0,1.0,16,0,16,0,0
15,1,1.0,1.0,15,0,15,0,0
20,1,1.0,1.0,20,0,20,0,0
14,1,1.0,1.0,14,0,14,0,0
14,1,1.0,1.0,14,0,14,0,0
19,1,1.0,1.0,19,0,19,0,0
13,1,1.0,1.0,13,0,13,0,0
13,1,1.0,1.0,13,0,13,0,0
18,1,1.0,1.0,18,0,18,0,0
17,1,1.0,1.0,17,0,17,0,0
16,1,1.0,1.0,16,0,16,0,0
13,1,1.0,1.0,13,0,13,0,0
11,1,1.0,1.0,11,0,11,0,0
10,1,1.0,1.0,10,0,10,0,0
12,1,1.0,1.0,12,0,12,0,0
15,1,1.0,1.0,15,0,15,0,0
10,1,1.0,1.0,10,0,10,0,0
14,1,1.0,1.0,14,0,14,0,0
11,1,1.0,1.0,11,0,11,0,0
10,1,1.0,1.0,10,0,10,0,0
13,1,1.0,1.0,13,0,13,0,0
12,1,1.0,1.0,12,0,12,0,0
11,1,1.0,1.0,11,0,11,0,0
10,1,1.0,1.0,10,0,10,0,0
16,1,0.2,0.125,2,14,0,2,0
20,1,1.0,0.6,12,8,0,1,11
12,1,0.5,0.4166666666666667,5,7,0,3,2
11,1,0.5,0.45454545454545453,5,6,1,2,2
10,1,0.5,0.5,5,5,2,1,2
19,1,1.0,0.8947368421052632,17,2,0,6,11
17,1,1.0,1.0,17,0,0,6,11
17,1,0.8,0.47058823529411764,8,9,4,2,2
14,1,0.5,0.35714285714285715,5,9,5,0,0
16,1,1.0,0.6875,11,5,11,0,0
13,1,1.0,0.8461538461538461,11,2,6,0,5
16,1,0.5,0.4375,7,9,0,1,6
18,1,0.6,0.3888888888888889,7,8,0,3,4
18,1,0.6,0.5555555555555556,10,8,1,0,9
13,1,0.2,0.15384615384615385,2,11,0,2,0
13,1,0.2,0.15384615384615385,2,11,1,0,1
13,1,0.1,0.07692307692307693,1,12,1,0,0
17,1,0.4,0.47058823529411764,8,9,1,0,7
10,1,0.2,0.2,2,8,2,0,0
18,1,0.2,0.1111111111111111,2,16,2,0,0
15,1,0.3,0.2,3,12,1,0,2
14,1,1.0,1.0,14,0,0,5,9
14,1,0.4,0.5,7,7,0,2,5
13,1,0.4,0.46153846153846156,6,7,0,1,5
10,1,0.7,0.7,7,3,1,0,6
10,1,0.8,0.8,8,2,3,0,5
11,1,0.1,0.09090909090909091,1,10,1,0,0
17,1,0.3,0.17647058823529413,3,14,1,0,2
12,1,0.2,0.16666666666666666,2,10,1,1,0
17,1,1.0,0.8823529411764706,15,2,5,1,9
10,1,0.5,0.5,5,5,5,0,0
14,1,0.5,0.35714285714285715,5,9,5,0,0
11,2,0.9,0.9090909090909091,10,1,6,0,4
19,1,1.0,0.7894736842105263,15,4,0,1,14
18,1,0.9,0.6111111111111112,11,7,1,0,10
17,1,1.0,0.8823529411764706,15,2,0,1,14
12,1,0.9,0.75,9,3,2,0,7
20,1,0.2,0.1,2,18,2,0,0
19,1,0.7,0.47368421052631576,9,10,2,0,7
11,1,0.2,0.18181818181818182,2,9,1,0,1
14,1,1.0,0.7857142857142857,11,3,6,1,4
15,1,1.0,1.0,15,0,6,0,9
20,1,0.8,0.65,13,7,1,0,12
11,1,0.2,0.18181818181818182,2,9,0,1,1
20,1,0.7,0.6,12,8,0,1,11
10,1,1.0,1.0,10,0,0,4,6
18,1,0.3,0.16666666666666666,3,15,1,0,2
13,1,0.2,0.15384615384615385,2,11,2,0,0
11,1,0.2,0.18181818181818182,2,9,2,0,0
13,1,1.0,1.0,13,0,1,0,12
10,1,0.2,0.2,2,8,1,0,1
14,1,1.0,0.9285714285714286,13,1,2,3,8
13,1,0.1,0.07692307692307693,1,12,1,0,0
20,1,1.0,1.0,20,0,0,11,9
17,1,1.0,1.0,17,0,17,0,0
15,1,0.2,0.13333333333333333,2,13,1,0,1
14,1,1.0,1.0,14,0,3,1,10
18,1,0.1,0.1111111111111111,2,16,1,0,1
15,1,1.0,1.0,15,0,15,0,0
14,1,1.0,1.0,14,0,14,0,0
14,1,0.8,0.8571428571428571,12,2,0,2,10
13,1,1.0,1.0,13,0,8,5,0
12,1,1.0,1.0,12,0,12,0,0
13,1,0.4,0.3076923076923077,4,9,1,0,3
17,1,0.7,0.8235294117647058,14,3,1,0,13
10,1,1.0,1.0,10,0,10,0,0
12,1,0.6,0.5833333333333334,7,5,0,2,5
10,1,1.0,1.0,10,0,10,0,0
11,1,1.0,1.0,11,0,3,0,8
20,1,1.0,1.0,20,0,20,0,0
19,1,1.0,1.0,19,0,19,0,0
18,1,1.0,1.0,18,0,18,0,0
17,1,1.0,1.0,17,0,17,0,0
16,1,1.0,1.0,16,0,16,0,0
15,1,1.0,1.0,15,0,15,0,0
14,1,1.0,1.0,14,0,14,0,0
16,1,1.0,1.0,16,0,0,9,7
12,1,1.0,1.0,12,0,0,9,3
11,1,1.0,1.0,11,0,0,9,2
10,1,1.0,1.0,10,0,0,9,1
13,1,1.0,1.0,13,0,13,0,0
12,1,1.0,1.0,12,0,12,0,0
11,1,1.0,1.0,11,0,0,1,10
11,1,0.5,0.45454545454545453,5,6,2,0,3
17,1,1.0,0.9411764705882353,16,1,2,0,14
13,1,0.6,0.6153846153846154,8,5,1,0,7
13,1,1.0,1.0,13,0,2,1,10
15,1,1.0,1.0,15,0,13,2,0
10,1,1.0,1.0,10,0,2,1,7
r,10-prec,r-prec,tp,fp,t1,t2,t3
10,1,1.0,1.0,10,0,10,0,0
10,1,1.0,1.0,10,0,8,0,2
20,1,1.0,1.0,20,0,20,0,0
19,1,1.0,1.0,19,0,19,0,0
18,1,1.0,1.0,18,0,18,0,0
17,1,1.0,1.0,17,0,17,0,0
16,1,1.0,1.0,16,0,16,0,0
15,1,1.0,1.0,15,0,15,0,0
14,1,1.0,1.0,14,0,14,0,0
13,1,1.0,1.0,13,0,13,0,0
12,1,1.0,1.0,12,0,12,0,0
16,1,0.1,0.0625,1,15,0,1,0
