0,Q,default/15247.java_elimina,57,80
1,R,default/64845.java_elimina,18,49,T3
2,R,default/23311.java_elimina,18,49,T3
3,R,default/106460.java_elimina,18,49,T3
4,R,default/99790.java_elimina,18,44,T3
5,R,default/9310.java_elimina,18,44,T3
6,R,default/88233.java_elimina,18,44,T3
7,R,default/64702.java_elimina,18,44,F
8,R,default/64671.java_elimina,18,44,T3
9,R,default/49637.java_elimina,18,44,T3
10,R,default/31118.java_elimina,18,44,T3
11,R,default/135319.java_elimina,18,44,T3
12,R,default/111698.java_elimina,18,44,T3
13,R,default/97964.java_elimina,57,80,T1
14,R,default/58395.java_elimina,57,80,T1
15,R,default/52984.java_elimina,57,80,T1
16,R,default/51911.java_elimina,57,80,T1
17,R,default/50301.java_elimina,57,80,T1
18,R,default/42899.java_elimina,57,80,T1
19,R,default/16109.java_elimina,57,80,T1
20,R,default/12832.java_elimina,57,80,T1
21,R,default/113112.java_elimina,57,80,F
22,R,default/109894.java_elimina,57,80,T1
23,R,default/103760.java_elimina,57,80,T1
24,R,default/58326.java_elimina,18,41,T3
25,R,default/97964.java_addPedido,18,55,F
26,R,default/58395.java_addPedido,18,55,F
27,R,default/52984.java_addPedido,18,55,F
28,R,default/51911.java_addPedido,18,55,F
29,R,default/50301.java_addPedido,18,55,F
30,R,default/42899.java_addPedido,18,55,F
31,R,default/16109.java_addPedido,18,55,F
32,R,default/15247.java_addPedido,18,55,F
33,R,default/12832.java_addPedido,18,55,F
34,R,default/113112.java_addPedido,18,55,F
35,R,default/109894.java_addPedido,18,55,F
36,R,default/103760.java_addPedido,18,55,F
37,R,default/58326.java_addCliente,83,128,F
38,R,default/99790.java_addCliente,87,141,F
39,R,default/9310.java_addCliente,87,141,F
40,R,default/88233.java_addCliente,87,141,F
41,R,default/64845.java_addCliente,93,147,F
42,R,default/64702.java_addCliente,87,141,F
43,R,default/64671.java_addCliente,87,141,F
44,R,default/49637.java_addCliente,87,141,F
45,R,default/31118.java_addCliente,87,141,F
46,R,default/23311.java_addCliente,93,147,F
47,R,default/135319.java_addCliente,87,141,F
48,R,default/111698.java_addCliente,87,141,F
49,R,default/106460.java_addCliente,92,146,F
50,R,default/64845.java_getCliente,51,91,F
51,R,default/23311.java_getCliente,51,91,F
52,R,default/99790.java_getCliente,46,85,F
53,R,default/9310.java_getCliente,46,85,F
54,R,default/88233.java_getCliente,46,85,F
55,R,default/64702.java_getCliente,46,85,F
56,R,default/64671.java_getCliente,46,85,F
57,R,default/58326.java_getCliente,43,81,F
58,R,default/49637.java_getCliente,46,85,F
59,R,default/31118.java_getCliente,46,85,F
60,R,default/135319.java_getCliente,46,85,F
61,R,default/111698.java_getCliente,46,85,F
62,R,default/106460.java_getCliente,51,90,F
63,R,selected/37616.java_deleteForDevice,43,63,F
64,R,selected/1523599.java_createAndExecuteInsertStatement,333,389,F
65,R,selected/718795.java_setXref,135,202,F
66,R,default/67821.java_chkRestart,666,690,F
67,R,selected/1410383.java_delProvision,107,119,F
68,R,default/90115.java_startProcess,331,399,F
69,R,default/67821.java_startProcess,331,399,F
70,R,default/83210.java_processEnergy,78,93,F
71,R,default/67550.java_processEnergy,57,72,F
72,R,default/58941.java_processEnergy,57,72,F
73,R,default/47706.java_processEnergy,57,72,F
74,R,selected/2603299.java_loadDataxDimensions,278,303,F
75,R,selected/605264.java_deleteFactory,88,103,F
76,R,selected/892331.java_delProjectManage,131,143,F
77,R,selected/2603299.java_loadPrecisionUnit,305,350,F
78,R,selected/1247634.java_auditingProject,175,188,F
79,R,selected/24546.java_eliminarUsuario,72,128,F
80,R,selected/1884717.java_getProject,181,235,F
81,R,selected/1247634.java_delProject,130,168,F
82,R,selected/816648.java_getAMessage,149,169,F
83,R,selected/1207938.java_getEditRow,14,44,F
84,R,selected/1523599.java_exec,225,244,F
85,R,selected/1384468.java_setXref,131,206,F
86,R,selected/615238.java_logEvent,164,197,F
87,R,default/67821.java_ProcessDaemon,401,498,F
88,R,selected/1978074.java_createDatabase,176,225,F
89,R,selected/2523414.java_deleteAll,121,141,F
90,R,selected/2240360.java_deleteAll,113,133,F
91,R,selected/1069586.java_selecMaxCod,88,104,F
92,R,selected/1884717.java_insertProject,74,111,F
93,R,default/108129.java_addField,408,420,F
94,R,selected/2133499.java_handle,22,81,F
95,R,selected/2205225.java_UpdateStudyModality,52,71,F
96,R,selected/1841021.java_createDatabase,106,145,F
97,R,selected/1105837.java_dropDbTables,420,484,F
98,R,selected/1884717.java_deleteProject,36,72,F
99,R,selected/1834473.java_mostrarReporte,40,74,F
100,R,selected/1018622.java_FileGetter,50,86,F

0,Q,default/77532.java_main,167,247
1,R,default/71774.java_main,167,247,T1
2,R,default/6763.java_main,167,247,T1
3,R,default/63465.java_main,167,247,T1
4,R,default/54249.java_main,167,247,T1
5,R,default/37863.java_main,167,247,T1
6,R,default/134888.java_main,167,247,T1
7,R,default/131341.java_main,167,247,T1
8,R,default/129277.java_main,167,247,T1
9,R,default/11235.java_main,167,247,T1
