before,after
1,0.6
1,0.4
1,0.4
1,0.4
1,0.4
1,0.4
1,0.4
0.1,0.4
1,0.4
1,0.4
0.9,1
0.4,1
0.4,1
0.8,1
0.8,1
0.8,1
0.8,1
0.1,1
0.4,1
0.4,1
1,1
0.4,1
0.4,1
0.4,1
0.4,1
0.4,1
0.4,1
0.1,1
0.4,1
0.4,1
0.6,0.9
0.6,1
0.5,1
0.4,0.8
0.5,1
0.6,0.8
0.6,1
0.3,1
0.4,1
0.4,1
1,1
0.4,0.6
0.4,0.6
0.4,1
0.4,1
0.4,1
0.4,1
0.1,0.8
0.4,0.6
0.4,0.6
1,1
1,0.8
1,0.8
1,1
1,1
1,1
1,1
0.5,1
0.9,0.8
0.9,0.8
0.9,0.6
0.4,0.4
0.4,0.4
0.8,0.6
0.6,0.6
0.8,0.6
0.6,0.6
0.1,0.6
0.4,0.4
0.4,0.4
1,1
0.6,0.8
0.6,0.9
1,1
1,1
1,1
1,1
0.3,1
0.6,0.9
0.6,0.8
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.5,1
1,1
1,1
0.8,0.8
0.7,1
0.6,1
0.6,0.8
0.6,0.8
0.6,0.8
0.6,0.8
0.3,0.8
0.6,0.8
0.6,0.8
