before,after
1,0.669798547
1,0.589311908
1,0.589311908
1,0.648108342
1,0.649277219
1,0.648108342
1,0.649277219
0.443105742,0.577554679
1,0.589311908
1,0.589311908
0.935436505,1
0.54497273,1
0.54497273,1
0.835937124,1
0.835937124,1
0.835937124,1
0.835937124,1
0.443105742,1
0.564675374,1
0.564675374,1
1,1
0.728943565,1
0.728943565,1
0.728943565,1
0.728943565,1
0.728943565,1
0.728943565,1
0.407147926,1
0.721999124,1
0.715325144,1
0.782418832,0.980909091
0.728822671,1
0.641611741,1
0.602994403,0.965151513
0.673451549,1
0.624639821,0.965151513
0.805471778,1
0.38911269,1
0.470407163,1
0.460883354,1
1,1
0.520844173,0.786517936
0.526798475,0.786517936
0.653822672,1
0.594380134,1
0.653822672,1
0.595895287,1
0.443105742,0.922929293
0.57217503,0.786517936
0.57217503,0.786517936
1,1
1,0.891976911
1,0.908643579
1,1
1,1
1,1
1,1
0.683489019,1
0.971428573,0.844865698
0.971428573,0.844865698
0.957297981,0.806274515
0.535658787,0.514892569
0.52818633,0.511414671
0.933246756,0.65885874
0.856676662,0.66918698
0.933246756,0.65885874
0.870962375,0.669939668
0.430478829,0.738290042
0.521207869,0.511356203
0.521207869,0.511356203
1,1
0.722014892,0.945151514
0.726560345,0.983333331
1,1
1,1
1,1
1,1
0.494585651,1
0.693999445,0.983333331
0.689488167,0.945151514
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.699814078,1
1,1
1,1
0.907341272,0.865588021
0.837484743,1
0.702445897,1
0.753131878,0.844865698
0.706611997,0.940659344
0.753131878,0.844865698
0.836570838,0.940659344
0.403702061,0.91058802
0.614264393,0.911024535
0.614264393,0.911024535
