before,after
1,1
0.465344439,0.449428725
1,0.855158736
0.70515874,1
0.675757587,0.441811663
0.465344439,0.449428725
0.788492074,0.910714289
0.647186155,0.441811663
1,0.855158736
0.387514574,0.482580386
0.788492074,0.910714289
0.62020203,0.525301665
1,1
0.958333333,1
0.460677288,1
0.958333333,1
0.976190478,1
1,1
1,1
0.763492078,1
0.888888886,1
0.763492078,1
1,1
0.817857146,1
1,1
0.352622882,1
1,1
1,1
1,1
0.876984124,1
0.537400797,0.602741708
0.435317469,0.57837302
0.426136367,0.53104576
0.393634625,0.606959711
0.3639559,0.620687835
0.350304591,0.620687835
0.417285763,1
0.353035368,0.70515874
0.33304553,0.636243393
0.518464861,0.642424251
0.320258503,1
0.455237225,0.68068784
0.425616206,0.606959711
0.76349207,0.742592598
0.422160437,0.725757579
0.724531025,0.910714289
0.431332116,0.499891783
0.42706119,0.68068784
0.334390571,0.551129426
0.817857146,0.855555554
0.742982457,0.766835024
0.451573079,1
0.353276357,0.621164034
0.651515154,0.792424247
0.399422017,0.759259264
0.585536445,0.948412697
0.353742559,0.636243393
0.397000469,0.596642256
0.474126987,0.910714289
0.469997601,0.582341274
0.632275149,0.524708634
0.447420642,0.481060614
1,1
0.416073119,0.910714289
0.627777785,1
0.485484548,1
0.293443004,0.948412697
1,1
0.587830697,1
1,1
0.445541963,0.477669562
1,1
0.720039691,0.591086696
0.425438066,0.441805502
0.948412697,1
0.485484548,1
0.41438393,0.910714289
0.490824918,0.502192987
0.915079365,1
1,1
0.401241588,1
0.613888899,0.434375003
1,0.610780423
0.780158738,0.916666667
1,1
0.713293662,0.575132286
0.582539697,1
0.718686879,0.475916373
1,0.910714289
0.885714293,1
0.713293662,1
0.976190478,0.597312411
1,0.910714289
0.63607505,0.480925252
0.64718615,1
0.697125107,1
1,0.788492074
1,0.788492074
0.649420033,0.436802357
0.642429801,1
1,1
0.706973583,0.731944452
0.485606064,0.519408375
0.43728674,0.432763979
0.332206746,0.540540079
0.358716366,0.958333333
0.73771368,0.504810229
0.52899832,0.765594542
0.435129794,0.421900644
0.948412697,1
1,0.793269232
0.394094306,0.409684569
0.307323235,0.322074917
0.386324793,0.429761906
1,0.784722224
0.391880438,0.405507458
1,0.784722224
0.479166667,0.394246037
0.441354635,0.417236123
0.340661143,0.355383026
0.766203711,0.504810229
0.896825403,0.654208199
0.559935903,0.48771368
0.910714289,0.654208199
0.301943079,0.320090791
0.408225117,0.478079448
0.586868693,0.552398995
0.465079372,0.481697569
1,1
0.480678824,0.475000001
0.492867276,0.492569938
1,1
1,1
0.737037053,0.825757578
0.465344439,0.575426544
0.419793176,0.485427809
1,0.930555552
0.415870341,0.416993469
1,1
0.70515874,1
1,1
0.465344439,0.575426544
0.737037053,0.859259268
0.398580591,1
0.436955291,0.924242427
1,1
0.638143562,1
0.620224806,1
0.337826545,0.691269855
0.575757583,1
0.450554068,0.924242427
0.49732458,0.881944448
0.524420028,1
0.435728438,0.727182547
0.444810746,1
0.412044883,0.976190478
1,1
0.594432235,1
0.467816095,1
0.382275139,0.924242427
0.855555554,1
0.577711642,1
0.645743149,1
0.523002587,1
0.346800081,0.910714289
0.414416606,0.924242427
0.577711642,1
0.734259268,1
0.461890248,0.881944448
0.605458091,1
0.409791405,0.976190478
0.895833333,1
0.422134042,0.976190478
0.87222222,1
0.624373436,1
0.958333333,1
0.70515874,1
0.47437344,1
0.620224806,1
0.645743149,1
0.467816095,1
0.356541865,0.559090917
0.385317465,0.958333333
0.489084105,0.944444448
0.373506879,0.958333333
0.497020612,0.944444448
1,0.633730163
0.470862473,1
1,0.870370371
0.328468544,0.910714289
0.958333333,1
0.572765621,0.873412699
1,0.749827467
1,0.633730163
0.873412699,1
1,1
0.472860366,0.910714289
1,0.883333335
0.729199789,0.910714289
0.657834509,1
0.958333333,1
0.558201058,1
0.635353545,0.948412697
0.976190478,1
