0,Q,default/15247.java_elimina,57,80
1,R,default/97964.java_elimina,57,80,T1
2,R,default/58395.java_elimina,57,80,T1
3,R,default/52984.java_elimina,57,80,T1
4,R,default/51911.java_elimina,57,80,T1
5,R,default/50301.java_elimina,57,80,T1
6,R,default/42899.java_elimina,57,80,T1
7,R,default/16109.java_elimina,57,80,T1
8,R,default/12832.java_elimina,57,80,T1
9,R,default/113112.java_elimina,57,80,MT1
10,R,default/109894.java_elimina,57,80,T1
11,R,default/103760.java_elimina,57,80,T1
12,R,default/99790.java_elimina,18,44,T3
13,R,default/9310.java_elimina,18,44,T3
14,R,default/88233.java_elimina,18,44,T3
15,R,default/64702.java_elimina,18,44,MT3
16,R,default/64671.java_elimina,18,44,T3
17,R,default/49637.java_elimina,18,44,T3
18,R,default/31118.java_elimina,18,44,T3
19,R,default/135319.java_elimina,18,44,T3
20,R,default/111698.java_elimina,18,44,T3
21,R,default/64845.java_elimina,18,49,T3
22,R,default/23311.java_elimina,18,49,T3
23,R,default/106460.java_elimina,18,49,T3
24,R,default/58326.java_elimina,18,41,T3
25,R,default/97964.java_addPedido,18,55,F
26,R,default/58395.java_addPedido,18,55,F
27,R,default/52984.java_addPedido,18,55,F
28,R,default/51911.java_addPedido,18,55,F
29,R,default/50301.java_addPedido,18,55,F
30,R,default/42899.java_addPedido,18,55,F
31,R,default/16109.java_addPedido,18,55,F
32,R,default/15247.java_addPedido,18,55,F
33,R,default/12832.java_addPedido,18,55,F
34,R,default/113112.java_addPedido,18,55,F
35,R,default/109894.java_addPedido,18,55,F
36,R,default/103760.java_addPedido,18,55,F
37,R,default/96550.java_elimina,69,80,F
38,R,default/65861.java_elimina,69,80,F
39,R,default/50392.java_elimina,69,80,F
40,R,default/3561.java_elimina,69,80,F
41,R,default/2293.java_elimina,69,80,F
42,R,default/19019.java_elimina,69,80,F
43,R,default/16087.java_elimina,69,80,F
44,R,default/15854.java_elimina,69,80,F
45,R,default/124983.java_elimina,69,80,F
46,R,default/120720.java_elimina,69,80,F
47,R,default/120240.java_elimina,69,80,F
48,R,default/69830.java_eliminaProducto,88,102,F
49,R,default/46059.java_eliminaProducto,85,99,F
50,R,default/90951.java_elimina,68,79,F
51,R,default/51933.java_elimina,93,104,F
52,R,default/49263.java_elimina,68,79,F
53,R,default/47899.java_elimina,68,79,F
54,R,default/36614.java_elimina,68,79,F
55,R,default/35278.java_elimina,93,104,F
56,R,default/34386.java_elimina,68,79,F
57,R,default/33826.java_elimina,48,59,F
58,R,default/22073.java_elimina,93,104,F
59,R,default/17870.java_elimina,68,79,F
60,R,default/135949.java_elimina,68,79,F
61,R,default/135899.java_elimina,68,79,F
62,R,default/11218.java_elimina,48,59,F
63,R,default/102844.java_elimina,68,79,F
64,R,default/83139.java_eliminaEmpleado,80,114,F
65,R,default/82987.java_eliminaEmpleado,80,114,F
66,R,default/79137.java_eliminaEmpleado,80,114,F
67,R,default/10761.java_eliminaEmpleado,80,114,F
68,R,default/99790.java_addCliente,87,141,F
69,R,default/9310.java_addCliente,87,141,F
70,R,default/88233.java_addCliente,87,141,F
71,R,default/64845.java_addCliente,93,147,F
72,R,default/64702.java_addCliente,87,141,F
73,R,default/64671.java_addCliente,87,141,F
74,R,default/49637.java_addCliente,87,141,F
75,R,default/31118.java_addCliente,87,141,F
76,R,default/23311.java_addCliente,93,147,F
77,R,default/135319.java_addCliente,87,141,F
78,R,default/111698.java_addCliente,87,141,F
79,R,default/106460.java_addCliente,92,146,F
80,R,default/61112.java_eliminaProducto,85,101,F
81,R,default/89129.java_elimina,38,49,F
82,R,default/88176.java_elimina,38,49,F
83,R,default/84166.java_elimina,40,51,F
84,R,default/82881.java_elimina,38,49,F
85,R,default/77001.java_elimina,38,49,F
86,R,default/67642.java_elimina,38,49,F
87,R,default/62978.java_elimina,38,49,F
88,R,default/5759.java_elimina,40,51,F
89,R,default/22393.java_elimina,38,49,F
90,R,default/20673.java_elimina,38,49,F
91,R,default/12740.java_elimina,38,49,F
92,R,default/120751.java_elimina,38,49,F
93,R,default/11607.java_elimina,38,49,F
94,R,default/111318.java_elimina,40,51,F
95,R,default/94557.java_existeFactura,111,133,F
96,R,default/90607.java_existeFactura,95,117,F
97,R,default/85294.java_existeProducto,139,161,F
98,R,default/76638.java_existeFactura,111,133,F
99,R,default/75697.java_existeProducto,139,161,F
100,R,default/74313.java_existeFamilia,109,131,F

0,Q,default/77532.java_main,167,247
1,R,selected/1693534.java_main,81,161,T1
2,R,default/71774.java_main,167,247,T1
3,R,default/6763.java_main,167,247,T1
4,R,default/63465.java_main,167,247,T1
5,R,default/54249.java_main,167,247,T1
6,R,default/37863.java_main,167,247,T1
7,R,default/134888.java_main,167,247,T1
8,R,default/131341.java_main,167,247,T1
9,R,default/129277.java_main,167,247,T1
10,R,default/11235.java_main,167,247,T1
11,R,default/76052.java_main,45,128,F
12,R,default/56450.java_main,43,85,F
13,R,selected/1369464.java_copyFiles,159,190,F
14,R,selected/2067192.java_main,747,1016,F
