query,start,end,tp,total,t1,t1total,t2,t2total,t3,t3total
default/77532.java_main,167,247,10,10,10,10,0,0,0,0,
default/70495.java_createOutputStream,31,61,10,10,8,8,0,0,2,2
default/121978.java_displayDiffResults,367,414,18,20,17,17,0,0,1,3
default/75592.java_displayDiffResults,367,414,17,19,16,16,0,0,1,3
default/21155.java_displayDiffResults,367,414,16,18,15,15,0,0,1,3
default/19968.java_displayDiffResults,367,414,15,17,14,14,0,0,1,3
default/128812.java_displayDiffResults,367,414,14,16,13,13,0,0,1,3
default/70932.java_displayDiffResults,367,414,13,15,12,12,0,0,1,3
default/1761.java_displayDiffResults,367,414,12,14,11,11,0,0,1,3
default/95983.java_displayDiffResults,367,414,11,13,10,10,0,0,1,3
default/6169.java_displayDiffResults,367,414,10,12,9,9,0,0,1,3
default/37153.java_getSequenceNumber,9,44,1,16,0,0,1,1,0,15
default/36739.java_displayDiffResults,367,414,9,11,8,8,0,0,1,3
default/74307.java_displayDiffResults,367,414,8,10,7,7,0,0,1,3
default/64845.java_elimina,18,49,9,19,1,1,0,0,8,18
default/101485.java_uploadFile,52,69,1,16,1,1,0,0,0,15
default/31118.java_elimina,18,44,6,20,1,1,0,0,5,19
default/55356.java_doVersionCheck,14,37,16,20,9,9,0,0,7,11
default/88062.java_doVersionCheck,14,37,15,19,8,8,0,0,7,11
default/51877.java_doVersionCheck,8,29,10,19,10,10,0,0,0,9
default/69777.java_doVersionCheck,13,36,13,17,7,7,0,0,6,10
default/38807.java_convert,91,173,13,20,13,20,0,0,0,0,
default/1271.java_convert,90,172,13,19,13,19,0,0,0,0,
default/100508.java_convert,90,172,13,18,13,18,0,0,0,0,
default/103760.java_elimina,57,80,3,19,2,2,0,0,1,17
default/42899.java_elimina,57,80,2,18,1,1,0,0,1,17
default/32245.java_convert,90,172,13,17,13,17,0,0,0,0,
default/50984.java_doVersionCheck,14,37,12,16,6,6,0,0,6,10
default/134632.java_convert,90,172,13,16,13,16,0,0,0,0,
default/74894.java_doVersionCheck,8,29,9,16,9,9,0,0,0,7
default/94629.java_convert,90,172,12,15,12,15,0,0,0,0,
default/41035.java_readAndRewrite,27,46,7,20,7,15,0,0,0,5
default/89548.java_convert,90,172,11,14,11,14,0,0,0,0,
default/58574.java_doVersionCheck,14,37,10,14,5,5,0,0,5,9
default/25927.java_readAndRewrite,27,46,7,19,7,14,0,0,0,5
default/20415.java_doVersionCheck,14,37,9,13,4,4,0,0,5,9
default/7503.java_convert,90,172,10,13,10,13,0,0,0,0,
default/47322.java_readAndRewrite,27,46,6,18,6,13,0,0,0,5
default/6039.java_readAndRewrite,27,46,5,17,5,12,0,0,0,5
default/32324.java_readAndRewrite,27,46,5,16,5,11,0,0,0,5
default/20880.java_doVersionCheck,8,29,8,13,8,8,0,0,0,5
default/112821.java_doVersionCheck,14,37,8,11,3,3,0,0,5,8
default/51768.java_doVersionCheck,14,37,7,10,2,2,0,0,5,8
default/85558.java_convert,90,172,9,12,9,12,0,0,0,0,
default/82481.java_readAndRewrite,27,46,4,15,4,10,0,0,0,5
default/59031.java_doVersionCheck,8,29,7,10,7,7,0,0,0,3
default/31361.java_readAndRewrite,27,46,4,14,4,9,0,0,0,5
default/46926.java_convert,90,172,8,11,8,11,0,0,0,0,
default/7384.java_convert,90,172,7,10,7,10,0,0,0,0,
default/14070.java_readAndRewrite,27,46,4,13,4,8,0,0,0,5
default/89905.java_readAndRewrite,27,46,3,12,3,7,0,0,0,5
default/109550.java_readAndRewrite,27,46,3,11,3,6,0,0,0,5
default/111788.java_readAndRewrite,27,46,3,10,3,5,0,0,0,5
selected/527236.java_writeTo,153,167,2,16,0,0,2,2,0,14
selected/184584.java_removerDisciplina,93,113,3,20,0,0,1,1,2,19
selected/2375833.java_deleteOrder,10,47,5,12,0,0,3,3,2,9
selected/2375833.java_deleteExecution,49,86,4,11,0,0,2,2,2,9
selected/2375833.java_deleteContract,88,125,3,10,0,0,1,1,2,9
selected/1360561.java_delete,93,116,15,19,0,0,6,6,9,13
selected/180318.java_delete,98,121,13,17,0,0,5,5,8,12
selected/2245750.java_unzipEntry,360,377,5,17,4,4,0,0,1,13
selected/66085.java_store,17,43,4,14,4,4,0,0,0,10
selected/66085.java_reset,61,72,11,16,5,5,0,0,6,11
selected/66085.java_reset,74,84,10,13,5,5,0,0,5,8
selected/2078997.java_testCopy_inputStreamToWriter_nullIn,110,120,7,16,0,0,1,1,6,15
selected/2078997.java_testCopy_readerToOutputStream_nullOut,208,218,4,18,0,0,1,1,3,17
selected/56985.java_copyFile,554,575,2,18,1,1,0,0,1,17
selected/1699062.java_unTar,201,215,1,13,0,0,1,1,0,12
selected/490890.java_encrypt,19,39,1,13,1,1,0,0,0,12
selected/792871.java_copyPhoto,76,91,1,13,1,1,0,0,0,12
selected/999978.java_md5,13,29,4,17,1,1,0,0,3,16
selected/184530.java_getInputStream,38,50,2,10,2,2,0,0,0,8
selected/2210379.java_readObject,493,506,2,18,2,2,0,0,0,16
selected/1208869.java_checksum,1416,1428,2,15,1,1,0,0,1,14
selected/1874150.java_delete,95,118,10,14,0,0,4,4,6,10
selected/1909072.java_writeFileByBinary,136,149,2,14,0,0,2,2,0,12
selected/1909072.java_writeFileByChars,177,190,1,13,0,0,1,1,0,12
selected/1161571.java_registerSchema,1151,1183,2,10,1,1,0,0,1,9
selected/1471359.java_readFileUsingHttp,224,250,2,10,1,1,0,0,1,9
selected/2236240.java_upload,17,41,1,11,1,2,0,0,0,9
selected/2306186.java_nioBuild,97,115,1,17,1,1,0,0,0,16
selected/1608219.java_writeTo,146,160,1,12,1,1,0,0,0,11
