r,10-prec,r-prec,tp,fp,t1,t2,t3,
10,1,1,1,10,0,10,0,0
10,1,1,1,10,0,8,0,2
20,1,1,1,20,0,20,0,0
19,1,1,1,19,0,19,0,0
18,1,1,1,18,0,18,0,0
17,1,1,1,17,0,17,0,0
16,1,1,1,16,0,16,0,0
15,1,1,1,15,0,15,0,0
14,1,1,1,14,0,14,0,0
13,1,1,1,13,0,13,0,0
12,1,1,1,12,0,12,0,0
16,1,0.1,0.0625,1,15,0,1,0
11,1,1,1,11,0,11,0,0
10,1,1,1,10,0,10,0,0
19,1,1,1,19,0,2,0,17
16,1,0.1,0.0625,1,15,1,0,0
20,1,1,1,20,0,10,0,10
20,1,1,1,20,0,20,0,0
19,1,1,1,19,0,19,0,0
19,1,1,1,19,0,19,0,0
17,1,1,1,17,0,17,0,0
20,1,1,1,20,0,20,0,0
19,1,1,1,19,0,19,0,0
18,1,1,1,18,0,18,0,0
19,1,1,1,19,0,7,0,12
18,1,1,1,18,0,6,0,12
17,1,1,1,17,0,17,0,0
16,1,1,1,16,0,16,0,0
16,1,1,1,16,0,16,0,0
16,1,1,1,16,0,16,0,0
15,1,1,1,15,0,15,0,0
20,1,1,1,20,0,20,0,0
14,1,1,1,14,0,14,0,0
14,1,1,1,14,0,14,0,0
19,1,1,1,19,0,19,0,0
13,1,1,1,13,0,13,0,0
13,1,1,1,13,0,13,0,0
18,1,1,1,18,0,18,0,0
17,1,1,1,17,0,17,0,0
16,1,1,1,16,0,16,0,0
13,1,1,1,13,0,13,0,0
11,1,1,1,11,0,11,0,0
10,1,1,1,10,0,10,0,0
12,1,1,1,12,0,12,0,0
15,1,1,1,15,0,15,0,0
10,1,1,1,10,0,10,0,0
14,1,1,1,14,0,14,0,0
11,1,1,1,11,0,11,0,0
10,1,1,1,10,0,10,0,0
13,1,1,1,13,0,13,0,0
12,1,1,1,12,0,12,0,0
11,1,1,1,11,0,11,0,0
10,1,1,1,10,0,10,0,0
16,1,0.2,0.125,2,14,0,2,0
20,1,1,0.6,12,8,0,1,11
12,1,0.5,0.416666667,5,7,0,3,2
11,1,0.5,0.454545455,5,6,1,2,2
10,1,0.5,0.5,5,5,2,1,2
19,1,1,0.894736842,17,2,0,6,11
17,1,1,1,17,0,0,6,11
17,1,0.8,0.470588235,8,9,4,2,2
14,1,0.5,0.357142857,5,9,5,0,0
16,1,1,0.6875,11,5,11,0,0
13,1,1,0.846153846,11,2,6,0,5
