spring-projects/spring-boot,3797,376219,55415,102217,218587
spring-projects/spring-framework,6739,1058128,156447,321037,580644
bazelbuild/bazel,4602,968898,109580,221450,637868
alibaba/atlas,1204,292144,28869,141575,121700
java-native-access/jna,497,182620,18706,88786,75128
knightliao/disconf,401,31305,6316,7937,17052
twitter/heron,1043,120420,17383,32116,70921
vespa-engine/vespa,6932,760306,108424,105397,546485
apache/groovy,1529,302812,33721,89401,179690
voldemort/voldemort,997,243433,30334,37361,175738
bigbluebutton/bigbluebutton,1136,151354,21015,36840,93499
square/keywhiz,275,29038,3995,5735,19308
linkedin/databus,803,210481,27188,34630,148663
groovy/groovy-core,1375,267451,30137,81820,155494
jphp-compiler/jphp,923,109850,19326,6284,84240
xamarin/XobotOS,5833,1682578,171201,660620,850757
vaadin/framework,5601,718205,99339,208004,410862
apache/incubator-gobblin,2552,309301,45559,81067,182675
liferay/liferay-portal,22278,5692949,1047601,1359892,3285456
shipilev/java-object-layout,
JakeWharton/NotificationCompat2,
isucon/isucon5-qualify,35,3797,605,83,3109
zhangkaitao/spring4-1-showcase,73,1211,189,277,745
Zapotek/raw2vmdk,4,1108,205,445,458
JakeWharton/snooker,
smilebase/org.eclipse.mylynhub,
JakeWharton/trakt-java,
fabriciocolombo/sonar-delphi,264,27364,3580,9318,14466
siom79/jdrivesync,50,4980,499,96,4385
Haehnchen/idea-php-shopware-plugin,91,10827,2185,454,8188
vvk-ehk/ivxv,198,19510,2877,2133,14500
joshbrown/SimpleNote-for-Android,
JodaOrg/joda-primitives,
ququzone/smart-extractor,11,635,78,57,500
CloudWise-OpenSource/Data-Processer,13,714,96,133,485
zouzhenglu/zouzhengluhub.io,
codenauts/HockeySDK-Android,
dain/galaxy-server,
nzakas/datauri,
wibidata/odiago-avro,
Tombarr/StatusBar-,
JakeWharton/pingdom-java,
mkalten/TUIO11_JAVA,23,4174,569,1645,1960
