settings,precision,mrr,map
ib_ll_df_no_w_2,0.896,1,0.9980097
ib_ll_df_h1_w_2,0.896,1,0.9980097
ib_ll_df_h2_w_2,0.896,1,0.9980097
ib_ll_df_h3_w_2,0.896,1,0.9980097
ib_ll_df_z_w_2,0.896,1,0.9980097
ib_ll_ttf_no_w_2,0.896,1,0.9980097
ib_ll_ttf_h1_w_2,0.896,1,0.9980097
ib_ll_ttf_h2_w_2,0.896,1,0.9980097
ib_ll_ttf_h3_w_2,0.896,1,0.9980097
ib_ll_ttf_z_w_2,0.896,1,0.9980097
ib_spl_df_no_w_2,0.896,1,0.9980097
ib_spl_df_h1_w_2,0.896,1,0.9980097
ib_spl_df_h2_w_2,0.896,1,0.9980097
ib_spl_df_h3_w_2,0.896,1,0.9980097
ib_spl_df_z_w_2,0.896,1,0.9980097
ib_spl_ttf_no_w_2,0.896,1,0.9980097
ib_spl_ttf_h1_w_2,0.896,1,0.9980097
ib_spl_ttf_h2_w_2,0.896,1,0.9980097
ib_spl_ttf_h3_w_2,0.896,1,0.9980097
ib_spl_ttf_z_w_2,0.896,1,0.9980097
ib_ll_df_no_dw_2,0.89,1,0.99643254
ib_ll_df_h1_dw_2,0.89,1,0.99643254
ib_ll_df_h2_dw_2,0.89,1,0.99643254
ib_ll_df_h3_dw_2,0.89,1,0.99643254
ib_ll_df_z_dw_2,0.89,1,0.99643254
ib_ll_ttf_no_dw_2,0.89,1,0.99643254
ib_ll_ttf_h1_dw_2,0.89,1,0.99643254
ib_ll_ttf_h2_dw_2,0.89,1,0.99643254
ib_ll_ttf_h3_dw_2,0.89,1,0.99643254
ib_ll_ttf_z_dw_2,0.89,1,0.99643254
ib_spl_df_no_dw_2,0.89,1,0.99643254
ib_spl_df_h1_dw_2,0.89,1,0.99643254
ib_spl_df_h2_dw_2,0.89,1,0.99643254
ib_spl_df_h3_dw_2,0.89,1,0.99643254
ib_spl_df_z_dw_2,0.89,1,0.99643254
ib_spl_ttf_no_dw_2,0.89,1,0.99643254
ib_spl_ttf_h1_dw_2,0.89,1,0.99643254
ib_spl_ttf_h2_dw_2,0.89,1,0.99643254
ib_spl_ttf_h3_dw_2,0.89,1,0.99643254
ib_spl_ttf_z_dw_2,0.89,1,0.99643254
ib_ll_df_no_jkw_2,0.878,1,0.995843034
ib_ll_df_h1_jkw_2,0.878,1,0.995843034
ib_ll_df_h2_jkw_2,0.878,1,0.995843034
ib_ll_df_h3_jkw_2,0.878,1,0.995843034
ib_ll_df_z_jkw_2,0.878,1,0.995843034
ib_ll_ttf_no_jkw_2,0.878,1,0.995843034
ib_ll_ttf_h1_jkw_2,0.878,1,0.995843034
ib_ll_ttf_h2_jkw_2,0.878,1,0.995843034
ib_ll_ttf_h3_jkw_2,0.878,1,0.995843034
ib_ll_ttf_z_jkw_2,0.878,1,0.995843034
ib_spl_df_no_jkw_2,0.878,1,0.995843034
ib_spl_df_h1_jkw_2,0.878,1,0.995843034
ib_spl_df_h2_jkw_2,0.878,1,0.995843034
ib_spl_df_h3_jkw_2,0.878,1,0.995843034
ib_spl_df_z_jkw_2,0.878,1,0.995843034
ib_spl_ttf_no_jkw_2,0.878,1,0.995843034
ib_spl_ttf_h1_jkw_2,0.878,1,0.995843034
ib_spl_ttf_h2_jkw_2,0.878,1,0.995843034
ib_spl_ttf_h3_jkw_2,0.878,1,0.995843034
ib_spl_ttf_z_jkw_2,0.878,1,0.995843034
ib_ll_df_no_djkw_2,0.872,1,0.995731922
ib_ll_df_h1_djkw_2,0.872,1,0.995731922
ib_ll_df_h2_djkw_2,0.872,1,0.995731922
ib_ll_df_h3_djkw_2,0.872,1,0.995731922
ib_ll_df_z_djkw_2,0.872,1,0.995731922
ib_ll_ttf_no_djkw_2,0.872,1,0.995731922
ib_ll_ttf_h1_djkw_2,0.872,1,0.995731922
ib_ll_ttf_h2_djkw_2,0.872,1,0.995731922
ib_ll_ttf_h3_djkw_2,0.872,1,0.995731922
ib_ll_ttf_z_djkw_2,0.872,1,0.995731922
ib_spl_df_no_djkw_2,0.872,1,0.995731922
ib_spl_df_h1_djkw_2,0.872,1,0.995731922
ib_spl_df_h2_djkw_2,0.872,1,0.995731922
ib_spl_df_h3_djkw_2,0.872,1,0.995731922
