ngramSize,t2NgramSize,t1NgramSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,t2Boost,t1Boost,map
16,4,4,8,8,8,8,16,4,4,0.994299517
16,4,8,8,8,8,8,16,4,8,0.994299517
16,4,12,8,8,8,8,16,4,12,0.994299517
16,4,16,8,8,8,8,16,4,16,0.994299517
16,4,20,8,8,8,8,16,4,20,0.994299517
16,4,24,8,8,8,8,16,4,24,0.994299517
12,8,4,8,8,8,8,12,8,4,0.993777197
12,8,8,8,8,8,8,12,8,8,0.993777197
12,8,12,8,8,8,8,12,8,12,0.993777197
12,8,16,8,8,8,8,12,8,16,0.993777197
12,8,20,8,8,8,8,12,8,20,0.993777197
12,8,24,8,8,8,8,12,8,24,0.993777197
12,8,4,10,10,10,10,12,8,4,0.993501144
12,8,8,10,10,10,10,12,8,8,0.993501144
12,8,12,10,10,10,10,12,8,12,0.993501144
12,8,16,10,10,10,10,12,8,16,0.993501144
12,8,20,10,10,10,10,12,8,20,0.993501144
12,8,24,10,10,10,10,12,8,24,0.993501144
12,4,4,8,8,8,8,12,4,4,0.993464458
12,4,8,8,8,8,8,12,4,8,0.993464458
12,4,12,8,8,8,8,12,4,12,0.993464458
12,4,16,8,8,8,8,12,4,16,0.993464458
12,4,20,8,8,8,8,12,4,20,0.993464458
12,4,24,8,8,8,8,12,4,24,0.993464458
12,4,4,10,10,10,10,12,4,4,0.993309179
12,4,8,10,10,10,10,12,4,8,0.993309179
12,4,12,10,10,10,10,12,4,12,0.993309179
12,4,16,10,10,10,10,12,4,16,0.993309179
12,4,20,10,10,10,10,12,4,20,0.993309179
12,4,24,10,10,10,10,12,4,24,0.993309179
20,4,4,8,8,8,8,20,4,4,0.99326087
20,4,8,8,8,8,8,20,4,8,0.99326087
20,4,12,8,8,8,8,20,4,12,0.99326087
20,4,16,8,8,8,8,20,4,16,0.99326087
20,4,20,8,8,8,8,20,4,20,0.99326087
20,4,24,8,8,8,8,20,4,24,0.99326087
16,4,4,6,6,6,6,16,4,4,0.993245881
16,4,8,6,6,6,6,16,4,8,0.993245881
16,4,12,6,6,6,6,16,4,12,0.993245881
16,4,16,6,6,6,6,16,4,16,0.993245881
16,4,20,6,6,6,6,16,4,20,0.993245881
16,4,24,6,6,6,6,16,4,24,0.993245881
16,8,4,8,8,8,8,16,8,4,0.993090062
16,8,8,8,8,8,8,16,8,8,0.993090062
16,8,12,8,8,8,8,16,8,12,0.993090062
16,8,16,8,8,8,8,16,8,16,0.993090062
16,8,20,8,8,8,8,16,8,20,0.993090062
16,8,24,8,8,8,8,16,8,24,0.993090062
20,4,4,10,10,10,10,20,4,4,0.992971015
20,4,8,10,10,10,10,20,4,8,0.992971015
20,4,12,10,10,10,10,20,4,12,0.992971015
20,4,16,10,10,10,10,20,4,16,0.992971015
20,4,20,10,10,10,10,20,4,20,0.992971015
20,4,24,10,10,10,10,20,4,24,0.992971015
16,4,4,10,10,10,10,16,4,4,0.992874396
16,4,8,10,10,10,10,16,4,8,0.992874396
16,4,12,10,10,10,10,16,4,12,0.992874396
