>>>1<<<,>>>15<<<,,,
54,5,,,
7,19,,,
6,5,,,
1,1,,,
1,89,,,
55,1,,,
2,9,,,
13,10,,,
16,37,,,
13,2,,,
18,13,,,
1,10,,,
7,15,,,
71,4,,,
66,21,,,
2,16,,,
15,2,,,
46,43,,,
31,1,,,
3,3,,,
2,1,,,
3,7,,,
9,25,,,
1,1,,,
44,56,,,
6,16,,,
44,10,,,
3,7,,,
8,2,,,
1,22,,,
1,1,,,
75,15,,,
1,4,,,
1,1,,,
62,1,,,
22,12,,,
11,22,,,
58,7,,,
14,1,,,
4,14,,,
27,2,,,
66,28,,,
1,17,,,
10,1,,,
20,3,,,
12,58,,,
39,98,,,
5,4,,,
16,12,,,
4,5,,,
7,18,,,
1,1,,,
1,1,,,
1,43,,,
2,6,,,
36,1,,,
4,1,,,
75,1,,,
6,4,,,
76,17,,,
7,8,,,
14,2,,,
3,1,,,
30,1,,,
29,19,,,
42,4,,,
10,13,,,
1,7,,,
1,30,,,
2,31,,,
5,1,,,
1,2,,,
65,15,,,
1,15,,,
5,1,,,
22,3,,,
29,1,,,
17,16,,,
7,16,,,
21,1,,,
11,1,,,
28,64,,,
13,14,,,
23,8,,,
28,7,,,
12,25,,,
42,6,,,
1,3,,,
26,67,,,
29,32,,,
22,1,,,
3,1,,,
56,47,,,
75,27,,,
18,5,,,
1,26,,,
1,64,,,
2,7,,,
71,6,,,
5,48,,,
1,18,,,
47,15,,,
96,1,,,
73,2,,,
6,84,,,
1,5,,,
1,1,,,
1,22,,,
9,23,,,
9,16,,,
1,15,,,
4,1,,,
59,2,,,
1,1,,,
2,7,,,
23,4,,,
1,1,,,
2,26,,,
1,10,,,
24,1,,,
6,4,,,
2,1,,,
5,23,,,
14,1,,,
14,2,,,
57,1,,,
13,1,,,
54,70,,,
7,1,,,
10,4,,,
61,2,,,
8,40,,,
39,40,,,
8,7,,,
8,13,,,
25,19,,,
57,10,,,
37,12,,,
7,5,,,
28,1,,,
8,5,,,
11,5,,,
6,25,,,
29,7,,,
7,5,,,
78,2,,,
3,82,,,
2,8,,,
19,11,,,
88,3,,,
51,14,,,
64,6,,,
16,28,,,
2,3,,,
33,16,,,
57,1,,,
78,7,,,
28,39,,,
1,4,,,
2,64,,,
23,16,,,
69,1,,,
61,1,,,
18,8,,,
7,28,,,
35,26,,,
17,1,,,
1,16,,,
24,41,,,
24,3,,,
8,13,,,
26,11,,,
18,16,,,
1,37,,,
56,1,,,
12,17,,,
3,1,,,
30,24,,,
44,13,,,
9,8,,,
2,32,,,
4,26,,,
21,18,,,
2,1,,,
22,56,,,
2,7,,,
12,7,,,
58,27,,,
4,21,,,
18,5,,,
8,11,,,
38,1,,,
11,61,,,
23,2,,,
60,40,,,
2,1,,,
2,3,,,
52,9,,,
7,8,,,
25,14,,,
3,18,,,
17,22,,,
8,2,,,
12,11,,,
8,8,,,
1,10,,,
55,2,,,
1,1,,,
10,4,,,
9,31,,,
1,25,,,
24,68,,,
76,1,,,
32,6,,,
53,49,,,
23,22,,,
1,34,,,
6,22,,,
3,15,,,
55,63,,,
2,14,,,
8,15,,,
6,5,,,
5,25,,,
19,40,,,
12,1,,,
2,4,,,
9,70,,,
23,52,,,
9,38,,,
8,45,,,
1,24,,,
10,1,,,
71,15,,,
4,6,,,
2,7,,,
1,79,,,
7,4,,,
58,2,,,
1,22,,,
11,1,,,
39,13,,,
20,2,,,
18,12,,,
3,6,,,
3,10,,,
1,26,,,
52,6,,,
29,25,,,
1,22,,,
28,1,,,
1,10,,,
6,1,,,
70,6,,,
18,6,,,
3,1,,,
18,5,,,
1,19,,,
4,9,,,
52,1,,,
16,31,,,
16,11,,,
55,20,,,
21,4,,,
18,2,,,
46,7,,,
2,1,,,
68,2,,,
25,14,,,
1,1,,,
2,28,,,
53,1,,,
1,16,,,
11,20,,,
5,52,,,
13,7,,,
9,18,,,
15,1,,,
19,3,,,
21,24,,,
51,15,,,
54,5,,,
37,46,,,
20,5,,,
12,52,,,
23,18,,,
2,16,,,
1,1,,,
96,23,,,
71,1,,,
7,16,,,
1,3,,,
3,1,,,
13,5,,,
42,13,,,
76,13,,,
10,25,,,
7,43,,,
58,19,,,
6,23,,,
2,1,,,
5,4,,,
4,45,,,
33,58,,,
18,8,,,
1,67,,,
56,1,,,
96,3,,,
9,26,,,
45,21,,,
6,1,,,
26,1,,,
51,5,,,
30,4,,,
73,42,,,
26,1,,,
32,1,,,
6,9,,,
23,19,,,
48,7,,,
1,16,,,
17,5,,,
21,14,,,
37,1,,,
48,5,,,
19,5,,,
53,52,,,
4,15,,,
7,6,,,
3,25,,,
11,4,,,
1,3,,,
18,26,,,
1,10,,,
9,31,,,
9,23,,,
23,76,,,
2,7,,,
71,1,,,
76,16,,,
3,27,,,
66,16,,,
2,1,,,
6,9,,,
13,21,,,
1,1,,,
2,7,,,
5,55,,,
3,3,,,
44,99,,,
42,1,,,
39,1,,,
15,7,,,
6,31,,,
8,1,,,
83,52,,,
22,11,,,
1,7,,,
2,25,,,
11,21,,,
3,2,,,
5,4,,,
44,21,,,
2,26,,,
90,1,,,
10,16,,,
3,2,,,
22,5,,,
10,37,,,
53,1,,,
3,1,,,
30,1,,,
1,3,,,
76,3,,,
7,1,,,
48,39,,,
2,15,,,
1,3,,,
10,6,,,
13,40,,,
2,44,,,
39,1,,,
33,1,,,
1,31,,,
3,7,,,
10,13,,,
21,40,,,
6,1,,,
1,1,,,
73,90,,,
5,30,,,
1,3,,,
56,64,,,
1,28,,,
28,4,,,
4,5,,,
32,1,,,
38,2,,,
64,1,,,
62,19,,,
1,12,,,
44,1,,,
49,1,,,
31,28,,,
1,13,,,
17,1,,,
12,15,,,
28,1,,,
2,1,,,
11,3,,,
62,40,,,
31,1,,,
3,1,,,
52,3,,,
1,5,,,
1,1,,,
5,10,,,
6,1,,,
51,9,,,
64,1,,,
1,1,,,
4,4,,,
8,14,,,
13,12,,,
82,15,,,
40,1,,,
2,8,,,
3,3,,,
2,1,,,
25,9,,,
61,34,,,
9,30,,,
6,20,,,
96,11,,,
4,1,,,
15,33,,,
37,32,,,
8,7,,,
67,2,,,
6,1,,,
9,1,,,
1,1,,,
1,2,,,
4,10,,,
8,15,,,
13,1,,,
73,2,,,
13,5,,,
5,32,,,
4,51,,,
1,12,,,
54,39,,,
65,16,,,
10,10,,,
1,2,,,
23,5,,,
11,20,,,
1,1,,,
11,5,,,
64,4,,,
45,8,,,
1,32,,,
1,5,,,
32,17,,,
2,3,,,
5,1,,,
55,1,,,
2,1,,,
4,6,,,
29,3,,,
2,7,,,
11,13,,,
27,45,,,
1,1,,,
2,2,,,
1,10,,,
2,1,,,
75,13,,,
25,16,,,
12,28,,,
34,1,,,
8,8,,,
35,31,,,
1,1,,,
33,31,,,
66,28,,,
30,51,,,
55,1,,,
19,1,,,
9,1,,,
19,31,,,
30,6,,,
5,13,,,
29,5,,,
2,4,,,
1,4,,,
20,24,,,
2,15,,,
24,16,,,
9,3,,,
12,27,,,
5,1,,,
7,16,,,
14,1,,,
14,4,,,
33,25,,,
76,73,,,
66,8,,,
3,1,,,
36,16,,,
4,1,,,
74,2,,,
82,16,,,
29,7,,,
1,1,,,
6,16,,,
2,2,,,
64,5,,,
12,9,,,
15,6,,,
8,15,,,
32,11,,,
23,30,,,
6,13,,,
72,1,,,
3,5,,,
16,16,,,
1,1,,,
3,3,,,
16,4,,,
2,1,,,
10,5,,,
6,9,,,
2,12,,,
1,1,,,
1,6,,,
1,62,,,
88,15,,,
1,3,,,
9,5,,,
9,70,,,
51,25,,,
45,17,,,
1,1,,,
38,7,,,
23,8,,,
1,10,,,
22,24,,,
5,7,,,
26,14,,,
41,1,,,
30,16,,,
31,4,,,
2,14,,,
46,34,,,
56,10,,,
1,3,,,
54,8,,,
2,5,,,
9,13,,,
3,24,,,
1,16,,,
6,4,,,
16,1,,,
1,19,,,
1,1,,,
11,1,,,
57,11,,,
15,46,,,
46,3,,,
1,2,,,
10,2,,,
60,16,,,
18,1,,,
3,1,,,
62,1,,,
65,45,,,
27,1,,,
55,9,,,
9,9,,,
18,1,,,
45,17,,,
1,1,,,
8,4,,,
14,24,,,
4,1,,,
1,64,,,
29,1,,,
5,13,,,
1,30,,,
66,2,,,
1,51,,,
9,29,,,
5,2,,,
18,12,,,
3,15,,,
4,1,,,
7,13,,,
38,1,,,
52,1,,,
1,2,,,
42,1,,,
23,5,,,
3,16,,,
11,46,,,
69,1,,,
69,1,,,
5,3,,,
32,7,,,
84,43,,,
5,18,,,
58,1,,,
65,10,,,
29,9,,,
10,10,,,
39,10,,,
51,18,,,
2,1,,,
3,13,,,
52,15,,,
2,15,,,
10,9,,,
69,30,,,
19,8,,,
27,45,,,
20,1,,,
56,1,,,
38,14,,,
4,1,,,
29,1,,,
49,24,,,
66,13,,,
19,5,,,
7,1,,,
55,17,,,
15,4,,,
42,1,,,
96,7,,,
6,5,,,
31,18,,,
24,11,,,
48,1,,,
5,19,,,
2,2,,,
9,3,,,
12,1,,,
3,46,,,
25,24,,,
12,21,,,
64,7,,,
2,31,,,
22,69,,,
10,3,,,
40,5,,,
38,1,,,
1,1,,,
1,73,,,
1,13,,,
67,8,,,
14,20,,,
52,1,,,
9,15,,,
58,23,,,
1,99,,,
2,2,,,
22,4,,,
2,3,,,
2,30,,,
32,11,,,
65,1,,,
1,1,,,
77,21,,,
55,19,,,
16,79,,,
57,58,,,
18,7,,,
13,4,,,
33,10,,,
7,1,,,
4,24,,,
1,49,,,
2,5,,,
15,19,,,
9,2,,,
12,85,,,
5,3,,,
7,81,,,
1,74,,,
8,9,,,
15,16,,,
2,14,,,
72,15,,,
21,70,,,
37,20,,,
2,1,,,
37,8,,,
64,8,,,
2,3,,,
1,27,,,
32,2,,,
1,15,,,
2,2,,,
2,64,,,
26,3,,,
7,6,,,
1,15,,,
34,1,,,
39,1,,,
2,1,,,
5,18,,,
3,14,,,
59,2,,,
62,5,,,
40,82,,,
18,1,,,
14,1,,,
3,1,,,
12,64,,,
17,16,,,
1,1,,,
8,4,,,
12,19,,,
1,1,,,
52,14,,,
1,6,,,
3,2,,,
1,46,,,
2,16,,,
2,4,,,
86,7,,,
19,1,,,
1,37,,,
1,3,,,
1,4,,,
35,1,,,
23,2,,,
57,43,,,
10,25,,,
18,1,,,
5,13,,,
19,19,,,
2,1,,,
20,43,,,
43,41,,,
32,1,,,
10,23,,,
53,8,,,
34,9,,,
58,1,,,
13,4,,,
3,90,,,
13,36,,,
11,1,,,
2,14,,,
1,2,,,
3,1,,,
6,8,,,
3,1,,,
1,4,,,
24,1,,,
1,27,,,
50,19,,,
39,1,,,
11,6,,,
6,38,,,
63,16,,,
29,5,,,
5,1,,,
3,9,,,
14,27,,,
6,1,,,
3,6,,,
36,1,,,
1,14,,,
57,1,,,
14,34,,,
2,49,,,
33,3,,,
1,1,,,
1,7,,,
21,34,,,
1,1,,,
8,6,,,
46,1,,,
90,1,,,
24,9,,,
61,1,,,
2,4,,,
9,9,,,
9,5,,,
23,1,,,
5,1,,,
72,15,,,
12,7,,,
70,23,,,
3,2,,,
2,3,,,
69,18,,,
24,3,,,
57,55,,,
44,2,,,
1,2,,,
12,2,,,
29,4,,,
11,28,,,
16,3,,,
19,1,,,
2,8,,,
5,6,,,
72,27,,,
71,13,,,
8,17,,,
61,1,,,
30,10,,,
53,7,,,
19,4,,,
28,6,,,
1,1,,,
2,1,,,
1,5,,,
2,1,,,
9,54,,,
2,15,,,
4,70,,,
1,1,,,
13,2,,,
53,2,,,
3,16,,,
4,6,,,
48,14,,,
49,30,,,
16,2,,,
13,1,,,
4,3,,,
78,1,,,
25,5,,,
54,5,,,
5,6,,,
72,10,,,
7,1,,,
7,2,,,
33,14,,,
38,1,,,
61,25,,,
42,1,,,
35,1,,,
5,1,,,
4,61,,,
85,1,,,
7,8,,,
49,5,,,
27,3,,,
9,4,,,
1,8,,,
19,7,,,
10,1,,,
44,25,,,
7,9,,,
6,15,,,
19,6,,,
19,30,,,
1,8,,,
44,70,,,
19,1,,,
11,1,,,
17,19,,,
58,3,,,
58,10,,,
13,16,,,
3,1,,,
51,1,,,
18,26,,,
3,1,,,
49,7,,,
11,4,,,
23,7,,,
11,13,,,
59,23,,,
3,47,,,
11,22,,,
2,5,,,
2,91,,,
14,1,,,
56,30,,,
3,3,,,
53,19,,,
4,4,,,
4,1,,,
1,1,,,
3,1,,,
19,1,,,
1,41,,,
71,9,,,
8,2,,,
16,6,,,
4,1,,,
4,37,,,
24,4,,,
39,1,,,
10,1,,,
15,20,,,
1,28,,,
12,1,,,
96,8,,,
47,7,,,
65,7,,,
98,37,,,
18,12,,,
3,28,,,
3,4,,,
1,5,,,
9,23,,,
46,37,,,
1,4,,,
25,5,,,
15,2,,,
62,20,,,
25,1,,,
1,35,,,
5,5,,,
2,53,,,
19,10,,,
53,3,,,
13,5,,,
25,8,,,
29,27,,,
24,25,,,
5,1,,,
15,33,,,
1,3,,,
12,5,,,
81,28,,,
5,37,,,
37,3,,,
2,7,,,
5,2,,,
50,55,,,
7,1,,,
74,1,,,
29,3,,,
4,3,,,
1,8,,,
2,49,,,
4,8,,,
4,8,,,
1,37,,,
13,1,,,
81,1,,,
75,51,,,
39,18,,,
15,3,,,
61,8,,,
33,17,,,
17,67,,,
15,10,,,
6,3,,,
2,5,,,
58,1,,,
33,3,,,
2,10,,,
10,6,,,
7,4,,,
5,2,,,
6,3,,,
73,4,,,
53,10,,,
30,1,,,
12,1,,,
33,17,,,
8,1,,,
5,14,,,
3,21,,,
7,5,,,
78,46,,,
1,1,,,
1,17,,,
35,10,,,
7,10,,,
3,26,,,
2,13,,,
3,1,,,
8,10,,,
57,43,,,
23,10,,,
15,2,,,
3,1,,,
14,1,,,
54,19,,,
18,65,,,
17,2,,,
2,18,,,
10,3,,,
10,3,,,
4,1,,,
6,6,,,
7,8,,,
60,91,,,
12,11,,,
9,1,,,
30,73,,,
16,15,,,
77,26,,,
15,1,,,
62,1,,,
38,16,,,
4,55,,,
2,3,,,
2,3,,,
25,73,,,
2,3,,,
88,14,,,
8,17,,,
20,3,,,
52,4,,,
58,9,,,
45,15,,,
68,1,,,
13,56,,,
7,12,,,
26,15,,,
57,4,,,
6,9,,,
9,2,,,
4,29,,,
2,9,,,
11,7,,,
51,1,,,
66,29,,,
96,1,,,
2,1,,,
37,4,,,
8,10,,,
88,12,,,
70,1,,,
19,4,,,
46,31,,,
17,25,,,
6,11,,,
38,15,,,
85,12,,,
10,1,,,
1,49,,,
1,15,,,
17,6,,,
48,2,,,
1,94,,,
1,8,,,
58,5,,,
2,2,,,
3,28,,,
5,1,,,
9,13,,,
1,3,,,
1,3,,,
1,3,,,
36,27,,,
17,8,,,
3,10,,,
1,8,,,
4,1,,,
19,4,,,
15,3,,,
71,15,,,
4,78,,,
1,19,,,
10,1,,,
1,15,,,
8,1,,,
11,2,,,
15,3,,,
29,1,,,
65,2,,,
22,8,,,
21,7,,,
43,23,,,
2,6,,,
1,7,,,
10,1,,,
2,4,,,
1,1,,,
5,49,,,
6,16,,,
1,2,,,
18,28,,,
33,2,,,
29,16,,,
3,19,,,
2,31,,,
20,40,,,
1,7,,,
55,2,,,
32,46,,,
3,21,,,
1,15,,,
9,8,,,
10,1,,,
5,10,,,
1,4,,,
81,16,,,
1,8,,,
46,26,,,
5,2,,,
15,45,,,
15,22,,,
3,5,,,
3,24,,,
5,19,,,
7,2,,,
17,74,,,
1,13,,,
9,4,,,
44,27,,,
7,57,,,
95,2,,,
12,2,,,
60,4,,,
33,2,,,
50,4,,,
63,10,,,
3,30,,,
22,1,,,
23,2,,,
5,1,,,
55,3,,,
2,39,,,
1,58,,,
48,20,,,
12,19,,,
1,1,,,
6,3,,,
4,3,,,
10,14,,,
38,7,,,
63,7,,,
2,1,,,
11,1,,,
5,6,,,
8,10,,,
18,41,,,
30,1,,,
12,95,,,
16,1,,,
29,17,,,
6,4,,,
17,3,,,
51,100,,,
3,2,,,
1,25,,,
1,35,,,
1,1,,,
16,1,,,
47,1,,,
46,1,,,
22,5,,,
23,1,,,
4,1,,,
3,49,,,
94,3,,,
30,14,,,
16,1,,,
57,55,,,
2,15,,,
57,19,,,
4,3,,,
11,1,,,
5,28,,,
52,15,,,
9,7,,,
8,1,,,
7,43,,,
98,14,,,
2,64,,,
8,25,,,
19,15,,,
21,16,,,
6,1,,,
56,28,,,
47,1,,,
36,1,,,
19,1,,,
87,16,,,
12,1,,,
60,52,,,
14,35,,,
62,14,,,
1,7,,,
5,1,,,
22,58,,,
15,1,,,
20,6,,,
54,1,,,
2,2,,,
21,21,,,
1,6,,,
1,4,,,
15,5,,,
5,15,,,
4,7,,,
6,1,,,
32,1,,,
31,1,,,
1,1,,,
15,43,,,
2,35,,,
2,3,,,
51,1,,,
2,13,,,
46,1,,,
8,52,,,
17,49,,,
7,1,,,
10,25,,,
50,4,,,
20,31,,,
2,23,,,
72,31,,,
59,26,,,
1,4,,,
5,1,,,
1,13,,,
1,1,,,
9,22,,,
4,67,,,
12,13,,,
3,6,,,
44,4,,,
37,1,,,
11,7,,,
16,34,,,
33,1,,,
