>>>1<<<,>>>2<<<,>>>3<<<,>>>4<<<,>>>5<<<,>>>6<<<,>>>7<<<,>>>8<<<,>>>9<<<,>>>10<<<
2,2,2,2,2,2,2,2,2,2
15,15,15,15,15,15,15,15,15,15
3,3,3,3,3,3,3,3,3,3
4,5,3,3,3,3,3,3,2,2
4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
7,2,1,1,1,1,1,1,1,1
7,7,7,7,7,7,7,7,7,7
19,19,19,19,19,19,19,19,19,19
3,2,2,3,3,3,3,3,3,3
1,1,2,1,1,1,1,1,1,1
14,14,14,14,14,14,14,14,14,14
8,8,8,8,8,8,8,8,8,8
9,9,9,9,9,9,9,9,9,9
1,2,6,8,16,22,23,26,36,49
6,6,6,6,6,6,6,6,6,6
1,1,1,1,2,3,5,6,7,7
1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,3,5,7,14,26
1,1,1,1,1,3,3,6,9,9
11,11,11,11,11,11,11,11,11,11
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
12,12,12,12,12,12,12,12,12,12
2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
9,2,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1
6,6,6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1,1,1
2,1,1,3,3,4,6,7,7,8
5,6,6,6,5,5,5,6,7,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1
6,8,8,14,19,27,45,59,80,89
9,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
3,8,8,8,15,28,29,52,62,95
6,6,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
3,3,1,1,1,1,1,1,1,1
2,2,2,2,4,6,9,9,33,55
2,2,2,2,2,2,2,2,4,4
6,6,6,6,6,6,6,6,6,6
3,3,3,3,3,3,5,7,7,9
5,5,6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
9,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
11,8,8,7,7,7,7,5,5,5
2,2,2,2,2,2,2,2,2,2
20,20,20,20,20,20,20,20,20,20
8,15,16,19,37,45,64,75,71,86
10,10,10,10,10,10,10,10,10,10
5,5,5,5,5,5,5,5,5,5
4,4,3,3,4,3,3,3,2,3
1,1,1,1,1,1,1,1,1,1
7,7,7,7,7,7,7,7,7,7
