ngramSize,t2NgramSize,t1NgramSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,t2Boost,t1Boost,map
8,24,4,2,2,2,2,8,24,4,0.996656749
8,24,8,2,2,2,2,8,24,8,0.996656749
8,24,12,2,2,2,2,8,24,12,0.996656749
8,24,16,2,2,2,2,8,24,16,0.996656749
8,24,20,2,2,2,2,8,24,20,0.996656749
8,24,24,2,2,2,2,8,24,24,0.996656749
8,24,16,2,2,2,2,8,24,16,0.996656749
8,24,16,2,4,2,2,8,24,16,0.996656749
8,24,16,4,2,2,2,8,24,16,0.996656749
8,24,16,4,4,2,2,8,24,16,0.996656749
4,24,4,2,2,2,2,4,24,4,0.996373959
4,24,8,2,2,2,2,4,24,8,0.996373959
4,24,12,2,2,2,2,4,24,12,0.996373959
4,24,16,2,2,2,2,4,24,16,0.996373959
4,24,20,2,2,2,2,4,24,20,0.996373959
4,24,24,2,2,2,2,4,24,24,0.996373959
12,24,4,2,2,2,2,12,24,4,0.996034588
12,24,8,2,2,2,2,12,24,8,0.996034588
12,24,12,2,2,2,2,12,24,12,0.996034588
12,24,16,2,2,2,2,12,24,16,0.996034588
12,24,20,2,2,2,2,12,24,20,0.996034588
12,24,24,2,2,2,2,12,24,24,0.996034588
8,24,16,6,2,2,2,8,24,16,0.995942213
8,24,16,6,4,2,2,8,24,16,0.995942213
4,20,4,2,2,2,2,4,20,4,0.995627556
4,20,8,2,2,2,2,4,20,8,0.995627556
4,20,12,2,2,2,2,4,20,12,0.995627556
4,20,16,2,2,2,2,4,20,16,0.995627556
4,20,20,2,2,2,2,4,20,20,0.995627556
4,20,24,2,2,2,2,4,20,24,0.995627556
8,20,4,2,2,2,2,8,20,4,0.995354912
8,20,8,2,2,2,2,8,20,8,0.995354912
8,20,12,2,2,2,2,8,20,12,0.995354912
8,20,16,2,2,2,2,8,20,16,0.995354912
8,20,20,2,2,2,2,8,20,20,0.995354912
8,20,24,2,2,2,2,8,20,24,0.995354912
16,20,4,2,2,2,2,16,20,4,0.995354912
16,20,8,2,2,2,2,16,20,8,0.995354912
16,20,12,2,2,2,2,16,20,12,0.995354912
16,20,16,2,2,2,2,16,20,16,0.995354912
16,20,20,2,2,2,2,16,20,20,0.995354912
16,20,24,2,2,2,2,16,20,24,0.995354912
16,24,4,2,2,2,2,16,24,4,0.995354912
16,24,8,2,2,2,2,16,24,8,0.995354912
16,24,12,2,2,2,2,16,24,12,0.995354912
16,24,16,2,2,2,2,16,24,16,0.995354912
16,24,20,2,2,2,2,16,24,20,0.995354912
16,24,24,2,2,2,2,16,24,24,0.995354912
20,24,4,2,2,2,2,20,24,4,0.995354912
20,24,8,2,2,2,2,20,24,8,0.995354912
20,24,12,2,2,2,2,20,24,12,0.995354912
20,24,16,2,2,2,2,20,24,16,0.995354912
20,24,20,2,2,2,2,20,24,20,0.995354912
20,24,24,2,2,2,2,20,24,24,0.995354912
24,20,4,2,2,2,2,24,20,4,0.995354912
24,20,8,2,2,2,2,24,20,8,0.995354912
24,20,12,2,2,2,2,24,20,12,0.995354912
24,20,16,2,2,2,2,24,20,16,0.995354912
24,20,20,2,2,2,2,24,20,20,0.995354912
24,20,24,2,2,2,2,24,20,24,0.995354912
12,20,4,2,2,2,2,12,20,4,0.995242275
12,20,8,2,2,2,2,12,20,8,0.995242275
12,20,12,2,2,2,2,12,20,12,0.995242275
12,20,16,2,2,2,2,12,20,16,0.995242275
12,20,20,2,2,2,2,12,20,20,0.995242275
12,20,24,2,2,2,2,12,20,24,0.995242275
24,24,4,5,5,5,5,24,24,4,0.995086625
24,24,8,5,5,5,5,24,24,8,0.995086625
24,24,12,5,5,5,5,24,24,12,0.995086625
24,24,16,5,5,5,5,24,24,16,0.995086625
24,24,20,5,5,5,5,24,24,20,0.995086625
24,24,24,5,5,5,5,24,24,24,0.995086625
4,16,4,2,2,2,2,4,16,4,0.995048515
4,16,8,2,2,2,2,4,16,8,0.995048515
4,16,12,2,2,2,2,4,16,12,0.995048515
4,16,16,2,2,2,2,4,16,16,0.995048515
4,16,20,2,2,2,2,4,16,20,0.995048515
4,16,24,2,2,2,2,4,16,24,0.995048515
20,20,4,2,2,2,2,20,20,4,0.994987055
20,20,8,2,2,2,2,20,20,8,0.994987055
20,20,12,2,2,2,2,20,20,12,0.994987055
20,20,16,2,2,2,2,20,20,16,0.994987055
20,20,20,2,2,2,2,20,20,20,0.994987055
20,20,24,2,2,2,2,20,20,24,0.994987055
24,24,4,2,2,2,2,24,24,4,0.994987055
24,24,8,2,2,2,2,24,24,8,0.994987055
24,24,12,2,2,2,2,24,24,12,0.994987055
24,24,16,2,2,2,2,24,24,16,0.994987055
24,24,20,2,2,2,2,24,24,20,0.994987055
24,24,24,2,2,2,2,24,24,24,0.994987055
8,16,4,2,2,2,2,8,16,4,0.994775872
8,16,8,2,2,2,2,8,16,8,0.994775872
8,16,12,2,2,2,2,8,16,12,0.994775872
8,16,16,2,2,2,2,8,16,16,0.994775872
8,16,20,2,2,2,2,8,16,20,0.994775872
8,16,24,2,2,2,2,8,16,24,0.994775872
8,24,16,6,2,4,2,8,24,16,0.994646232
8,24,16,6,4,4,2,8,24,16,0.994646232
8,24,16,2,2,4,2,8,24,16,0.994593285
8,24,16,2,4,4,2,8,24,16,0.994593285
8,24,16,4,2,4,2,8,24,16,0.994593285
8,24,16,4,4,4,2,8,24,16,0.994593285
20,24,4,5,5,5,5,20,24,4,0.994432212
20,24,8,5,5,5,5,20,24,8,0.994432212
20,24,12,5,5,5,5,20,24,12,0.994432212
20,24,16,5,5,5,5,20,24,16,0.994432212
20,24,20,5,5,5,5,20,24,20,0.994432212
20,24,24,5,5,5,5,20,24,24,0.994432212
8,24,16,10,2,2,2,8,24,16,0.994407745
8,24,16,10,4,2,2,8,24,16,0.994407745
12,16,4,2,2,2,2,12,16,4,0.994388992
12,16,8,2,2,2,2,12,16,8,0.994388992
12,16,12,2,2,2,2,12,16,12,0.994388992
12,16,16,2,2,2,2,12,16,16,0.994388992
12,16,20,2,2,2,2,12,16,20,0.994388992
12,16,24,2,2,2,2,12,16,24,0.994388992
8,24,16,8,2,2,2,8,24,16,0.994378955
8,24,16,8,4,2,2,8,24,16,0.994378955
24,16,4,2,2,2,2,24,16,4,0.994358014
24,16,8,2,2,2,2,24,16,8,0.994358014
24,16,12,2,2,2,2,24,16,12,0.994358014
24,16,16,2,2,2,2,24,16,16,0.994358014
24,16,20,2,2,2,2,24,16,20,0.994358014
24,16,24,2,2,2,2,24,16,24,0.994358014
16,24,4,5,5,5,5,16,24,4,0.994154435
16,24,8,5,5,5,5,16,24,8,0.994154435
16,24,12,5,5,5,5,16,24,12,0.994154435
16,24,16,5,5,5,5,16,24,16,0.994154435
16,24,20,5,5,5,5,16,24,20,0.994154435
16,24,24,5,5,5,5,16,24,24,0.994154435
16,16,4,2,2,2,2,16,16,4,0.994086972
16,16,8,2,2,2,2,16,16,8,0.994086972
16,16,12,2,2,2,2,16,16,12,0.994086972
16,16,16,2,2,2,2,16,16,16,0.994086972
16,16,20,2,2,2,2,16,16,20,0.994086972
16,16,24,2,2,2,2,16,16,24,0.994086972
4,24,4,4,4,4,4,4,24,4,0.993883206
4,24,8,4,4,4,4,4,24,8,0.993883206
4,24,12,4,4,4,4,4,24,12,0.993883206
4,24,16,4,4,4,4,4,24,16,0.993883206
4,24,20,4,4,4,4,4,24,20,0.993883206
4,24,24,4,4,4,4,4,24,24,0.993883206
8,24,16,2,2,2,6,8,24,16,0.993838428
20,16,4,2,2,2,2,20,16,4,0.993688137
20,16,8,2,2,2,2,20,16,8,0.993688137
20,16,12,2,2,2,2,20,16,12,0.993688137
20,16,16,2,2,2,2,20,16,16,0.993688137
20,16,20,2,2,2,2,20,16,20,0.993688137
20,16,24,2,2,2,2,20,16,24,0.993688137
8,24,16,4,2,2,4,8,24,16,0.993673818
8,24,16,2,2,2,4,8,24,16,0.993610182
8,24,16,6,2,2,4,8,24,16,0.993500466
8,24,16,6,2,4,4,8,24,16,0.993456849
16,24,4,4,4,4,4,16,24,4,0.99340714
16,24,8,4,4,4,4,16,24,8,0.99340714
16,24,12,4,4,4,4,16,24,12,0.99340714
16,24,16,4,4,4,4,16,24,16,0.99340714
16,24,20,4,4,4,4,16,24,20,0.99340714
16,24,24,4,4,4,4,16,24,24,0.99340714
8,24,16,8,2,4,2,8,24,16,0.993378718
8,24,16,8,4,4,2,8,24,16,0.993378718
8,24,16,4,4,2,4,8,24,16,0.993158666
8,24,16,2,4,2,4,8,24,16,0.99309503
8,24,16,10,2,4,2,8,24,16,0.993090935
8,24,16,10,4,4,2,8,24,16,0.993090935
16,20,4,5,5,5,5,16,20,4,0.993033222
16,20,8,5,5,5,5,16,20,8,0.993033222
16,20,12,5,5,5,5,16,20,12,0.993033222
16,20,16,5,5,5,5,16,20,16,0.993033222
16,20,20,5,5,5,5,16,20,20,0.993033222
16,20,24,5,5,5,5,16,20,24,0.993033222
20,20,4,5,5,5,5,20,20,4,0.993033222
20,20,8,5,5,5,5,20,20,8,0.993033222
20,20,12,5,5,5,5,20,20,12,0.993033222
20,20,16,5,5,5,5,20,20,16,0.993033222
20,20,20,5,5,5,5,20,20,20,0.993033222
20,20,24,5,5,5,5,20,20,24,0.993033222
24,20,4,5,5,5,5,24,20,4,0.993033222
24,20,8,5,5,5,5,24,20,8,0.993033222
24,20,12,5,5,5,5,24,20,12,0.993033222
24,20,16,5,5,5,5,24,20,16,0.993033222
24,20,20,5,5,5,5,24,20,20,0.993033222
24,20,24,5,5,5,5,24,20,24,0.993033222
24,24,4,4,4,4,4,24,24,4,0.993029734
24,24,8,4,4,4,4,24,24,8,0.993029734
24,24,12,4,4,4,4,24,24,12,0.993029734
24,24,16,4,4,4,4,24,24,16,0.993029734
24,24,20,4,4,4,4,24,24,20,0.993029734
24,24,24,4,4,4,4,24,24,24,0.993029734
8,24,16,10,2,2,4,8,24,16,0.992987076
8,24,16,6,4,2,4,8,24,16,0.992985315
8,24,16,6,4,4,4,8,24,16,0.992941697
8,24,16,8,2,2,4,8,24,16,0.992904742
12,24,4,4,4,4,4,12,24,4,0.992884987
12,24,8,4,4,4,4,12,24,8,0.992884987
12,24,12,4,4,4,4,12,24,12,0.992884987
12,24,16,4,4,4,4,12,24,16,0.992884987
12,24,20,4,4,4,4,12,24,20,0.992884987
12,24,24,4,4,4,4,12,24,24,0.992884987
8,24,16,2,2,4,4,8,24,16,0.99283423
8,24,16,4,2,4,4,8,24,16,0.99283423
8,24,16,4,2,2,6,8,24,16,0.992805808
20,24,4,4,4,4,4,20,24,4,0.992775322
20,24,8,4,4,4,4,20,24,8,0.992775322
20,24,12,4,4,4,4,20,24,12,0.992775322
20,24,16,4,4,4,4,20,24,16,0.992775322
20,24,20,4,4,4,4,20,24,20,0.992775322
20,24,24,4,4,4,4,20,24,24,0.992775322
8,24,16,8,2,4,4,8,24,16,0.992652673
8,24,16,10,2,4,4,8,24,16,0.992572315
8,24,16,10,4,2,4,8,24,16,0.992471925
8,24,16,8,4,2,4,8,24,16,0.992389591
4,20,4,4,4,4,4,4,20,4,0.992342411
4,20,8,4,4,4,4,4,20,8,0.992342411
4,20,12,4,4,4,4,4,20,12,0.992342411
4,20,16,4,4,4,4,4,20,16,0.992342411
4,20,20,4,4,4,4,4,20,20,0.992342411
4,20,24,4,4,4,4,4,20,24,0.992342411
8,24,16,2,4,4,4,8,24,16,0.992319078
8,24,16,4,4,4,4,8,24,16,0.992319078
8,24,4,4,4,4,4,8,24,4,0.992319078
8,24,8,4,4,4,4,8,24,8,0.992319078
8,24,12,4,4,4,4,8,24,12,0.992319078
8,24,16,4,4,4,4,8,24,16,0.992319078
8,24,20,4,4,4,4,8,24,20,0.992319078
8,24,24,4,4,4,4,8,24,24,0.992319078
24,16,4,5,5,5,5,24,16,4,0.992225142
24,16,8,5,5,5,5,24,16,8,0.992225142
24,16,12,5,5,5,5,24,16,12,0.992225142
24,16,16,5,5,5,5,24,16,16,0.992225142
24,16,20,5,5,5,5,24,16,20,0.992225142
24,16,24,5,5,5,5,24,16,24,0.992225142
8,24,16,8,4,4,4,8,24,16,0.992137522
8,24,16,10,4,4,4,8,24,16,0.992057164
16,20,4,4,4,4,4,16,20,4,0.991862948
16,20,8,4,4,4,4,16,20,8,0.991862948
16,20,12,4,4,4,4,16,20,12,0.991862948
16,20,16,4,4,4,4,16,20,16,0.991862948
16,20,20,4,4,4,4,16,20,20,0.991862948
16,20,24,4,4,4,4,16,20,24,0.991862948
24,20,4,4,4,4,4,24,20,4,0.991649059
24,20,8,4,4,4,4,24,20,8,0.991649059
24,20,12,4,4,4,4,24,20,12,0.991649059
24,20,16,4,4,4,4,24,20,16,0.991649059
24,20,20,4,4,4,4,24,20,20,0.991649059
24,20,24,4,4,4,4,24,20,24,0.991649059
8,24,16,6,2,2,6,8,24,16,0.991640501
20,16,4,5,5,5,5,20,16,4,0.991589788
20,16,8,5,5,5,5,20,16,8,0.991589788
20,16,12,5,5,5,5,20,16,12,0.991589788
20,16,16,5,5,5,5,20,16,16,0.991589788
20,16,20,5,5,5,5,20,16,20,0.991589788
20,16,24,5,5,5,5,20,16,24,0.991589788
20,20,4,4,4,4,4,20,20,4,0.991437191
20,20,8,4,4,4,4,20,20,8,0.991437191
20,20,12,4,4,4,4,20,20,12,0.991437191
20,20,16,4,4,4,4,20,20,16,0.991437191
20,20,20,4,4,4,4,20,20,20,0.991437191
20,20,24,4,4,4,4,20,20,24,0.991437191
8,24,16,8,2,2,6,8,24,16,0.991395235
12,20,4,4,4,4,4,12,20,4,0.99130822
12,20,8,4,4,4,4,12,20,8,0.99130822
12,20,12,4,4,4,4,12,20,12,0.99130822
12,20,16,4,4,4,4,12,20,16,0.99130822
12,20,20,4,4,4,4,12,20,20,0.99130822
12,20,24,4,4,4,4,12,20,24,0.99130822
8,20,4,4,4,4,4,8,20,4,0.991270088
8,20,8,4,4,4,4,8,20,8,0.991270088
8,20,12,4,4,4,4,8,20,12,0.991270088
8,20,16,4,4,4,4,8,20,16,0.991270088
8,20,20,4,4,4,4,8,20,20,0.991270088
8,20,24,4,4,4,4,8,20,24,0.991270088
4,16,4,4,4,4,4,4,16,4,0.990961328
4,16,8,4,4,4,4,4,16,8,0.990961328
4,16,12,4,4,4,4,4,16,12,0.990961328
4,16,16,4,4,4,4,4,16,16,0.990961328
4,16,20,4,4,4,4,4,16,20,0.990961328
4,16,24,4,4,4,4,4,16,24,0.990961328
8,24,16,10,2,2,6,8,24,16,0.990946714
8,24,16,2,2,2,10,8,24,16,0.990938009
16,16,4,5,5,5,5,16,16,4,0.990824406
16,16,8,5,5,5,5,16,16,8,0.990824406
16,16,12,5,5,5,5,16,16,12,0.990824406
16,16,16,5,5,5,5,16,16,16,0.990824406
16,16,20,5,5,5,5,16,16,20,0.990824406
16,16,24,5,5,5,5,16,16,24,0.990824406
24,16,4,4,4,4,4,24,16,4,0.990621534
24,16,8,4,4,4,4,24,16,8,0.990621534
24,16,12,4,4,4,4,24,16,12,0.990621534
24,16,16,4,4,4,4,24,16,16,0.990621534
24,16,20,4,4,4,4,24,16,20,0.990621534
24,16,24,4,4,4,4,24,16,24,0.990621534
8,24,16,2,6,2,2,8,24,16,0.990403802
8,24,16,2,8,2,2,8,24,16,0.990403802
20,16,4,4,4,4,4,20,16,4,0.99037709
20,16,8,4,4,4,4,20,16,8,0.99037709
20,16,12,4,4,4,4,20,16,12,0.99037709
20,16,16,4,4,4,4,20,16,16,0.99037709
20,16,20,4,4,4,4,20,16,20,0.99037709
20,16,24,4,4,4,4,20,16,24,0.99037709
8,24,16,2,4,2,6,8,24,16,0.990350072
8,24,16,2,2,2,8,8,24,16,0.99034266
8,24,16,2,10,2,2,8,24,16,0.990127461
