t1NgramSize,t2NgramSize,t3NgramSize,QRPercentileOrig,QRPercentileT1,QRPercentileT2,QRPercentileT3,map
4,4,4,2,2,2,2,0.976296182
4,4,4,4,4,4,4,0.952311264
4,4,4,6,6,6,6,0.937692764
4,4,4,8,8,8,8,0.918443001
4,4,4,10,10,10,10,0.961871061
4,4,8,2,2,2,2,0.974672965
4,4,8,4,4,4,4,0.948204086
4,4,8,6,6,6,6,0.9382532
4,4,8,8,8,8,8,0.927972794
4,4,8,10,10,10,10,0.963399978
4,4,12,2,2,2,2,0.97162489
4,4,12,4,4,4,4,0.955227103
4,4,12,6,6,6,6,0.947022293
4,4,12,8,8,8,8,0.94335551
4,4,12,10,10,10,10,0.965878249
4,4,16,2,2,2,2,0.972326547
4,4,16,4,4,4,4,0.956790373
4,4,16,6,6,6,6,0.944750527
4,4,16,8,8,8,8,0.942112495
4,4,16,10,10,10,10,0.963701787
4,4,20,2,2,2,2,0.971144415
4,4,20,4,4,4,4,0.956882
4,4,20,6,6,6,6,0.945872255
4,4,20,8,8,8,8,0.944301688
4,4,20,10,10,10,10,0.965507714
4,4,24,2,2,2,2,0.970241209
4,4,24,4,4,4,4,0.958728842
4,4,24,6,6,6,6,0.946229545
4,4,24,8,8,8,8,0.945654278
4,4,24,10,10,10,10,0.96549908
4,8,4,2,2,2,2,0.987813459
4,8,4,4,4,4,4,0.976894838
4,8,4,6,6,6,6,0.956042527
4,8,4,8,8,8,8,0.951479896
4,8,4,10,10,10,10,0.966814154
4,8,8,2,2,2,2,0.986237033
4,8,8,4,4,4,4,0.972273205
4,8,8,6,6,6,6,0.952117845
4,8,8,8,8,8,8,0.950913882
4,8,8,10,10,10,10,0.964222256
4,8,12,2,2,2,2,0.985728053
4,8,12,4,4,4,4,0.972639622
4,8,12,6,6,6,6,0.956399398
4,8,12,8,8,8,8,0.951349642
4,8,12,10,10,10,10,0.964237136
4,8,16,2,2,2,2,0.983814669
4,8,16,4,4,4,4,0.974677566
4,8,16,6,6,6,6,0.956831932
4,8,16,8,8,8,8,0.950524949
4,8,16,10,10,10,10,0.963700186
4,8,20,2,2,2,2,0.984282332
4,8,20,4,4,4,4,0.97470669
4,8,20,6,6,6,6,0.959097761
4,8,20,8,8,8,8,0.954304784
4,8,20,10,10,10,10,0.966174235
4,8,24,2,2,2,2,0.984887344
4,8,24,4,4,4,4,0.97659425
4,8,24,6,6,6,6,0.961617452
4,8,24,8,8,8,8,0.957439714
4,8,24,10,10,10,10,0.968445948
4,12,4,2,2,2,2,0.989338667
4,12,4,4,4,4,4,0.98560723
4,12,4,6,6,6,6,0.968889632
4,12,4,8,8,8,8,0.961430476
4,12,4,10,10,10,10,0.969025705
4,12,8,2,2,2,2,0.988891445
4,12,8,4,4,4,4,0.981355883
4,12,8,6,6,6,6,0.965531741
4,12,8,8,8,8,8,0.959350011
4,12,8,10,10,10,10,0.967780945
4,12,12,2,2,2,2,0.987680298
4,12,12,4,4,4,4,0.980153755
4,12,12,6,6,6,6,0.963759519
4,12,12,8,8,8,8,0.956259507
4,12,12,10,10,10,10,0.966155186
4,12,16,2,2,2,2,0.987680298
4,12,16,4,4,4,4,0.980011763
4,12,16,6,6,6,6,0.964898321
4,12,16,8,8,8,8,0.953718238
4,12,16,10,10,10,10,0.965229747
4,12,20,2,2,2,2,0.987976701
4,12,20,4,4,4,4,0.981125613
4,12,20,6,6,6,6,0.966240213
4,12,20,8,8,8,8,0.960143634
4,12,20,10,10,10,10,0.968440732
4,12,24,2,2,2,2,0.988180309
4,12,24,4,4,4,4,0.983949573
4,12,24,6,6,6,6,0.967624257
4,12,24,8,8,8,8,0.963984755
4,12,24,10,10,10,10,0.97020094
4,16,4,2,2,2,2,0.995048515
4,16,4,4,4,4,4,0.990961328
4,16,4,6,6,6,6,0.981664051
4,16,4,8,8,8,8,0.973280833
