t1NgramSize,t2NgramSize,t3NgramSize,QRPercentileOrig,QRPercentileT1,QRPercentileT2,QRPercentileT3,map
4,4,4,2,2,2,2,0.92774873
4,4,4,4,4,4,4,0.986007018
4,4,4,6,6,6,6,0.989075224
4,4,4,8,8,8,8,0.992224452
4,4,4,10,10,10,10,0.992672758
4,4,8,2,2,2,2,0.928722954
4,4,8,4,4,4,4,0.98878095
4,4,8,6,6,6,6,0.990948068
4,4,8,8,8,8,8,0.992457181
4,4,8,10,10,10,10,0.992753623
4,4,12,2,2,2,2,0.935395095
4,4,12,4,4,4,4,0.98971347
4,4,12,6,6,6,6,0.992812284
4,4,12,8,8,8,8,0.993464458
4,4,12,10,10,10,10,0.993309179
4,4,16,2,2,2,2,0.936618671
4,4,16,4,4,4,4,0.99168392
4,4,16,6,6,6,6,0.993245881
4,4,16,8,8,8,8,0.994299517
4,4,16,10,10,10,10,0.992874396
4,4,20,2,2,2,2,0.937133417
4,4,20,4,4,4,4,0.99150223
4,4,20,6,6,6,6,0.991699987
4,4,20,8,8,8,8,0.99326087
4,4,20,10,10,10,10,0.992971015
4,4,24,2,2,2,2,0.938582283
4,4,24,4,4,4,4,0.991169555
4,4,24,6,6,6,6,0.990968944
4,4,24,8,8,8,8,0.99242236
4,4,24,10,10,10,10,0.991925466
4,8,4,2,2,2,2,0.924812404
4,8,4,4,4,4,4,0.987044739
4,8,4,6,6,6,6,0.987562112
4,8,4,8,8,8,8,0.989597693
4,8,4,10,10,10,10,0.991301211
4,8,8,2,2,2,2,0.928164198
4,8,8,4,4,4,4,0.988142502
4,8,8,6,6,6,6,0.990540603
4,8,8,8,8,8,8,0.991380262
4,8,8,10,10,10,10,0.991935818
4,8,12,2,2,2,2,0.931437991
4,8,12,4,4,4,4,0.988868997
4,8,12,6,6,6,6,0.991058201
4,8,12,8,8,8,8,0.993777197
4,8,12,10,10,10,10,0.993501144
4,8,16,2,2,2,2,0.933918486
4,8,16,4,4,4,4,0.991064572
4,8,16,6,6,6,6,0.991498936
4,8,16,8,8,8,8,0.993090062
4,8,16,10,10,10,10,0.992391304
4,8,20,2,2,2,2,0.935852144
4,8,20,4,4,4,4,0.991361859
4,8,20,6,6,6,6,0.991494448
4,8,20,8,8,8,8,0.992280883
4,8,20,10,10,10,10,0.992232043
4,8,24,2,2,2,2,0.938269892
4,8,24,4,4,4,4,0.991449275
4,8,24,6,6,6,6,0.991057252
4,8,24,8,8,8,8,0.992106625
4,8,24,10,10,10,10,0.992046239
4,12,4,2,2,2,2,0.923197877
4,12,4,4,4,4,4,0.985853732
4,12,4,6,6,6,6,0.985610719
4,12,4,8,8,8,8,0.989187684
4,12,4,10,10,10,10,0.989194111
4,12,8,2,2,2,2,0.925724608
4,12,8,4,4,4,4,0.988381256
4,12,8,6,6,6,6,0.98869311
4,12,8,8,8,8,8,0.989442502
4,12,8,10,10,10,10,0.98963078
