ngramSize,t2NgramSize,t1NgramSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,t2Boost,t1Boost,map
2,2,2,2,2,2,2,2,2,2,0.9824037129580973
2,2,2,4,4,4,4,2,2,2,0.9611715358197688
2,2,2,6,6,6,6,2,2,2,0.9319739599972964
2,2,2,8,8,8,8,2,2,2,0.9049953420013188
2,2,2,10,10,10,10,2,2,2,0.931167379304767
2,2,3,2,2,2,2,2,2,3,0.9824037129580973
2,2,3,4,4,4,4,2,2,3,0.9611715358197688
2,2,3,6,6,6,6,2,2,3,0.9319739599972964
2,2,3,8,8,8,8,2,2,3,0.9049953420013188
2,2,3,10,10,10,10,2,2,3,0.931167379304767
2,2,4,2,2,2,2,2,2,4,0.9824037129580973
2,2,4,4,4,4,4,2,2,4,0.9611715358197688
2,2,4,6,6,6,6,2,2,4,0.9319739599972964
2,2,4,8,8,8,8,2,2,4,0.9049953420013188
2,2,4,10,10,10,10,2,2,4,0.931167379304767
2,2,5,2,2,2,2,2,2,5,0.9824037129580973
2,2,5,4,4,4,4,2,2,5,0.9611715358197688
2,2,5,6,6,6,6,2,2,5,0.9319739599972964
2,2,5,8,8,8,8,2,2,5,0.9049953420013188
2,2,5,10,10,10,10,2,2,5,0.931167379304767
2,2,6,2,2,2,2,2,2,6,0.9824037129580973
2,2,6,4,4,4,4,2,2,6,0.9611715358197688
2,2,6,6,6,6,6,2,2,6,0.9319739599972964
2,2,6,8,8,8,8,2,2,6,0.9049953420013188
2,2,6,10,10,10,10,2,2,6,0.931167379304767
2,2,7,2,2,2,2,2,2,7,0.9824037129580973
2,2,7,4,4,4,4,2,2,7,0.9611715358197688
2,2,7,6,6,6,6,2,2,7,0.9319739599972964
2,2,7,8,8,8,8,2,2,7,0.9049953420013188
2,2,7,10,10,10,10,2,2,7,0.931167379304767
2,2,8,2,2,2,2,2,2,8,0.9824037129580973
2,2,8,4,4,4,4,2,2,8,0.9611715358197688
2,2,8,6,6,6,6,2,2,8,0.9319739599972964
2,2,8,8,8,8,8,2,2,8,0.9049953420013188
2,2,8,10,10,10,10,2,2,8,0.931167379304767
2,2,9,2,2,2,2,2,2,9,0.9824037129580973
2,2,9,4,4,4,4,2,2,9,0.9611715358197688
2,2,9,6,6,6,6,2,2,9,0.9319739599972964
2,2,9,8,8,8,8,2,2,9,0.9049953420013188
2,2,9,10,10,10,10,2,2,9,0.931167379304767
2,2,10,2,2,2,2,2,2,10,0.9824037129580973
2,2,10,4,4,4,4,2,2,10,0.9611715358197688
2,2,10,6,6,6,6,2,2,10,0.9319739599972964
2,2,10,8,8,8,8,2,2,10,0.9049953420013188
2,2,10,10,10,10,10,2,2,10,0.931167379304767
2,2,11,2,2,2,2,2,2,11,0.9824037129580973
2,2,11,4,4,4,4,2,2,11,0.9611715358197688
2,2,11,6,6,6,6,2,2,11,0.9319739599972964
2,2,11,8,8,8,8,2,2,11,0.9049953420013188
2,2,11,10,10,10,10,2,2,11,0.931167379304767
2,2,12,2,2,2,2,2,2,12,0.9824037129580973
2,2,12,4,4,4,4,2,2,12,0.9611715358197688
2,2,12,6,6,6,6,2,2,12,0.9319739599972964
2,2,12,8,8,8,8,2,2,12,0.9049953420013188
2,2,12,10,10,10,10,2,2,12,0.931167379304767
2,2,13,2,2,2,2,2,2,13,0.9824037129580973
2,2,13,4,4,4,4,2,2,13,0.9611715358197688
2,2,13,6,6,6,6,2,2,13,0.9319739599972964
2,2,13,8,8,8,8,2,2,13,0.9049953420013188
2,2,13,10,10,10,10,2,2,13,0.931167379304767
2,2,14,2,2,2,2,2,2,14,0.9824037129580973
2,2,14,4,4,4,4,2,2,14,0.9611715358197688
2,2,14,6,6,6,6,2,2,14,0.9319739599972964
2,2,14,8,8,8,8,2,2,14,0.9049953420013188
2,2,14,10,10,10,10,2,2,14,0.931167379304767
2,2,15,2,2,2,2,2,2,15,0.9824037129580973
2,2,15,4,4,4,4,2,2,15,0.9611715358197688
2,2,15,6,6,6,6,2,2,15,0.9319739599972964
2,2,15,8,8,8,8,2,2,15,0.9049953420013188
2,2,15,10,10,10,10,2,2,15,0.931167379304767
2,2,16,2,2,2,2,2,2,16,0.9824037129580973
2,2,16,4,4,4,4,2,2,16,0.9611715358197688
2,2,16,6,6,6,6,2,2,16,0.9319739599972964
2,2,16,8,8,8,8,2,2,16,0.9049953420013188
2,2,16,10,10,10,10,2,2,16,0.931167379304767
2,2,17,2,2,2,2,2,2,17,0.9824037129580973
2,2,17,4,4,4,4,2,2,17,0.9611715358197688
2,2,17,6,6,6,6,2,2,17,0.9319739599972964
2,2,17,8,8,8,8,2,2,17,0.9049953420013188
2,2,17,10,10,10,10,2,2,17,0.931167379304767
2,2,18,2,2,2,2,2,2,18,0.9824037129580973
2,2,18,4,4,4,4,2,2,18,0.9611715358197688
2,2,18,6,6,6,6,2,2,18,0.9319739599972964
2,2,18,8,8,8,8,2,2,18,0.9049953420013188
2,2,18,10,10,10,10,2,2,18,0.931167379304767
2,2,19,2,2,2,2,2,2,19,0.9824037129580973
2,2,19,4,4,4,4,2,2,19,0.9611715358197688
2,2,19,6,6,6,6,2,2,19,0.9319739599972964
2,2,19,8,8,8,8,2,2,19,0.9049953420013188
2,2,19,10,10,10,10,2,2,19,0.931167379304767
2,2,20,2,2,2,2,2,2,20,0.9824037129580973
2,2,20,4,4,4,4,2,2,20,0.9611715358197688
2,2,20,6,6,6,6,2,2,20,0.9319739599972964
2,2,20,8,8,8,8,2,2,20,0.9049953420013188
2,2,20,10,10,10,10,2,2,20,0.931167379304767
2,2,21,2,2,2,2,2,2,21,0.9824037129580973
2,2,21,4,4,4,4,2,2,21,0.9611715358197688
2,2,21,6,6,6,6,2,2,21,0.9319739599972964
2,2,21,8,8,8,8,2,2,21,0.9049953420013188
2,2,21,10,10,10,10,2,2,21,0.931167379304767
2,2,22,2,2,2,2,2,2,22,0.9824037129580973
2,2,22,4,4,4,4,2,2,22,0.9611715358197688
2,2,22,6,6,6,6,2,2,22,0.9319739599972964
2,2,22,8,8,8,8,2,2,22,0.9049953420013188
2,2,22,10,10,10,10,2,2,22,0.931167379304767
2,2,23,2,2,2,2,2,2,23,0.9824037129580973
2,2,23,4,4,4,4,2,2,23,0.9611715358197688
2,2,23,6,6,6,6,2,2,23,0.9319739599972964
2,2,23,8,8,8,8,2,2,23,0.9049953420013188
2,2,23,10,10,10,10,2,2,23,0.931167379304767
2,2,24,2,2,2,2,2,2,24,0.9824037129580973
2,2,24,4,4,4,4,2,2,24,0.9611715358197688
2,2,24,6,6,6,6,2,2,24,0.9319739599972964
2,2,24,8,8,8,8,2,2,24,0.9049953420013188
2,2,24,10,10,10,10,2,2,24,0.931167379304767
2,3,2,2,2,2,2,2,3,2,0.9781088203787802
2,3,2,4,4,4,4,2,3,2,0.9599187514185905
2,3,2,6,6,6,6,2,3,2,0.9418041721284388
2,3,2,8,8,8,8,2,3,2,0.9261311403512955
2,3,2,10,10,10,10,2,3,2,0.9474379345476632
2,3,3,2,2,2,2,2,3,3,0.9781088203787802
2,3,3,4,4,4,4,2,3,3,0.9599187514185905
2,3,3,6,6,6,6,2,3,3,0.9418041721284388
2,3,3,8,8,8,8,2,3,3,0.9261311403512955
2,3,3,10,10,10,10,2,3,3,0.9474379345476632
2,3,4,2,2,2,2,2,3,4,0.9781088203787802
2,3,4,4,4,4,4,2,3,4,0.9599187514185905
2,3,4,6,6,6,6,2,3,4,0.9418041721284388
2,3,4,8,8,8,8,2,3,4,0.9261311403512955
2,3,4,10,10,10,10,2,3,4,0.9474379345476632
2,3,5,2,2,2,2,2,3,5,0.9781088203787802
2,3,5,4,4,4,4,2,3,5,0.9599187514185905
2,3,5,6,6,6,6,2,3,5,0.9418041721284388
2,3,5,8,8,8,8,2,3,5,0.9261311403512955
2,3,5,10,10,10,10,2,3,5,0.9474379345476632
2,3,6,2,2,2,2,2,3,6,0.9781088203787802
2,3,6,4,4,4,4,2,3,6,0.9599187514185905
2,3,6,6,6,6,6,2,3,6,0.9418041721284388
2,3,6,8,8,8,8,2,3,6,0.9261311403512955
2,3,6,10,10,10,10,2,3,6,0.9474379345476632
2,3,7,2,2,2,2,2,3,7,0.9781088203787802
2,3,7,4,4,4,4,2,3,7,0.9599187514185905
2,3,7,6,6,6,6,2,3,7,0.9418041721284388
2,3,7,8,8,8,8,2,3,7,0.9261311403512955
2,3,7,10,10,10,10,2,3,7,0.9474379345476632
2,3,8,2,2,2,2,2,3,8,0.9781088203787802
