sample,TestPalindrome.java,2,13,Q,,,
selected,1340419.java,13,18,3,T,CR,* Interesting. Found a strng reverse method which is the first part of the checking a palidrome.
selected,1692342.java,24,30,,F,CR,
selected,2099852.java,17,25,,F,CR,
selected,415712.java,451,456,,F,CR,
selected,1477292.java,414,422,,F,CR,
selected,1628134.java,456,465,,F,CR,
selected,540636.java,345,354,3,T,CR,* Interesting. Found a strng reverse method which is the first part of the checking a palidrome.
selected,2679356.java,345,354,3,T,CR,* Interesting. Found a strng reverse method which is the first part of the checking a palidrome.
selected,2363995.java,621,626,,F,CR,
selected,296357.java,50,59,,F,CR,
selected,1731427.java,85,94,,F,,
selected,1628962.java,47,56,,F,,
selected,994877.java,53,63,,F,,
selected,186829.java,478,487,,F,,
selected,1471168.java,327,336,,F,,
sample,BubbleSort.java,93,109,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,75,91,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,2343688.java,174,187,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
selected,943597.java,15,20,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,2282501.java,15,25,3,T,,
selected,2626685.java,112,126,3,T,,
selected,189178.java,118,133,3,T,,
selected,1654038.java,111,126,3,T,,
sample,Fibonacci.java,3,10,Q,,,
selected,1674801.java,16,25,3,T,,
selected,592330.java,365,370,3,T,,
selected,592330.java,393,398,3,T,,
selected,1119757.java,22,27,3,T,CR,
selected,2467423.java,235,241,,F,CR,
selected,1709354.java,235,241,,F,CR,
selected,1392758.java,91,96,,F,CR,
default,74994.java,1506,1512,,F,CR,
default,51560.java,902,908,,F,CR,
default,32744.java,875,881,,F,CR,
default,122835.java,9,14,3,T,,
selected,1517928.java,51,57,,F,,
