sample,TestPalindrome.java,2,13,Q,,,,
selected,2394080.java,118,125,,F,CR,,
selected,1873695.java,118,125,,F,CR,,
selected,2606928.java,357,364,,F,CR,,
selected,120258.java,239,246,,F,CR,,
selected,1873646.java,23,33,,F,CR,,
selected,1692342.java,24,30,,F,CR,,
selected,1044782.java,237,248,,F,CR,,
selected,296357.java,50,59,,F,CR,,
selected,1731427.java,85,94,,F,CR,,
selected,1628962.java,47,56,,F,CR,,
selected,2102260.java,20,34,,F,CR,,
selected,784215.java,83,88,,F,CR,,
selected,1524431.java,71,76,,F,CR,,
selected,945946.java,361,367,,F,,,
selected,2599884.java,396,402,,F,,,
sample,BubbleSort.java,93,109,Q,,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
default,87418.java,21,37,3,T,,,
selected,2343688.java,174,187,,F,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
selected,943597.java,15,20,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,305499.java,19,27,3,T,,,
selected,2626685.java,112,126,3,T,,,
selected,730855.java,43,56,,F,,,
sample,Fibonacci.java,3,10,Q,,,,
selected,592330.java,365,370,3,T,,,
selected,1674801.java,16,25,3,T,,,
selected,592330.java,393,398,3,T,,,
selected,1531853.java,14,24,3,T,CR,,
selected,843174.java,20,28,3,T,,,
selected,1119757.java,22,27,3,T,CR,* a very different version of Fibonacci,
selected,2232174.java,75,85,3,T,,,
selected,1517928.java,51,57,3,T,CR,* different implementation (or definition) of Fibonacci,
default,27502.java,14,19,3,T,,,
default,122835.java,9,14,3,T,,,
selected,592330.java,190,195,,F,,,
selected,592330.java,219,224,,F,,,
selected,382193.java,34,40,3,T,,,
selected,592330.java,64,69,,F,,,
default,9224.java,10,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
selected,943597.java,15,20,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,305499.java,19,27,3,T,,,
selected,2626685.java,112,126,3,T,,,
selected,730855.java,43,56,,F,,,
sample,DownloadWebpage.java,32,53,Q,,,,
sample,DownloadWebpage.java,20,30,3,T,,,
sample,DownloadWebpage.java,55,67,3,T,,,
selected,129106.java,331,343,3,T,CR,,
selected,799193.java,16,27,3,T,,,
selected,1129009.java,68,83,3,T,CR,,
selected,1443450.java,159,169,3,T,CR,,
selected,2024562.java,31,56,3,T,,,
selected,1286479.java,59,102,3,T,,,
selected,2240247.java,111,121,3,T,,,
selected,237460.java,240,249,,F,CR,,
selected,1688089.java,265,274,,F,CR,,
selected,113970.java,265,274,,F,CR,,
selected,237460.java,259,268,,F,CR,,
selected,1688089.java,284,293,,F,CR,,
selected,113970.java,284,293,,F,CR,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,21175.java,69,83,,F,,,
selected,2288080.java,25,31,,F,,,
selected,943597.java,15,20,3,T,,,
selected,502121.java,187,209,3,T,,,
sample,CopyFileSamples.java,55,61,Q,,,,
sample,CopyFileSamples.java,63,69,2,T,,,
sample,CopyFileSamples.java,42,53,3,T,,,
selected,734567.java,14,24,3,T,CR,,
selected,1704283.java,46,56,3,T,CR,,
selected,757911.java,21,31,3,T,CR,,
selected,574710.java,21,35,3,T,CR,,
selected,300610.java,56,65,3,T,CR,,
selected,1511670.java,1892,1902,3,T,CR,,
selected,100454.java,56,66,,F,CR,,
selected,684416.java,40,46,3,T,CR,,
selected,836722.java,118,126,3,T,,,
selected,1823751.java,50,58,3,T,,,
selected,77754.java,849,857,3,T,,,
selected,591946.java,827,835,3,T,,,
selected,499481.java,849,857,3,T,,,
sample,FileChooser.java,96,123,Q,,,,
sample,FileChooser.java,67,94,2,T,,,
sample,FileChooser.java,38,65,3,T,,,
sample,FileChooser.java,9,36,3,T,,,
selected,1234684.java,188,201,3,T,CR,,
selected,2196608.java,77,113,3,T,CR,* Found a much more detailed version,
selected,2037092.java,577,588,3,T,CR,,
selected,121433.java,14,27,3,T,CR,,
selected,2628336.java,172,182,3,T,CR,**,
selected,2737021.java,111,121,3,T,CR,,
selected,1540229.java,335,345,3,T,CR,,
selected,342360.java,39,53,,F,,,
selected,1821253.java,220,241,,F,,,
selected,1286435.java,121,142,,F,,,
selected,364620.java,29,37,,F,,,
selected,1437694.java,129,140,,F,,,
sample,LoadFont.java,14,19,Q,,,,
sample,LoadFont.java,21,26,3,T,,,
selected,2584533.java,68,89,3,T,,,
selected,2340916.java,398,427,3,T,,,
default,131555.java,11,20,3,T,,,
selected,2055524.java,27,45,3,T,,,
selected,948406.java,326,355,3,T,,,
selected,2261893.java,1191,1198,3,T,,,
selected,2064356.java,208,224,3,T,,,
selected,337839.java,26,45,3,T,,,
selected,906350.java,355,373,3,T,,,
selected,864100.java,64,90,3,T,,,
selected,1039859.java,50,63,3,T,,,
