sample,TestPalindrome.java,2,13,Q
sample,TestPalindrome.java,2,13,1,T
selected,2736290.java,278,287,,F
selected,1585137.java,563,572,,F
selected,1488184.java,565,574,,F
selected,1325784.java,278,287,,F
selected,102109.java,282,291,,F
selected,2102260.java,20,34,,F
selected,2394080.java,118,125,,F
selected,1873695.java,118,125,,F
selected,430495.java,963,972,,F
selected,426281.java,736,745,,F
selected,2647027.java,783,792,,F
selected,200859.java,1155,1164,,F
selected,195789.java,649,658,,F
selected,1440841.java,987,996,,F
sample,BubbleSort.java,93,109,Q
sample,BubbleSort.java,93,109,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
selected,2649988.java,266,272,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,Q
sample,FTP_ApacheCommonsNet_Samples.java,62,67,1,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
selected,2700070.java,26,33,,F
selected,2547913.java,19,44,3,T
selected,305499.java,19,27,3,T
selected,14032.java,23,34,3,T
sample,Fibonacci.java,3,10,Q
sample,Fibonacci.java,3,10,1,T
selected,592330.java,365,370,3,T
selected,592330.java,393,398,3,T
selected,1674801.java,16,25,3,T
selected,1531853.java,14,24,,F
selected,2232174.java,75,85,3,T
selected,843174.java,20,28,3,T
selected,2683939.java,27,35,,F
selected,854031.java,39,47,,F
selected,1561282.java,384,395,,F
selected,382193.java,34,40,3,T
default,9224.java,10,16,3,T
default,86434.java,10,16,3,T
default,60999.java,10,16,3,T
default,56762.java,10,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,Q
sample,FTP_ApacheCommonsNet_Samples.java,69,75,1,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
selected,2700070.java,26,33,,F
selected,2547913.java,19,44,3,T
selected,305499.java,19,27,3,T
selected,550146.java,42,68,3,T
sample,DownloadWebpage.java,32,53,Q
sample,DownloadWebpage.java,32,53,1,T
sample,DownloadWebpage.java,20,30,3,T
sample,DownloadWebpage.java,55,67,3,T
selected,799193.java,16,27,3,T
selected,2621331.java,317,324,,F
selected,1481489.java,317,324,3,T
selected,984447.java,84,112,,F
selected,1278546.java,80,97,3,T
selected,1286479.java,59,102,3,T
default,107947.java,47,58,,F
selected,2527103.java,303,332,,F
selected,1129009.java,68,83,,F
selected,568613.java,192,220,,F
selected,318003.java,25,50,,F
selected,474427.java,82,105,,F
sample,FTP_ApacheCommonsNet_Samples.java,47,53,Q
sample,FTP_ApacheCommonsNet_Samples.java,47,53,1,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
selected,502121.java,187,209,3,T
selected,2282501.java,15,25,3,T
selected,550146.java,42,68,3,T
selected,714671.java,51,86,3,T
sample,CopyFileSamples.java,55,61,Q
sample,CopyFileSamples.java,55,61,1,T
sample,CopyFileSamples.java,63,69,2,T
sample,CopyFileSamples.java,42,53,3,T
selected,734567.java,14,24,,F
selected,1704283.java,46,56,,F
selected,574710.java,21,35,,F
selected,757911.java,21,31,,F
selected,352380.java,151,170,,F
selected,776949.java,14,24,,F
selected,60460.java,65,77,3,T
selected,1318150.java,76,88,3,T
selected,684416.java,40,46,,F
selected,1002975.java,95,102,3,T
selected,2051214.java,33,53,3,T
selected,1226233.java,10,16,3,T
sample,FileChooser.java,96,123,Q
sample,FileChooser.java,96,123,1,T
sample,FileChooser.java,67,94,2,T
sample,FileChooser.java,38,65,3,T
sample,FileChooser.java,9,36,3,T
selected,2628336.java,125,190,,F
selected,1234684.java,188,201,,F
selected,2218241.java,69,77,,F
selected,2007880.java,445,480,,F
selected,2058156.java,181,193,,F
selected,2643324.java,80,100,,F
selected,1848463.java,15,57,,F
selected,1742373.java,139,150,,F
selected,1857524.java,42,52,,F
selected,1221014.java,15,38,,F
selected,1539944.java,735,749,,F
sample,LoadFont.java,14,19,Q
sample,LoadFont.java,14,19,1,T
sample,LoadFont.java,21,26,3,T
selected,2584533.java,68,89,3,T
selected,948406.java,326,355,3,T
default,131555.java,11,20,3,T
selected,2064356.java,208,224,3,T
selected,2261893.java,1191,1198,3,T
selected,864100.java,64,90,3,T
selected,2055524.java,27,45,3,T
selected,337839.java,26,45,3,T
selected,1861123.java,65,91,3,T
selected,906350.java,355,373,3,T
selected,2140625.java,170,209,3,T
selected,795046.java,173,198,3,T
selected,675874.java,56,87,,F
sample,GCD.java,11,18,Q
sample,GCD.java,11,18,1,T
selected,2420319.java,467,474,,F
selected,1757323.java,273,280,,F
selected,25736.java,12,19,,F
selected,1326509.java,95,102,,F
selected,2180707.java,47,57,,F
