0.10.0,0:01.71,0:19.72
0.11.0,0:02.28,0:20.50
0.12.0,0:01.82,0:22.04
0.12.1,0:01.95,0:22.87
0.13.0,0:01.97,0:23.36
0.13.1,0:01.75,0:29.78
0.14.0,0:05.30,1:21.63
0.14.1,0:05.34,1:22.32
0.14.2,0:04.17,1:22.59
0.14.3,0:02.94,1:18.85
0.14.4,0:04.38,1:23.37
0.15.0,0:05.32,1:25.71
0.15.1,0:04.78,1:24.09
0.15.2,0:03.03,1:27.51
0.16.0,0:05.20,1:26.02
0.16.1,0:05.31,1:27.90
0.16.2,0:03.08,1:32.56
0.16.3,0:05.20,1:25.99
0.16.4,0:05.36,1:29.42
0.16.5,0:03.06,1:28.59
0.17.0,0:02.00,0:27.10
0.17.10,0:02.48,0:22.93
0.17.1,0:02.04,0:25.91
0.17.2,0:02.37,0:27.34
0.17.3,0:02.61,0:28.00
0.17.4,0:02.26,0:25.49
0.17.5,0:02.29,0:25.94
0.17.6,0:02.28,0:27.90
0.17.7,0:02.38,0:26.41
0.17.8,0:02.33,0:26.76
0.17.9,0:02.16,0:27.41
0.18.0,0:02.37,1:18.59
0.18.1,0:02.61,0:28.49
0.18.2,0:02.29,0:29.04
0.18.3,0:02.63,0:30.02
0.18.4,0:02.60,0:29.96
0.18.5,0:02.41,0:30.22
0.18.6,0:02.86,0:28.86
0.18.7,0:02.84,0:28.57
0.19.0.RC1,0:02.29,0:29.33
0.19.0.RC2,0:02.38,0:29.83
0.19.0.RC3,0:02.53,0:27.70
0.19.0,0:02.64,0:28.29
0.19.10,0:02.53,1:28.20
0.19.11,0:05.41,1:27.76
0.19.12,0:05.31,0:31.18
0.19.1,0:02.75,0:27.78
0.19.2,0:02.62,0:28.89
0.19.3,0:03.13,0:30.38
0.19.4,0:02.67,0:30.45
0.19.5,0:04.47,1:27.02
0.19.6,0:05.66,1:33.19
0.19.7,0:04.19,1:34.90
0.19.8,0:04.80,1:33.92
0.19.9,0:05.21,1:32.73
0.20.0.RC1,0:04.87,1:35.81
0.20.0,0:04.93,1:36.05
0.20.1,0:04.58,1:36.62
0.20.2,0:03.05,0:32.04
0.20.3,0:03.13,0:32.38
0.20.4,0:03.04,0:34.20
0.20.5,0:02.90,0:32.85
0.20.6,0:03.03,0:31.99
0.4.0,0:03.31,0:17.53
0.5.0,0:02.25,0:19.35
0.5.1,0:02.04,0:19.56
0.6.0,0:02.30,0:50.78
0.7.0,0:04.95,1:15.61
0.7.1,0:04.07,1:18.34
0.8.0,0:05.10,1:14.84
0.90.0.Beta1,0:05.03,1:35.80
0.90.0.RC1,0:03.20,0:32.79
0.90.0.RC2,0:02.84,0:34.53
0.90.0,0:03.55,0:33.94
