0.10.0,0:25.34,0:15.68
0.10.1,0:01.12,0:16.46
0.11.0,0:01.03,0:10.19
0.11.1,0:00.96,0:12.75
0.11.2,0:01.06,0:08.93
0.11.3,0:01.00,0:06.15
0.12.0,0:01.03,0:06.76
0.12.1,0:01.00,0:06.17
0.12.2,0:01.06,0:06.53
0.13.0,0:01.05,0:06.54
0.13.1,0:01.06,0:06.96
0.13.2,0:01.08,0:06.64
0.13.4,0:01.04,0:07.10
0.14.0,0:00.99,0:06.88
0.14.10,0:01.05,0:08.05
0.14.11,0:01.04,0:07.75
0.14.1,0:01.04,0:07.30
0.14.2,0:01.01,0:07.31
0.14.3,0:01.10,0:07.13
0.14.4,0:01.05,0:07.25
0.14.5,0:01.01,0:06.94
0.14.6,0:01.02,0:07.84
0.14.7,0:01.08,0:07.74
0.14.8,0:01.04,0:08.05
0.14.9,0:01.00,0:07.79
0.15.0,0:01.07,0:07.69
0.15.1,0:01.05,0:07.86
0.16.0,0:01.08,0:09.04
0.16.1,0:01.22,0:09.30
0.17.0-RC1,0:01.13,0:10.03
0.17.0-RC2,0:01.24,0:10.41
0.17.0-RC3,0:01.17,0:10.96
0.17.0-RC4,0:01.28,0:10.37
0.17.0-RC5,0:01.31,0:10.87
0.17.0-RC6,0:01.24,0:10.97
0.17.0-RC7,0:01.24,0:10.77
0.17.0,0:01.17,0:31.45
0.17.1,0:01.42,0:11.39
0.17.2,0:01.23,0:11.71
0.17.3,0:01.31,0:11.13
0.17.4,0:01.23,0:11.58
0.17.5,0:01.29,0:11.57
0.17.6,0:01.30,0:12.81
0.18.0,0:01.32,0:10.75
0.18.1,0:01.32,0:11.53
0.18.2,0:01.17,0:10.25
0.18.3,0:01.23,0:10.04
0.18.4,0:01.19,0:10.20
0.19.0,0:01.14,0:10.63
0.19.1,0:01.20,0:10.59
0.19.2,0:01.28,0:11.30
0.19.4,0:01.31,0:12.08
0.19.6,0:01.51,0:21.38
0.20.0-RC1,0:02.04,0:22.30
0.20.0-RC2,0:01.25,0:09.01
0.20.0-RC3,0:01.24,0:08.82
0.20.0-RC4,0:01.61,0:09.91
0.20.0-RC5,0:01.21,0:09.25
0.20.0-RC6,0:01.32,0:09.40
0.20.0,0:01.26,0:08.90
0.20.1,0:01.25,0:09.76
0.20.2,0:01.34,0:09.35
0.20.3,0:01.24,0:09.75
0.20.4,0:01.35,0:09.57
0.20.5,0:01.26,0:09.19
0.20.6,0:01.25,0:09.24
0.20.7,0:01.26,0:09.43
0.9.1,0:01.27,0:04.90
0.9.2,0:01.04,0:05.31
1.0.0-rc.10,0:01.04,0:08.57
1.0.0-rc.11,0:01.18,0:08.57
1.0.0-rc.12,0:01.18,0:09.93
1.0.0-rc.1,0:01.18,0:10.23
1.0.0-rc.2,0:01.10,0:07.97
1.0.0-rc.3,0:01.20,0:08.23
1.0.0-rc.4,0:01.15,0:08.33
1.0.0-rc.5,0:01.21,0:08.33
1.0.0-rc.6,0:01.11,0:07.85
1.0.0-rc.7,0:01.18,0:08.78
1.0.0-rc.8,0:01.19,0:07.92
1.0.0-rc.9,0:01.17,0:08.48
1.0.0,0:01.18,0:08.71
1.0.10,0:01.18,0:09.09
1.0.11,0:01.26,0:09.05
1.0.12,0:01.26,0:09.34
1.0.13,0:01.24,0:09.43
1.0.14,0:01.26,0:09.91
1.0.15,0:01.50,0:13.10
1.0.16,0:02.06,0:17.24
1.0.17,0:01.72,0:15.71
1.0.1,0:05.82,0:13.62
1.0.2,0:01.70,0:16.45
1.0.3,0:01.48,0:15.11
1.0.4,0:02.40,0:16.70
1.0.5,0:01.52,0:13.66
1.0.6,0:02.02,0:18.51
1.0.7,0:02.11,0:17.03
1.0.8,0:01.72,0:15.97
1.0.9,0:02.11,0:16.02
1.1.0,0:01.87,0:17.68
1.1.10,0:01.65,0:16.03
1.1.1,0:01.83,0:14.24
1.1.2,0:01.64,0:29.58
1.1.3,0:04.08,0:45.60
1.1.4,0:02.82,0:43.57
1.1.5,0:03.14,0:31.77
1.1.6,0:02.67,0:48.42
1.1.7,0:01.92,0:17.64
1.1.8,0:01.70,0:15.79
1.1.9,0:01.67,0:16.89
1.2.0,0:01.79,0:16.31
1.2.10,0:01.71,0:17.35
1.2.1,0:01.76,0:16.31
1.2.2,0:01.65,0:16.33
1.2.3,0:01.65,0:16.29
1.2.4,0:01.71,0:17.58
1.2.5,0:01.71,0:17.89
1.2.6,0:01.73,0:16.32
1.2.7,0:01.76,0:17.34
1.2.8,0:01.64,0:27.98
1.2.9,0:02.54,0:16.87
1.3.0,0:01.78,0:17.60
1.3.1,0:01.69,0:16.65
1.3.2,0:01.67,0:17.51
1.3.3,0:01.76,0:16.86
1.3.4,0:01.71,0:17.27
2.0.0-DP0,0:01.76,0:01.23
2.0.0-RC1,0:00.92,0:22.39
2.0.0-RC2,0:02.02,0:23.15
2.0.0-RC3,0:02.00,0:23.96
2.0.0-RC4,0:02.00,0:25.08
2.0.0-RC5,0:02.08,0:26.47
2.0.0,0:02.52,0:26.58
2.0.1,0:02.34,0:26.88
2.0.2,0:02.23,0:26.80
2.0.3,0:02.17,0:26.96
2.0.4,0:02.22,0:26.91
2.0.5,0:02.38,0:27.46
2.0.6,0:02.49,0:27.69
2.0.7,0:02.27,0:28.01
2.0.8,0:02.53,0:28.58
2.0.9,0:02.41,0:28.37
2.1.0,0:02.38,0:28.03
2.1.1,0:02.39,0:28.82
2.1.2,0:02.40,0:28.55
2.1.3,0:02.46,0:28.30
2.1.4,0:02.44,0:28.60
2.1.5-RC1,0:02.42,0:28.82
2.1.5-RC2,0:02.42,0:28.02
2.1.5-RC3,0:02.52,0:28.12
2.1.5-RC4,0:02.55,0:28.04
2.1.5,0:02.35,0:28.14
2.1.6,0:02.39,0:28.48
