RxJava,java-design-patterns,Elasticsearch
1896,12792,17660
1896,13120,18952
2000,14728,19880
2008,15544,19944
2008,16256,20464
2204,16752,20464
2444,17812,21584
2432,17528,21592
2472,18040,21592
2656,18180,21600
2660,10876,21600
3336,11192,23268
3356,12020,23272
2696,,23296
2864,,24232
2868,,24576
2952,,24704
2988,,24716
3040,,24728
3248,,24728
3264,,26608
3412,,26612
3676,,26884
4660,,26712
4848,,26812
5784,,26812
5192,,26864
5440,,26868
5456,,26860
5456,,26860
5464,,26880
5580,,27840
5748,,27840
6184,,27840
6240,,27928
6280,,27928
6440,,27928
6444,,27936
6492,,27960
6204,,25152
6224,,24996
6184,,25016
6192,,25120
6204,,25164
6580,,26776
6760,,26792
6912,,26824
7064,,25212
7064,,25132
7576,,25164
7300,,26032
7260,,26032
7356,,26064
7396,,26136
7460,,26544
7500,,27452
7600,,27376
7620,,27452
7628,,27596
7628,,27620
7640,,27628
7652,,27664
7652,,28340
4000,,10444
4036,,12108
4028,,12164
4000,,13612
4000,,23032
4028,,23076
4028,,23652
4036,,17124
4032,,31368
4024,,30500
4052,,30960
4072,,31148
4072,,31852
4032,,38640
4580,,38812
4624,,38960
4752,,39028
4948,,32172
5152,,32200
5456,,34652
5508,,34960
5552,,35968
4084,,36004
4176,,37176
4180,,37228
4364,,44188
4380,,37144
4416,,40064
4444,,43512
4460,,44072
5468,,44260
5928,,44364
7232,,44428
6140,,45540
6192,,45636
6352,,45712
6352,,45076
6484,,45124
7056,,45272
7060,,45280
7184,,45316
7152,,49060
7252,,49068
7416,,49124
7208,,49368
7280,,49372
7296,,49436
7296,,49500
7304,,49504
7400,,49620
15456,,49644
7408,,51268
7404,,50644
7420,,51504
7420,,51668
7432,,53736
7440,,53872
14036,,54204
356,,56012
9896,,64396
11028,,64636
12300,,66488
12912,,66768
13916,,66964
14204,,66880
14296,,67240
14304,,67664
14332,,67872
14868,,68112
14992,,68288
15144,,68476
15488,,68568
15540,,67316
15560,,67788
15624,,68020
15636,,69584
15648,,70040
15708,,70244
15740,,70952
15736,,71432
15736,,79252
15736,,80052
15736,,80256
15808,,81852
1952,,82240
2000,,82448
1860,,82740
1892,,82944
1844,,83128
1936,,83816
,,84052
,,84260
,,84516
,,104616
,,105008
,,105360
,,102452
,,92860
,,93520
,,94828
,,97488
,,99748
,,101520
,,101960
,,103032
,,103868
,,106472
,,107312
,,115932
,,116736
,,119092
,,122572
,,122672
,,123080
,,123632
,,126972
,,129420
,,130608
,,131144
,,133936
,,134592
,,136080
,,136756
,,138064
,,139540
,,140124
,,140820
,,141536
,,142312
,,143192
,,143928
,,144552
,,145348
,,107900
,,109512
,,112300
,,118704
,,107516
,,107788
,,107840
,,108196
,,110064
,,110060
,,110236
,,110268
,,110280
,,112032
,,112036
,,112100
,,112160
,,112316
