RxJava,java-design-patterns,Elasticsearch
14182,16551,108307
14182,17289,118697
14691,192,127056
14798,20755,127587
14839,226,132901
16648,23303,132909
17185,241,139131
17553,25374,139236
17819,26192,139435
18612,26333,139569
18609,10215,139583
22501,10542,151759
22703,15781,151910
18958,,152031
19580,,165706
19716,,168883
19716,,169981
20192,,170131
20757,,170172
21299,,170228
21550,,189093
22903,,192212
25220,,189151
36178,,190361
38754,,191395
46225,,191390
42421,,191967
44108,,191970
44290,,192120
44378,,192179
44553,,192183
44571,,202298
46204,,202295
48622,,202302
49221,,203421
49495,,203425
50546,,203519
50654,,203665
50997,,204030
47539,,204690
48066,,205044
47933,,206056
47612,,206275
47860,,226652
49886,,226841
52442,,227350
51778,,206434
53754,,207092
53754,,206701
58746,,207354
57224,,217876
56692,,217890
56972,,218280
57662,,219246
58084,,223727
58474,,232904
58880,,234051
58962,,234056
59104,,235892
59268,,236305
59366,,236408
59534,,236958
59559,,243368
46709,,86561
44769,,101031
46671,,101360
46679,,113993
46709,,145873
44793,,146542
44939,,151493
44838,,252226
44968,,257097
45297,,256539
45673,,259409
46187,,305783
46292,,307170
46795,,308359
55839,,309161
56535,,264756
58307,,267235
60509,,270288
64459,,279481
69150,,279580
70061,,289088
70695,,289546
47534,,301688
48941,,302040
49074,,102768
52428,,304161
52539,,333806
53105,,358450
53585,,362078
54085,,362739
69374,,363491
78054,,364845
95566,,365455
80976,,378328
81814,,379025
83800,,379655
83811,,369152
85269,,369409
92582,,370795
92760,,370883
94751,,371082
95147,,397778
96615,,397905
98504,,398344
95684,,401273
96373,,401286
96409,,401931
96415,,402800
96441,,402925
98121,,404140
238757,,404144
98464,,412886
98319,,417786
98410,,419454
98410,,419809
98683,,423870
98776,,423986
213580,,426938
3,,444146
138639,,444892
156804,,446067
175357,,460249
187270,,461164
210964,,461400
216485,,462267
218436,,462526
218741,,462885
219394,,463340
228497,,463916
230817,,464072
233403,,464153
238836,,466826
239903,,470711
239961,,471723
241133,,473767
241668,,474825
241954,,475489
242582,,481280
243033,,482105
243033,,483251
243033,,487453
243033,,488495
243033,,488592
243989,,499946
15038,,500329
15119,,500855
14179,,501171
14197,,501518
14183,,501522
14922,,506643
,,506985
,,507464
,,507970
,,508058
,,508256
,,508274
,,545752
,,556692
,,559305
,,584936
,,602976
,,613771
,,615585
,,616253
,,617390
,,618641
,,629297
,,630429
,,641669
,,642107
,,642335
,,657289
,,658503
,,658926
,,658992
,,670440
,,671062
,,671855
,,671847
,,683397
,,683492
,,683806
,,683932
,,697951
,,698010
,,698550
,,698702
,,699183
,,700173
,,700979
,,701138
,,701681
,,701902
,,645077
,,654925
,,675898
,,679402
,,681889
,,682720
,,683236
,,684172
,,702752
,,702870
,,703839
,,704093
,,704106
,,717368
,,717413
,,718222
,,718842
,,720338
