0,Q,default/77532.java_main,167,247
1,R,/Users/Chaiyong/Downloads/dataset/default/77532.java_main,167,247,F
2,R,/Users/Chaiyong/Downloads/dataset/default/71774.java_main,167,247,T1
3,R,/Users/Chaiyong/Downloads/dataset/default/6763.java_main,167,247,T1
4,R,/Users/Chaiyong/Downloads/dataset/default/63465.java_main,167,247,T1
5,R,/Users/Chaiyong/Downloads/dataset/default/54249.java_main,167,247,T1
6,R,/Users/Chaiyong/Downloads/dataset/default/37863.java_main,167,247,T1
7,R,/Users/Chaiyong/Downloads/dataset/default/134888.java_main,167,247,T1
8,R,/Users/Chaiyong/Downloads/dataset/default/131341.java_main,167,247,T1
9,R,/Users/Chaiyong/Downloads/dataset/default/129277.java_main,167,247,T1
10,R,/Users/Chaiyong/Downloads/dataset/default/11235.java_main,167,247,T1
11,R,/Users/Chaiyong/Downloads/dataset/selected/1693534.java_main,81,161,T1
12,R,/Users/Chaiyong/Downloads/dataset/selected/2689573.java_squeeze,92,322,F
13,R,/Users/Chaiyong/Downloads/dataset/selected/1094474.java_runGowerMetricThreadedMemory,40,449,F
14,R,/Users/Chaiyong/Downloads/dataset/selected/2277558.java_method,1,1242,F
15,R,/Users/Chaiyong/Downloads/dataset/selected/1963974.java_ConflatePumsTractsPQTest,360,887,F
16,R,/Users/Chaiyong/Downloads/dataset/selected/955150.java_readit,215,891,F
17,R,/Users/Chaiyong/Downloads/dataset/selected/1867580.java_populateGO,43,199,F
18,R,/Users/Chaiyong/Downloads/dataset/selected/2226629.java_main,37,323,F
19,R,/Users/Chaiyong/Downloads/dataset/selected/2221655.java_process,350,750,F
20,R,/Users/Chaiyong/Downloads/dataset/selected/162419.java_pieceReorderTest,40,347,F
21,R,/Users/Chaiyong/Downloads/dataset/selected/794257.java_main,42,319,F
22,R,/Users/Chaiyong/Downloads/dataset/selected/1029143.java_viewSVMmodelsInNLPFeatures,1041,1170,F
23,R,/Users/Chaiyong/Downloads/dataset/selected/1759158.java_main,49,404,F
24,R,/Users/Chaiyong/Downloads/dataset/selected/1791099.java_method,1,941,F
25,R,/Users/Chaiyong/Downloads/dataset/selected/41801.java_deserialize,741,1055,F
26,R,/Users/Chaiyong/Downloads/dataset/default/68093.java_track,166,854,F
27,R,/Users/Chaiyong/Downloads/dataset/selected/104047.java_method,1,961,F
28,R,/Users/Chaiyong/Downloads/dataset/selected/721923.java_process,389,1067,F
29,R,/Users/Chaiyong/Downloads/dataset/selected/2203842.java_ConflatePumsTracts,361,723,F
30,R,/Users/Chaiyong/Downloads/dataset/selected/342569.java_run,168,541,F
31,R,/Users/Chaiyong/Downloads/dataset/selected/55555.java_method,1,1569,F
32,R,/Users/Chaiyong/Downloads/dataset/selected/1615422.java_main,754,902,F
33,R,/Users/Chaiyong/Downloads/dataset/selected/719750.java_method,1,1230,F
34,R,/Users/Chaiyong/Downloads/dataset/selected/8926.java_annotateModeAttribute,985,1092,F
35,R,/Users/Chaiyong/Downloads/dataset/selected/2219300.java_main,20,194,F
36,R,/Users/Chaiyong/Downloads/dataset/selected/655623.java_tryAdaptiveCoding,758,904,F
37,R,/Users/Chaiyong/Downloads/dataset/default/98947.java_method,1,493,F
38,R,/Users/Chaiyong/Downloads/dataset/default/7025.java_method,1,493,F
39,R,/Users/Chaiyong/Downloads/dataset/default/41436.java_method,1,493,F
40,R,/Users/Chaiyong/Downloads/dataset/default/35380.java_method,1,493,F
41,R,/Users/Chaiyong/Downloads/dataset/default/106099.java_method,1,493,F
42,R,/Users/Chaiyong/Downloads/dataset/selected/466967.java_main,15,528,F
43,R,/Users/Chaiyong/Downloads/dataset/selected/1317025.java_extractKeyphrases,302,428,F
44,R,/Users/Chaiyong/Downloads/dataset/selected/1697335.java_calculateCentralityStat,683,938,F
45,R,/Users/Chaiyong/Downloads/dataset/selected/1387815.java_compile,538,945,F
46,R,/Users/Chaiyong/Downloads/dataset/default/917.java_method,1,1312,F
47,R,/Users/Chaiyong/Downloads/dataset/default/129404.java_method,1,1312,F
48,R,/Users/Chaiyong/Downloads/dataset/default/110076.java_method,1,1312,F
49,R,/Users/Chaiyong/Downloads/dataset/selected/1960292.java_main,26,220,F
50,R,/Users/Chaiyong/Downloads/dataset/selected/580850.java_pruneEdges,180,359,F
51,R,/Users/Chaiyong/Downloads/dataset/selected/376371.java_pruneEdges,180,359,F

0,Q,default/70495.java_createOutputStream,31,61
1,R,/Users/Chaiyong/Downloads/dataset/selected/261718.java_createOutputStream,40,70,T1
2,R,/Users/Chaiyong/Downloads/dataset/default/95696.java_createOutputStream,31,61,T1
3,R,/Users/Chaiyong/Downloads/dataset/default/92368.java_createOutputStream,31,61,T1
4,R,/Users/Chaiyong/Downloads/dataset/default/76550.java_createOutputStream,31,61,T1
5,R,/Users/Chaiyong/Downloads/dataset/default/74210.java_createOutputStream,116,146,T1
6,R,/Users/Chaiyong/Downloads/dataset/default/70495.java_createOutputStream,31,61,F
7,R,/Users/Chaiyong/Downloads/dataset/default/41293.java_createOutputStream,116,146,T1
8,R,/Users/Chaiyong/Downloads/dataset/default/17633.java_createOutputStream,31,61,T1
9,R,/Users/Chaiyong/Downloads/dataset/default/119082.java_createOutputStream,31,61,T1
10,R,/Users/Chaiyong/Downloads/dataset/selected/1156117.java_createWriter,61,87,T3
11,R,/Users/Chaiyong/Downloads/dataset/selected/1603133.java_createWriter,65,91,T3
12,R,/Users/Chaiyong/Downloads/dataset/selected/2117277.java_unzip,28,46,F
13,R,/Users/Chaiyong/Downloads/dataset/selected/1502074.java_unzip,26,44,F
14,R,/Users/Chaiyong/Downloads/dataset/selected/1334323.java_unzip,94,121,F
15,R,/Users/Chaiyong/Downloads/dataset/selected/1294348.java_main,18,46,F
16,R,/Users/Chaiyong/Downloads/dataset/selected/2263067.java_unzipBitstream,307,332,F
17,R,/Users/Chaiyong/Downloads/dataset/selected/1065583.java_getFilesFromStream,254,299,F
18,R,/Users/Chaiyong/Downloads/dataset/selected/1200879.java_unzipArchive,309,325,F
19,R,/Users/Chaiyong/Downloads/dataset/selected/361440.java_extractCompressedFile,360,393,F
20,R,/Users/Chaiyong/Downloads/dataset/selected/1584499.java_unzip,120,151,F
21,R,/Users/Chaiyong/Downloads/dataset/selected/2617628.java_unzip,107,129,F
22,R,/Users/Chaiyong/Downloads/dataset/selected/2140014.java_unzip,101,123,F
23,R,/Users/Chaiyong/Downloads/dataset/selected/2146328.java_unzipFile,246,292,F
24,R,/Users/Chaiyong/Downloads/dataset/selected/686535.java_unjar,42,74,F
25,R,/Users/Chaiyong/Downloads/dataset/selected/193340.java_unzip,140,160,F
26,R,/Users/Chaiyong/Downloads/dataset/selected/1065583.java_getFilesFromStreamOnlyRootFiles,916,972,F
27,R,/Users/Chaiyong/Downloads/dataset/default/38145.java_main,9,37,F
28,R,/Users/Chaiyong/Downloads/dataset/selected/848052.java_unzipFileOld,417,466,F
29,R,/Users/Chaiyong/Downloads/dataset/selected/610408.java_decompress,54,85,F
30,R,/Users/Chaiyong/Downloads/dataset/selected/1065583.java_getFilesStringFromZipStream,433,466,F
31,R,/Users/Chaiyong/Downloads/dataset/selected/2078518.java_extractFile,467,496,F
32,R,/Users/Chaiyong/Downloads/dataset/selected/1814720.java_unzip,18,45,F
33,R,/Users/Chaiyong/Downloads/dataset/selected/2337215.java_unzipModel,109,130,F
34,R,/Users/Chaiyong/Downloads/dataset/selected/1065583.java_getDirFilesOnlyFromZipStream,343,420,F
35,R,/Users/Chaiyong/Downloads/dataset/selected/1334323.java_untar,123,150,F
36,R,/Users/Chaiyong/Downloads/dataset/selected/3647.java_getJMenuItemOpen,948,1016,F
37,R,/Users/Chaiyong/Downloads/dataset/selected/2227623.java_unpackArchive,338,377,F
38,R,/Users/Chaiyong/Downloads/dataset/selected/2179135.java_encryptFile,27,67,F
39,R,/Users/Chaiyong/Downloads/dataset/selected/193372.java_encryptFile,39,79,F
40,R,/Users/Chaiyong/Downloads/dataset/selected/1175673.java_copyLastModel,28,59,F
41,R,/Users/Chaiyong/Downloads/dataset/selected/185862.java_unzip,39,70,F
42,R,/Users/Chaiyong/Downloads/dataset/selected/2556157.java_unzip,217,245,F
43,R,/Users/Chaiyong/Downloads/dataset/selected/268530.java_unzipFile,80,104,F
44,R,/Users/Chaiyong/Downloads/dataset/selected/1511168.java_unzipStream,162,186,F
