settings,precision,mrr,map
tfidf_no_x_1, 0.7879999999999993, 1.0, 0.935127606135
tfidf_no_x_2, 0.7789999999999995, 1.0, 0.930060941043
tfidf_no_x_3, 0.7699999999999996, 1.0, 0.932621047493
tfidf_no_x_4, 0.7629999999999996, 1.0, 0.924079354056
tfidf_no_s_1, 0.6639999999999996, 1.0, 0.936598762283
tfidf_no_s_2, 0.6689999999999999, 1.0, 0.930710034014
tfidf_no_s_3, 0.6689999999999996, 1.0, 0.93084122575
tfidf_no_s_4, 0.642, 1.0, 0.933706953893
tfidf_no_w_1, 0.7820000000000006, 1.0, 0.955703506866
tfidf_no_w_2, 0.8230000000000003, 1.0, 0.974627425044
tfidf_no_w_3, 0.8300000000000003, 1.0, 0.993198152872
tfidf_no_w_4, 0.8420000000000003, 1.0, 0.990428571429
tfidf_no_ws_1, 0.556, 1.0, 0.818913348765
tfidf_no_ws_2, 0.6199999999999999, 1.0, 0.924381878307
tfidf_no_ws_3, 0.6139999999999999, 1.0, 0.950692535903
tfidf_no_ws_4, 0.6329999999999998, 1.0, 0.974848875661
tfidf_no_p_1, 0.7959999999999995, 1.0, 0.937480835853
tfidf_no_p_2, 0.7749999999999995, 1.0, 0.932670123142
tfidf_no_p_3, 0.7679999999999996, 1.0, 0.926694790879
tfidf_no_p_4, 0.7589999999999997, 1.0, 0.919417978395
tfidf_no_ps_1, 0.6749999999999997, 1.0, 0.936454913076
tfidf_no_ps_2, 0.6749999999999998, 1.0, 0.930900510204
tfidf_no_ps_3, 0.6459999999999999, 1.0, 0.92517037037
tfidf_no_ps_4, 0.6380000000000001, 1.0, 0.93246191421
tfidf_no_pw_1, 0.8110000000000006, 1.0, 0.983046634858
tfidf_no_pw_2, 0.8420000000000006, 1.0, 0.989343379945
tfidf_no_pw_3, 0.8500000000000005, 1.0, 0.990995645944
tfidf_no_pw_4, 0.8390000000000003, 1.0, 0.989846230159
tfidf_no_pws_1, 0.5529999999999999, 1.0, 0.864631878307
tfidf_no_pws_2, 0.6409999999999998, 1.0, 0.970458971088
tfidf_no_pws_3, 0.6180000000000001, 1.0, 0.953931760204
tfidf_no_pws_4, 0.6459999999999998, 1.0, 0.975347269463
tfidf_no_k_1, 0.7719999999999995, 1.0, 0.925434843474
tfidf_no_k_2, 0.7499999999999993, 1.0, 0.933075066138
tfidf_no_k_3, 0.7459999999999996, 1.0, 0.926049647266
tfidf_no_k_4, 0.7459999999999996, 1.0, 0.920110284392
tfidf_no_ks_1, 0.6569999999999995, 1.0, 0.915753114764
tfidf_no_ks_2, 0.6409999999999999, 1.0, 0.933559221466
tfidf_no_ks_3, 0.6579999999999997, 1.0, 0.928715337617
tfidf_no_ks_4, 0.629, 1.0, 0.936386101663
tfidf_no_kw_1, 0.7760000000000004, 1.0, 0.910513635362
tfidf_no_kw_2, 0.7389999999999999, 1.0, 0.965068783069
tfidf_no_kw_3, 0.8100000000000002, 1.0, 0.976786904762
tfidf_no_kw_4, 0.8420000000000002, 1.0, 0.986010487528
tfidf_no_kws_1, 0.4670000000000005, 1.0, 0.745101518015
tfidf_no_kws_2, 0.5079999999999997, 1.0, 0.811905820106
tfidf_no_kws_3, 0.5779999999999998, 1.0, 0.907678612371
tfidf_no_kws_4, 0.6329999999999995, 1.0, 0.914369047619
tfidf_no_kp_1, 0.7669999999999998, 1.0, 0.926752973041
tfidf_no_kp_2, 0.7449999999999993, 1.0, 0.931279596561
tfidf_no_kp_3, 0.7399999999999994, 1.0, 0.926502028219
tfidf_no_kp_4, 0.7399999999999994, 1.0, 0.922380125661
tfidf_no_kps_1, 0.6619999999999995, 1.0, 0.919105517763
tfidf_no_kps_2, 0.6419999999999999, 1.0, 0.937050601537
tfidf_no_kps_3, 0.64, 1.0, 0.920407136558
tfidf_no_kps_4, 0.6260000000000001, 1.0, 0.935400840892
tfidf_no_kpw_1, 0.8070000000000008, 1.0, 0.968551020408
tfidf_no_kpw_2, 0.7780000000000001, 1.0, 0.975350396825
tfidf_no_kpw_3, 0.8220000000000003, 1.0, 0.98777827381
tfidf_no_kpw_4, 0.8310000000000001, 1.0, 0.990381023243
tfidf_no_kpws_1, 0.5080000000000003, 1.0, 0.773233717561
tfidf_no_kpws_2, 0.5649999999999998, 1.0, 0.903301133787
tfidf_no_kpws_3, 0.5679999999999998, 1.0, 0.91992856198
tfidf_no_kpws_4, 0.6069999999999995, 1.0, 0.946871031746
tfidf_no_j_1, 0.7369999999999998, 1.0, 0.917869383031
tfidf_no_j_2, 0.7469999999999996, 1.0, 0.919002484883
tfidf_no_j_3, 0.7569999999999999, 1.0, 0.926255842152
tfidf_no_j_4, 0.7479999999999997, 1.0, 0.916581637377
tfidf_no_js_1, 0.6329999999999999, 1.0, 0.93203627803
tfidf_no_js_2, 0.648, 1.0, 0.922799464601
tfidf_no_js_3, 0.6389999999999999, 1.0, 0.928076609347
tfidf_no_js_4, 0.629, 1.0, 0.929684114386
tfidf_no_jw_1, 0.7780000000000008, 1.0, 0.964514265243
tfidf_no_jw_2, 0.8420000000000002, 1.0, 0.971415936004
tfidf_no_jw_3, 0.8390000000000005, 1.0, 0.986204850088
tfidf_no_jw_4, 0.8260000000000004, 1.0, 0.991992063492
tfidf_no_jws_1, 0.549, 1.0, 0.809159887566
tfidf_no_jws_2, 0.6539999999999999, 1.0, 0.933325970018
tfidf_no_jws_3, 0.6360000000000001, 1.0, 0.948996228584
